iter,LR0.9_E0.0_Time,LR0.9_E0.0_Rewards,LR0.9_E0.0_Steps,LR0.9_E0.0_Convergence,LR0.9_E0.5_Time,LR0.9_E0.5_Rewards,LR0.9_E0.5_Steps,LR0.9_E0.5_Convergence,LR0.9_E0.7_Time,LR0.9_E0.7_Rewards,LR0.9_E0.7_Steps,LR0.9_E0.7_Convergence,LR0.9_E0.9_Time,LR0.9_E0.9_Rewards,LR0.9_E0.9_Steps,LR0.9_E0.9_Convergence
1,0.002154731,-199,200,89.5074032525,0.001249572,-199,200,89.4580218,0.000663257,-199,200,89.5644881537,0.000658646,-199,200,89.5255897976
2,0.003751711,-199,200,80.0788499606,0.001958962,-199,200,80.3313274741,0.001260964,-199,200,80.0954822911,0.001012348,-199,200,80.0174692956
3,0.00453456,-199,200,70.6067339601,0.002591105,-199,200,70.8684600574,0.001803779,-199,200,70.5535718228,0.001383783,-199,200,70.4984617639
4,0.00520438,-199,200,61.1604994763,0.003176409,-199,200,61.4827425855,0.002648056,-199,200,61.0810209095,0.00194337,-199,200,60.9496981498
5,0.005945877,-199,200,51.6820751427,0.003554751,-199,200,52.1741436205,0.003608,-199,200,51.7865251886,0.002502133,-199,200,51.4722075156
6,0.00654739,-196.94,199.96,42.0887532354,0.00396569,-199,200,42.8723275913,0.003890607,-199,200,42.5158741856,0.002871862,-199,200,41.9955678733
7,0.006935663,-199,200,32.5868029833,0.004536035,-199,200,33.5671387252,0.004266433,-199,200,33.1377761925,0.003373284,-196.34,199.36,32.568399954
8,0.007416062,-199,200,23.0976583852,0.004965137,-199,200,23.9758708125,0.004504208,-199,200,23.8735781466,0.003743322,-172.64,191.82,23.241740644
9,0.007956257,-188.88,197.96,13.6359006521,0.005295081,-199,200,14.7522246707,0.004689572,-199,200,14.2620725633,0.003935658,-159.48,188.76,14.0170862444
10,0.008412492,-199,200,4.5252106743,0.005502255,-199,200,5.6881412718,0.005092568,-186.44,197.54,4.7473254837,0.004179052,-196.82,199.84,5.0178244701
11,0.008748564,-196.26,199.28,4.5969506968,0.005756453,-196.58,199.6,6.1810319096,0.00536403,-173.12,192.3,4.7600436865,0.004660339,-199,200,5.2548268117
12,0.008962641,-130.42,177.88,4.6256489597,0.005944404,-194.72,199.76,6.0027338556,0.005572018,-191.24,198.3,4.9712923278,0.004876586,-190.28,197.34,5.4314175503
13,0.009237445,-154.52,183.8,4.8778976722,0.006086761,-91,160.68,6.0315738274,0.005745377,-193.12,198.16,5.3124486176,0.005209685,-199,200,5.5341243235
14,0.009426428,-199,200,5.1801634214,0.006294013,-110.34,167.9,6.1087381295,0.005961288,-176.82,193.98,5.9231732467,0.005542329,-153.6,186.92,5.9229185093
15,0.009789488,-195.16,198.18,5.5099049301,0.006482893,-172.12,189.28,5.967168904,0.006129104,-190.7,197.76,6.188453034,0.005736995,-87.64,155.3,6.4625912788
16,0.010306838,-132.82,180.28,5.8303004956,0.006639267,-18.8,114.74,6.1783258418,0.006295515,0.64,101.36,6.3686397877,0.005871187,-191.44,198.5,6.9740829482
17,0.010586282,-66.26,144.02,6.2775765996,0.006794567,17.8,82.18,6.3830686533,0.006478217,13.96,88.04,6.5444635868,0.006344818,34.36,67.64,7.424266671
18,0.01077466,-42.74,134.64,7.0253875698,0.006919437,15.66,86.34,6.6250482693,0.006609562,-3,100.96,6.4743293347,0.006516861,21.76,80.24,7.5965952367
19,0.010969144,10.72,91.28,7.4436770059,0.007116804,18.9,83.1,6.6033107772,0.006721418,-151.9,183.2,7.0611155004,0.006704125,-28.78,126.74,8.46793189
20,0.01118797,34.38,67.62,7.2985943047,0.007225007,38.6,63.4,6.27104222,0.006894818,-48.88,130.68,7.3411964632,0.006906588,34.32,67.68,8.516351483
21,0.01132319,-157.66,182.9,7.4598742213,0.007317812,-14.16,112.12,6.2998775016,0.007024754,-65.34,141.08,7.6238433679,0.007122239,21.12,80.88,8.6012131056
22,0.011510367,16.66,85.34,7.6455917472,0.007447358,13.9,88.1,6.4004657908,0.007189208,20.06,81.94,7.8416613453,0.007337836,-13.48,109.42,8.6626659787
23,0.011697695,52.84,49.16,8.1094790259,0.007558432,32.34,69.66,6.5865305936,0.007302029,23.68,78.32,7.5769332641,0.007457848,-28.76,120.66,9.1531137521
24,0.011848559,-33.12,127.04,7.9920651955,0.007673155,10.06,89.92,6.3674393915,0.007413817,-161.36,182.56,7.2599184261,0.007598081,34.66,67.34,9.2291596097
25,0.01203799,35.4,66.6,8.0219478263,0.007808285,0.56,101.44,6.381655517,0.007545878,21.04,80.96,7.0012251,0.007714289,-0.84,102.84,8.834315302
26,0.012170088,-61.72,143.52,7.7936376922,0.007924033,22.84,77.14,6.3301164746,0.007661474,-62.76,140.52,6.9451100743,0.007815598,21.02,80.98,9.314624495
27,0.01230034,4.88,97.12,7.8674856045,0.008068768,-93.26,158.9,6.05534072,0.007932668,-173.48,190.64,7.1926469818,0.007943706,51.88,50.12,9.26621623
28,0.012467306,7.86,94.14,7.3512593756,0.008199186,-86.5,162.24,5.9698761003,0.008069269,-57.7,141.52,7.6126379543,0.008037564,37.84,64.16,9.4751750203
29,0.012603725,21.14,80.86,7.455858311,0.008339334,-84.54,158.26,6.2048597686,0.008224791,-186.94,196.02,8.037477083,0.00815118,-31.52,125.44,8.9877149703
30,0.012723866,32.98,69.02,7.9730600583,0.008487735,-3.76,103.74,6.4503819238,0.008467409,-89.78,151.38,8.5257758818,0.00827657,32.64,69.36,8.6719399447
31,0.012824148,34.72,67.28,8.0247154851,0.008597095,-10.24,110.22,6.1589251206,0.008614285,3.26,96.72,8.7116259659,0.008382792,35.12,66.88,9.0844930368
32,0.012944847,22.78,79.22,8.1514297039,0.008705623,-93.08,152.66,6.0755666046,0.008759459,-113.16,174.76,9.0446663992,0.00850326,18.1,83.9,9.4179856466
33,0.013093828,-13.64,113.62,7.5437657325,0.008885696,20.78,81.22,6.0403285398,0.008963501,-51.92,137.76,9.3288420078,0.008603112,-85.78,157.48,10.0575469613
34,0.013221537,-14.58,116.58,7.485658558,0.009028413,-97.78,163.42,6.275127009,0.009144108,-143.7,185.1,9.4252068291,0.008727553,21.8,80.2,10.5679196183
35,0.01336986,50.68,51.32,8.2867277668,0.009171082,-104.66,158.18,6.5047298663,0.009326642,-41.28,133.18,9.8391954876,0.008842539,-25.06,121,10.4961962436
36,0.013501049,52.46,49.54,8.4701196914,0.009299578,-121.78,167.22,6.1662072049,0.009471846,-152.36,179.62,9.6393002939,0.008959647,-19.18,115.12,9.8406399221
37,0.013653685,33.46,68.54,8.3136436034,0.009417491,18.28,83.72,6.3983144091,0.00957319,-1.32,103.32,9.3165174205,0.009135664,-67.16,140.88,9.6379140643
38,0.013840444,19.32,82.68,8.4048332214,0.009521569,19.82,82.18,6.6827532058,0.009690754,53.3,48.7,9.1388350839,0.009302261,-11.32,107.26,9.4150262699
39,0.013963173,51.7,50.3,8.018277972,0.009694568,-92.96,164.66,6.2661640506,0.009830683,50.74,51.26,8.6859007445,0.00941558,-149.74,181.04,8.8892095949
40,0.014097062,-5.24,105.22,7.2574685661,0.009849461,51.66,50.34,6.2302034781,0.009934533,36.38,65.62,8.2266552352,0.009639153,-127.96,177.44,8.8824970028
