iterations,fitness,time,fevals
0,21.0,0.000798869,837
10,23.0,0.001504447,1487
20,24.0,0.002118495,2122
30,25.0,0.002684708,2774
40,29.0,0.003268603,3420
50,29.0,0.003808402,4060
60,29.0,0.004343054,4692
70,28.0,0.004889729,5347
80,29.0,0.005414089,5972
90,30.0,0.005949011,6593
100,30.0,0.00653826600001,7230
110,31.0,0.00706049300001,7863
120,30.0,0.00757955800001,8499
130,30.0,0.00809226800001,9135
140,31.0,0.00861709,9774
150,31.0,0.009152969,10413
160,31.0,0.009739519,11054
170,31.0,0.010276391,11692
180,32.0,0.010809753,12348
190,32.0,0.011335671,12981
200,32.0,0.011864856,13621
210,33.0,0.012395038,14257
220,35.0,0.012965884,14888
230,36.0,0.013491165,15531
240,37.0,0.014026208,16157
250,36.0,0.014562829,16788
260,37.0,0.015092888,17428
270,37.0,0.015638319,18058
280,38.0,0.016222627,18692
290,38.0,0.016745764,19329
300,38.0,0.017284158,19973
310,38.0,0.017818111,20603
320,39.0,0.018347881,21241
330,40.0,0.018875923,21883
340,40.0,0.019464294,22504
350,41.0,0.019990178,23142
360,43.0,0.020508641,23771
370,44.0,0.021021442,24406
380,43.0,0.021533813,25041
390,44.0,0.022032744,25685
400,44.0,0.022571132,26323
410,45.0,0.023067134,26970
420,45.0,0.02357398,27602
430,45.0,0.024065694,28232
440,45.0,0.024567874,28862
450,44.0,0.025076665,29498
460,46.0,0.025586337,30135
470,46.0,0.02609024,30769
480,45.0,0.026596177,31395
490,46.0,0.027109412,32031
500,45.0,0.027615943,32676
510,45.0,0.028127748,33316
520,44.0,0.028669104,33947
530,44.0,0.029235713,34577
540,44.0,0.02975662,35215
550,45.0,0.030296274,35849
560,45.0,0.030835955,36497
570,46.0,0.031380858,37145
580,45.0,0.031909992,37787
590,45.0,0.032707768,38421
600,45.0,0.033235142,39069
610,46.0,0.033753875,39695
620,50.0,0.03428259,40331
630,55.0,0.035126085,40977
640,56.0,0.035978719,41618
650,55.0,0.036789952,42259
660,55.0,0.037592958,42884
670,55.0,0.038381359,43521
680,55.0,0.03922571,44158
690,56.0,0.040032442,44802
700,56.0,0.040829269,45451
710,57.0,0.0416376,46085
720,57.0,0.042533142,46724
730,57.0,0.043331666,47360
740,58.0,0.044163597,47988
750,57.0,0.044976115,48617
760,56.0,0.045851902,49263
770,58.0,0.046657813,49893
780,58.0,0.047472631,50540
790,58.0,0.048279983,51179
800,59.0,0.049138594,51816
810,58.0,0.049951935,52455
820,58.0,0.050765919,53104
830,60.0,0.051576997,53742
840,59.0,0.052392858,54383
850,59.0,0.053216375,55027
860,61.0,0.05404025,55673
870,61.0,0.054849384,56312
880,62.0,0.055650883,56948
890,61.0,0.056502875,57575
900,62.0,0.057297335,58211
910,63.0,0.058088098,58845
920,61.0,0.058886174,59487
930,62.0,0.059740622,60132
940,61.0,0.060548626,60763
950,62.0,0.061358294,61392
960,61.0,0.062179022,62032
970,61.0,0.063051357,62669
980,61.0,0.063872112,63294
990,62.0,0.064702313,63939
1000,62.0,0.065528929,64571
1010,61.0,0.066390949,65202
1020,61.0,0.067198066,65842
1030,62.0,0.068004586,66469
1040,62.0,0.068820085,67119
1050,61.0,0.069628658,67764
1060,62.0,0.070715258,68409
1070,62.0,0.071583478,69045
1080,62.0,0.072387258,69675
1090,62.0,0.073184224,70305
1100,61.0,0.073991527,70941
1110,61.0,0.074842583,71577
1120,62.0,0.075654539,72219
1130,62.0,0.076473541,72855
1140,62.0,0.077304247,73501
1150,62.0,0.078178871,74129
1160,62.0,0.079013546,74758
1170,63.0,0.079837504,75390
1180,63.0,0.080661655,76032
1190,63.0,0.081531404,76667
1200,64.0,0.082380365,77327
1210,63.0,0.083227585,77956
1220,63.0,0.084084622,78591
1230,62.0,0.084953465,79230
1240,62.0,0.085771656,79856
1250,64.0,0.086603251,80494
1260,63.0,0.087419477,81138
1270,63.0,0.088288794,81780
1280,64.0,0.089094071,82413
1290,67.0,0.08990685,83055
1300,68.0,0.090739074,83692
1310,67.0,0.09161679,84329
1320,67.0,0.092425934,84956
1330,67.0,0.093237357,85593
1340,67.0,0.094031829,86238
1350,72.0,0.094866815,86865
1360,67.0,0.095652766,87504
1370,69.0,0.096442944,88155
1380,74.0,0.097244032,88803
1390,72.0,0.098098516,89438
1400,70.0,0.099028599,90072
1410,69.0,0.108011271,90716
1420,68.0,0.108515954,91363
1430,67.0,0.109014117,92000
1440,69.0,0.109549679,92641
1450,69.0,0.110047132,93285
1460,68.0,0.11055602,93933
1470,70.0,0.111063078,94570
1480,70.0,0.111573654,95201
1490,70.0,0.11206835,95838
1500,72.0,0.1126315,96459
1510,72.0,0.113126643,97098
1520,71.0,0.113621711,97729
1530,73.0,0.11410735,98369
1540,73.0,0.114594828,99007
1550,71.0,0.11507531,99648
1560,71.0,0.115614096,100288
1570,72.0,0.116087721,100916
1580,74.0,0.116580323,101551
1590,72.0,0.117076811,102212
1600,72.0,0.1175532,102858
1610,72.0,0.118035211,103497
1620,72.0,0.118509293,104137
1630,72.0,0.119048408,104786
1640,72.0,0.119522249,105413
1650,72.0,0.119992872,106050
1660,73.0,0.120471306,106693
1670,72.0,0.120951955,107323
1680,72.0,0.121431604,107936
1690,72.0,0.121924798,108576
1700,72.0,0.122411657,109208
1710,73.0,0.122893091,109849
1720,72.0,0.123372513,110483
1730,73.0,0.123855293,111117
1740,73.0,0.124328945,111763
1750,73.0,0.124812319,112403
1760,73.0,0.125358906,113038
1770,73.0,0.125836443,113685
1780,73.0,0.126315052,114332
1790,73.0,0.126787422,114972
1800,73.0,0.127256481,115622
1810,73.0,0.127725678,116246
1820,74.0,0.12819996,116873
1830,74.0,0.128736867,117514
1840,73.0,0.129209536,118142
1850,73.0,0.129689773,118783
1860,73.0,0.130167015,119416
1870,72.0,0.130650754,120073
1880,72.0,0.13114619,120711
1890,72.0,0.131718973,121343
1900,72.0,0.132188318,121990
1910,74.0,0.132662244,122623
1920,73.0,0.133139211,123269
1930,73.0,0.133619716,123921
1940,73.0,0.134091936,124568
1950,74.0,0.13456031,125197
1960,74.0,0.135103177,125847
1970,73.0,0.135581592,126482
1980,73.0,0.136070209,127129
1990,73.0,0.136549167,127754
2000,73.0,0.137037319,128404
2010,73.0,0.137523833,129058
2020,73.0,0.138083098,129683
2030,73.0,0.138556541,130322
2040,73.0,0.139035493,130952
2050,73.0,0.139520687,131585
2060,73.0,0.140003561,132210
2070,73.0,0.140486217,132844
2080,73.0,0.140973509,133463
2090,73.0,0.141466069,134104
2100,74.0,0.141944074,134747
2110,75.0,0.142436429,135396
2120,75.0,0.142925172,136043
2130,73.0,0.143410054,136683
2140,74.0,0.143897309,137325
2150,74.0,0.144463505,137952
2160,74.0,0.144960264,138595
2170,75.0,0.145473394,139236
2180,75.0,0.145964972,139889
2190,75.0,0.14644737,140523
2200,75.0,0.146926347,141159
2210,75.0,0.147453518,141795
2220,75.0,0.147929503,142422
2230,74.0,0.148401155,143066
2240,75.0,0.148857028,143706
2250,75.0,0.14932588,144349
2260,77.0,0.149799442,144982
2270,75.0,0.150278486,145620
2280,75.0,0.150837484,146264
2290,75.0,0.151315931,146885
2300,75.0,0.151820117,147516
2310,77.0,0.152303677,148157
2320,75.0,0.152787993,148797
2330,75.0,0.153270502,149439
2340,76.0,0.153742888,150065
2350,76.0,0.154226618,150702
2360,76.0,0.154710389,151341
2370,76.0,0.15519585,151970
2380,77.0,0.15568424,152608
2390,76.0,0.156176172,153221
2400,76.0,0.156672697,153849
2410,76.0,0.157235661,154493
2420,76.0,0.157714865,155125
2430,76.0,0.158194604,155762
2440,76.0,0.158666631,156392
2450,76.0,0.15914951,157033
2460,76.0,0.159621935,157664
2470,76.0,0.160146329,158286
2480,77.0,0.160611313,158912
2490,77.0,0.16108209,159557
2500,77.0,0.161557916,160198
2510,77.0,0.162036909,160830
2520,77.0,0.162502272,161467
2530,77.0,0.162970895,162122
2540,77.0,0.163516428,162757
2550,77.0,0.163987035,163387
2560,77.0,0.164454761,164023
2570,77.0,0.164924738,164674
2580,78.0,0.165405509,165322
2590,77.0,0.165876926,165950
2600,78.0,0.16635983,166582
2610,77.0,0.166836573,167223
2620,79.0,0.16732971,167869
2630,77.0,0.167805764,168514
2640,79.0,0.168285096,169151
2650,82.0,0.168768384,169792
2660,79.0,0.169245072,170424
2670,79.0,0.169799687,171057
2680,80.0,0.17028666,171697
2690,78.0,0.17078392,172331
2700,79.0,0.171276637,172968
2710,79.0,0.171752359,173612
2720,79.0,0.172226343,174243
2730,79.0,0.172699713,174877
2740,80.0,0.173231649,175523
2750,86.0,0.173711292,176160
2760,86.0,0.174191876,176805
2770,86.0,0.17467659,177446
2780,86.0,0.17516131,178098
2790,91.0,0.175637184,178728
2800,91.0,0.176183353,179364
2810,91.0,0.176635632,180004
2820,91.0,0.177096083,180647
2830,91.0,0.177547813,181282
2840,91.0,0.178000204,181912
2850,91.0,0.178455917,182543
2860,92.0,0.178908507,183189
2870,92.0,0.179416918,183833
2880,92.0,0.179874147,184474
2890,92.0,0.180346562,185109
2900,91.0,0.180817612,185747
2910,92.0,0.181270826,186387
2920,92.0,0.181725022,187040
2930,92.0,0.182181465,187677
2940,92.0,0.182722622,188313
2950,93.0,0.183173458,188952
2960,92.0,0.183620764,189582
2970,92.0,0.18408081,190228
2980,92.0,0.184528106,190854
2990,92.0,0.184993517,191483
3000,93.0,0.185460785,192120
3010,92.0,0.18591664,192755
3020,93.0,0.186378021,193396
3030,93.0,0.186835024,194032
3040,93.0,0.187286709,194660
3050,93.0,0.187739395,195304
3060,93.0,0.188190867,195937
3070,94.0,0.188704691,196574
3080,94.0,0.189161248,197217
3090,93.0,0.189616155,197850
3100,93.0,0.19007501,198491
3110,92.0,0.190530946,199127
3120,92.0,0.190980565,199766
3130,93.0,0.191423408,200403
3140,92.0,0.191936314,201050
3150,92.0,0.192383228,201689
3160,92.0,0.192836329,202330
3170,92.0,0.19328297,202976
3180,92.0,0.193742784,203614
3190,92.0,0.19419159,204247
3200,92.0,0.194661097,204893
3210,92.0,0.195206922,205535
3220,92.0,0.195655117,206171
3230,92.0,0.196109364,206808
3240,91.0,0.196556488,207434
3250,92.0,0.197005062,208070
3260,92.0,0.197460861,208707
3270,92.0,0.197990341,209339
3280,92.0,0.198509058,209985
3290,93.0,0.198965764,210627
3300,91.0,0.199422748,211261
3310,92.0,0.199870876,211888
3320,91.0,0.200323619,212532
3330,92.0,0.200920346,213160
3340,92.0,0.201365955,213809
3350,92.0,0.201813836,214446
3360,91.0,0.202266678,215091
3370,91.0,0.202721647,215739
3380,91.0,0.203169847,216381
3390,91.0,0.20362645,217015
3400,91.0,0.204086573,217644
3410,91.0,0.204549542,218282
3420,91.0,0.205014546,218914
3430,92.0,0.20547444,219550
3440,92.0,0.205925397,220179
3450,92.0,0.2064993,220817
3460,92.0,0.206954029,221465
3470,92.0,0.207455214,222102
3480,92.0,0.20790272,222725
3490,94.0,0.208352728,223376
3500,94.0,0.208808169,224022
3510,92.0,0.209266118,224662
3520,92.0,0.209720447,225303
3530,92.0,0.210181738,225941
3540,92.0,0.210694335,226589
3550,92.0,0.211153258,227245
3560,92.0,0.211608752,227890
3570,92.0,0.21206794,228525
3580,92.0,0.212522021,229172
3590,92.0,0.212976465,229809
3600,92.0,0.213429719,230453
3610,92.0,0.213933242,231104
3620,92.0,0.214395186,231743
3630,92.0,0.214854046,232372
3640,93.0,0.215324579,233005
3650,93.0,0.215773295,233624
3660,93.0,0.216231014,234273
