iterations,fitness,time,fevals
0,22.0,0.0827060610001,1500
10,27.0,0.161769596,3150
20,32.0,0.231695106,4800
30,46.0,0.293972745,6450
40,47.0,0.351167872,8100
50,50.0,0.406440835,9750
60,52.0,0.45986644,11400
70,52.0,0.51212095,13050
80,61.0,0.562294855,14700
90,59.0,0.611536616,16350
100,59.0,0.659488214,18000
110,61.0,0.708347204,19650
120,60.0,0.75620447,21300
130,60.0,0.802376267,22950
140,60.0,0.849514635,24600
150,60.0,0.89683216,26250
160,60.0,0.943264678,27900
170,60.0,0.99046575,29550
180,62.0,1.037128533,31200
190,60.0,1.084343959,32850
200,60.0,1.130657699,34500
210,60.0,1.17931818,36150
220,59.0,1.248411822,37800
230,63.0,1.295737214,39450
240,61.0,1.34324536,41100
250,60.0,1.389207029,42750
260,60.0,1.43625047,44400
270,61.0,1.484564101,46050
280,61.0,1.532186192,47700
290,60.0,1.579461442,49350
300,62.0,1.626337386,51000
310,60.0,1.672707152,52650
320,62.0,1.719264969,54300
330,61.0,1.7675741,55950
340,60.0,1.814980457,57600
350,60.0,1.861942306,59250
360,60.0,1.90921904,60900
370,60.0,1.956110625,62550
380,60.0,2.01308919,64200
390,60.0,2.060621418,65850
400,60.0,2.107271417,67500
410,60.0,2.1537449,69150
420,59.0,2.200947452,70800
430,60.0,2.246305582,72450
440,61.0,2.292241147,74100
450,60.0,2.337599465,75750
460,60.0,2.385025048,77400
470,59.0,2.433453008,79050
480,60.0,2.480520161,80700
490,60.0,2.527630349,82350
500,59.0,2.575024137,84000
510,58.0,2.621614973,85650
520,60.0,2.668833183,87300
530,60.0,2.716591718,88950
540,60.0,2.773244906,90600
550,60.0,2.819922196,92250
560,61.0,2.867177449,93900
570,62.0,2.914282269,95550
580,59.0,2.962689973,97200
590,60.0,3.011748588,98850
600,60.0,3.059960916,100500
610,62.0,3.106877583,102150
620,60.0,3.165361499,103800
630,59.0,3.213125485,105450
640,59.0,3.26038535,107100
650,60.0,3.307266719,108750
660,60.0,3.35373091,110400
670,59.0,3.400010163,112050
680,60.0,3.445878323,113700
690,60.0,3.491920705,115350
700,60.0,3.537345338,117000
710,59.0,3.597444209,118650
720,59.0,3.645423155,120300
730,60.0,3.691910394,121950
740,59.0,3.738722241,123600
750,59.0,3.78524864,125250
760,59.0,3.832344893,126900
770,60.0,3.880416425,128550
780,60.0,3.929239543,130200
790,60.0,3.977865585,131850
800,64.0,4.02578572,133500
810,61.0,4.073407163,135150
820,60.0,4.121179068,136800
830,59.0,4.168776875,138450
840,61.0,4.21983631,140100
850,60.0,4.266155965,141750
860,61.0,4.312796938,143400
870,61.0,4.359065231,145050
880,61.0,4.405967835,146700
890,62.0,4.472351532,148350
900,61.0,4.518535783,150000
910,65.0,4.564500651,151650
920,60.0,4.612424358,153300
930,66.0,4.659374565,154950
940,61.0,4.70622797,156600
950,61.0,4.752333394,158250
960,60.0,4.800526426,159900
970,61.0,4.847714994,161550
980,60.0,4.893374437,163200
990,59.0,4.939260386,164850
1000,61.0,4.985608367,166500
1010,61.0,5.032102951,168150
1020,61.0,5.078325701,169800
1030,60.0,5.125901731,171450
1040,60.0,5.172435949,173100
1050,61.0,5.218304859,174750
1060,61.0,5.266031956,176400
1070,62.0,5.316440649,178050
1080,67.0,5.363206894,179700
1090,60.0,5.410072346,181350
1100,62.0,5.455878433,183000
1110,63.0,5.503443436,184650
1120,61.0,5.549301375,186300
1130,65.0,5.594888638,187950
1140,61.0,5.64145857,189600
1150,60.0,5.687744879,191250
1160,61.0,5.733712989,192900
1170,59.0,5.780472524,194550
1180,68.0,5.827335908,196200
1190,61.0,5.873060179,197850
1200,60.0,5.918566047,199500
1210,61.0,5.965209882,201150
1220,60.0,6.011899221,202800
1230,62.0,6.058194983,204450
1240,63.0,6.105222547,206100
1250,60.0,6.151726982,207750
1260,61.0,6.235901591,209400
1270,64.0,6.283529063,211050
1280,61.0,6.329241135,212700
1290,61.0,6.376202708,214350
1300,61.0,6.42184079,216000
1310,62.0,6.467576171,217650
1320,61.0,6.513766371,219300
1330,61.0,6.560118794,220950
1340,60.0,6.606818204,222600
1350,59.0,6.652483999,224250
1360,61.0,6.698345371,225900
1370,62.0,6.74551873,227550
1380,60.0,6.792767772,229200
1390,60.0,6.839259181,230850
1400,61.0,6.886140562,232500
1410,61.0,6.932789232,234150
1420,61.0,6.978472398,235800
1430,61.0,7.025021478,237450
1440,61.0,7.071760982,239100
1450,66.0,7.121333166,240750
1460,60.0,7.167073282,242400
1470,61.0,7.213074212,244050
1480,62.0,7.25910157,245700
1490,62.0,7.305237008,247350
1500,61.0,7.351402139,249000
1510,63.0,7.397814199,250650
1520,62.0,7.443666723,252300
1530,60.0,7.48968549,253950
1540,65.0,7.536197533,255600
1550,62.0,7.583363503,257250
1560,64.0,7.630410281,258900
1570,61.0,7.676145208,260550
1580,62.0,7.722261162,262200
1590,62.0,7.76883726,263850
1600,60.0,7.814978873,265500
1610,62.0,7.861000661,267150
1620,62.0,7.906759396,268800
1630,62.0,7.952869069,270450
1640,62.0,7.998644515,272100
1650,63.0,8.044197723,273750
1660,61.0,8.099192396,275400
1670,62.0,8.143964,277050
1680,62.0,8.189294305,278700
1690,62.0,8.233631313,280350
1700,62.0,8.278610679,282000
1710,59.0,8.32387181,283650
1720,62.0,8.368501553,285300
1730,60.0,8.412889061,286950
1740,60.0,8.457797841,288600
1750,62.0,8.501849471,290250
1760,62.0,8.548168434,291900
1770,62.0,8.594419462,293550
1780,61.0,8.639647579,295200
1790,62.0,8.684029431,296850
1800,61.0,8.73038059,298500
1810,61.0,8.775632299,300150
1820,64.0,8.82160875,301800
1830,61.0,8.867213876,303450
1840,61.0,8.912944978,305100
1850,62.0,8.959438097,306750
1860,75.0,9.006891252,308400
1870,60.0,9.056552188,310050
1880,62.0,9.102336854,311700
1890,62.0,9.148440866,313350
1900,61.0,9.194224744,315000
1910,62.0,9.240439652,316650
1920,62.0,9.286118205,318300
1930,62.0,9.331102022,319950
1940,62.0,9.37754592,321600
1950,62.0,9.423447809,323250
1960,60.0,9.470300142,324900
1970,61.0,9.517003758,326550
1980,62.0,9.563003065,328200
1990,70.0,9.609820997,329850
2000,62.0,9.656774933,331500
2010,59.0,9.704563866,333150
2020,62.0,9.750034347,334800
2030,62.0,9.794904524,336450
2040,61.0,9.840281883,338100
2050,62.0,9.888197748,339750
2060,61.0,9.935004391,341400
2070,62.0,9.981930717,343050
2080,62.0,10.028265442,344700
2090,61.0,10.074004099,346350
2100,61.0,10.120265582,348000
2110,62.0,10.165598777,349650
2120,61.0,10.211855543,351300
2130,61.0,10.258162997,352950
2140,61.0,10.303213208,354600
2150,61.0,10.348470212,356250
2160,61.0,10.393604463,357900
2170,62.0,10.439183213,359550
2180,62.0,10.484711598,361200
2190,61.0,10.531535531,362850
2200,61.0,10.57752804,364500
2210,61.0,10.623683171,366150
2220,62.0,10.669602086,367800
2230,61.0,10.714627007,369450
2240,62.0,10.76026774,371100
2250,62.0,10.806529309,372750
2260,61.0,10.852715812,374400
2270,65.0,10.89947577,376050
2280,61.0,10.944729499,377700
2290,61.0,10.990280175,379350
2300,61.0,11.047983203,381000
2310,61.0,11.098819127,382650
2320,65.0,11.149034755,384300
2330,63.0,11.195463474,385950
2340,62.0,11.241568814,387600
2350,62.0,11.289106095,389250
2360,61.0,11.335469065,390900
2370,62.0,11.382080793,392550
2380,61.0,11.427435912,394200
2390,62.0,11.473132204,395850
2400,62.0,11.519700202,397500
2410,61.0,11.565675702,399150
2420,61.0,11.611148626,400800
2430,61.0,11.657769876,402450
2440,61.0,11.704586549,404100
2450,61.0,11.748910216,405750
2460,62.0,11.793023652,407400
2470,64.0,11.838009956,409050
2480,61.0,11.883961037,410700
2490,61.0,11.92890031,412350
2500,61.0,11.973591657,414000
2510,61.0,12.018458261,415650
2520,62.0,12.064060862,417300
2530,63.0,12.110093914,418950
2540,61.0,12.155808835,420600
2550,62.0,12.202778294,422250
2560,62.0,12.252209655,423900
2570,61.0,12.297761594,425550
2580,61.0,12.344299099,427200
2590,61.0,12.390085191,428850
2600,65.0,12.436295268,430500
2610,61.0,12.482202987,432150
2620,63.0,12.528437344,433800
2630,64.0,12.57452211,435450
2640,61.0,12.621350608,437100
2650,61.0,12.667436946,438750
2660,62.0,12.714353588,440400
2670,62.0,12.760344012,442050
2680,62.0,12.806971508,443700
2690,62.0,12.85349546,445350
2700,62.0,12.899881062,447000
2710,62.0,12.945283106,448650
2720,62.0,12.991439461,450300
2730,61.0,13.03913839,451950
2740,63.0,13.08429868,453600
2750,61.0,13.129870111,455250
2760,61.0,13.175198664,456900
2770,62.0,13.225293182,458550
2780,61.0,13.270035296,460200
2790,61.0,13.314294309,461850
2800,61.0,13.359251093,463500
2810,61.0,13.404184389,465150
2820,61.0,13.449909673,466800
2830,61.0,13.495159526,468450
2840,62.0,13.541207458,470100
2850,61.0,13.587439108,471750
2860,62.0,13.632811471,473400
2870,62.0,13.678912364,475050
2880,62.0,13.725004441,476700
2890,62.0,13.769987508,478350
2900,61.0,13.816085155,480000
2910,61.0,13.862243169,481650
2920,62.0,13.909133914,483300
2930,61.0,13.954526618,484950
2940,61.0,13.999894705,486600
2950,60.0,14.045998118,488250
2960,62.0,14.091780991,489900
2970,62.0,14.138461969,491550
2980,61.0,14.184674858,493200
2990,61.0,14.237322043,494850
3000,61.0,14.284163229,496500
3010,61.0,14.330251353,498150
3020,62.0,14.376200189,499800
3030,60.0,14.422374329,501450
3040,62.0,14.469065056,503100
3050,61.0,14.514605187,504750
3060,61.0,14.562656644,506400
3070,61.0,14.608636897,508050
3080,61.0,14.654814901,509700
3090,61.0,14.700888376,511350
3100,61.0,14.746408683,513000
3110,62.0,14.796563822,514650
3120,61.0,14.842217054,516300
3130,62.0,14.887789375,517950
3140,62.0,14.933857024,519600
3150,62.0,14.97997941,521250
3160,61.0,15.02601966,522900
3170,63.0,15.073536175,524550
3180,65.0,15.120318604,526200
3190,61.0,15.16633314,527850
3200,61.0,15.212090589,529500
3210,62.0,15.271349198,531150
3220,61.0,15.317318596,532800
3230,62.0,15.363398336,534450
3240,61.0,15.409655531,536100
3250,61.0,15.454678859,537750
3260,61.0,15.500009187,539400
3270,61.0,15.546439681,541050
3280,63.0,15.591564746,542700
3290,62.0,15.637655886,544350
3300,62.0,15.68393545,546000
3310,61.0,15.730839226,547650
3320,61.0,15.77654426,549300
3330,61.0,15.823223211,550950
3340,62.0,15.868521309,552600
3350,62.0,15.914789296,554250
3360,62.0,15.961315483,555900
3370,62.0,16.008002323,557550
3380,62.0,16.05397671,559200
3390,61.0,16.100458698,560850
3400,63.0,16.146317621,562500
3410,61.0,16.192248663,564150
3420,61.0,16.25187544,565800
3430,61.0,16.296876359,567450
3440,61.0,16.343653768,569100
3450,61.0,16.388996461,570750
3460,62.0,16.434484939,572400
3470,62.0,16.480477967,574050
3480,63.0,16.527082654,575700
3490,61.0,16.573001592,577350
3500,61.0,16.619291883,579000
3510,61.0,16.665648838,580650
3520,61.0,16.711304968,582300
3530,66.0,16.758254525,583950
3540,61.0,16.804238959,585600
3550,62.0,16.85031614,587250
3560,62.0,16.896418119,588900
3570,61.0,16.944311419,590550
3580,61.0,16.990699727,592200
3590,62.0,17.036923525,593850
3600,61.0,17.083943049,595500
3610,62.0,17.129117969,597150
3620,66.0,17.176173235,598800
3630,61.0,17.230088642,600450
3640,61.0,17.276662501,602100
3650,61.0,17.322972075,603750
3660,61.0,17.369186942,605400
3670,61.0,17.415149405,607050
3680,62.0,17.461538059,608700
3690,61.0,17.508685849,610350
3700,61.0,17.555716368,612000
3710,62.0,17.60172589,613650
3720,61.0,17.647634835,615300
3730,61.0,17.693323427,616950
