iterations,fitness,time,fevals
0,64.0,0.000605448000002,1134
10,71.0,0.001142003,2078
20,68.0,0.001670387,3022
30,70.0,0.002255727,3963
40,71.0,0.002780414,4901
50,71.0,0.00331103,5846
60,72.0,0.003837599,6795
70,73.0,0.004345818,7740
80,74.0,0.004843759,8689
90,76.0,0.005342312,9644
100,78.0,0.005853132,10568
110,76.0,0.00636285,11532
120,78.0,0.00686444,12476
130,78.0,0.00735979,13408
140,78.0,0.007862359,14365
150,77.0,0.00835788400001,15294
160,78.0,0.00891699900001,16224
170,76.0,0.00942498000001,17165
180,77.0,0.00992309800001,18094
190,77.0,0.010425576,19018
200,77.0,0.010983495,19958
210,79.0,0.011602531,20880
220,80.0,0.012161946,21795
230,79.0,0.012662847,22721
240,80.0,0.013154006,23654
250,80.0,0.013645111,24587
260,81.0,0.014140955,25523
270,77.0,0.014635209,26455
280,80.0,0.015189291,27401
290,76.0,0.015683367,28342
300,78.0,0.016192859,29285
310,78.0,0.016699619,30235
320,79.0,0.017206277,31176
330,77.0,0.017709717,32126
340,79.0,0.018207097,33051
350,78.0,0.018766873,34004
360,78.0,0.019271137,34951
370,79.0,0.019772939,35887
380,80.0,0.020282767,36855
390,78.0,0.02080172,37801
400,78.0,0.021308727,38723
410,78.0,0.021871444,39675
420,80.0,0.022375656,40611
430,80.0,0.022875232,41553
440,78.0,0.02337728,42483
450,78.0,0.023885003,43420
460,78.0,0.024394012,44366
470,78.0,0.024951939,45302
480,78.0,0.025462546,46238
490,80.0,0.025978126,47188
500,80.0,0.026478677,48117
510,78.0,0.026976953,49052
520,78.0,0.02748567,50012
530,79.0,0.027991827,50982
540,80.0,0.028488689,51919
550,81.0,0.028991181,52860
560,81.0,0.029486532,53800
570,81.0,0.029978999,54729
580,79.0,0.030482437,55673
590,80.0,0.03099742,56632
600,79.0,0.031536628,57561
610,81.0,0.032034703,58505
620,78.0,0.032542693,59457
630,80.0,0.03303911,60402
640,80.0,0.033545697,61348
650,80.0,0.034050423,62304
660,79.0,0.03459567,63243
670,77.0,0.035100639,64198
680,78.0,0.035607643,65135
690,78.0,0.036122479,66081
700,76.0,0.036629556,66984
710,77.0,0.037141989,67908
720,77.0,0.037662784,68862
730,77.0,0.038211495,69789
740,81.0,0.038714816,70711
750,80.0,0.039231386,71655
760,77.0,0.039743791,72602
770,75.0,0.04025679,73539
780,73.0,0.04077626,74484
790,76.0,0.041343298,75433
800,76.0,0.041857835,76369
810,77.0,0.042377334,77310
820,76.0,0.042894534,78246
830,78.0,0.043405231,79194
840,78.0,0.043896656,80146
850,80.0,0.044443043,81077
860,82.0,0.044936048,82029
870,80.0,0.045431012,82955
880,79.0,0.045934173,83909
890,80.0,0.046431561,84871
900,82.0,0.046925344,85814
910,82.0,0.04742986,86747
920,80.0,0.047973413,87699
930,76.0,0.04848338,88647
940,78.0,0.048988601,89596
950,80.0,0.049488823,90531
960,74.0,0.050003767,91491
970,74.0,0.050520449,92439
980,78.0,0.051080679,93382
990,76.0,0.051604946,94328
1000,74.0,0.052115265,95250
1010,76.0,0.052624368,96178
1020,76.0,0.053130336,97107
1030,76.0,0.053635465,98045
1040,78.0,0.054184704,98983
1050,78.0,0.054685278,99924
1060,80.0,0.055179583,100853
1070,80.0,0.055667212,101790
1080,80.0,0.056150659,102713
1090,78.0,0.05663962,103655
1100,78.0,0.057148914,104616
1110,78.0,0.057693655,105555
1120,80.0,0.058199089,106498
1130,80.0,0.058704198,107440
1140,76.0,0.059217815,108399
1150,77.0,0.059728561,109354
1160,79.0,0.060231802,110300
1170,80.0,0.060759631,111227
1180,78.0,0.061260616,112168
1190,78.0,0.061756934,113106
1200,78.0,0.06226041,114016
1210,82.0,0.062753937,114956
1220,76.0,0.063257331,115903
1230,76.0,0.063756641,116846
1240,76.0,0.064262511,117793
1250,79.0,0.06475383,118750
1260,80.0,0.065245629,119667
1270,80.0,0.065730801,120597
1280,78.0,0.066225636,121532
1290,76.0,0.066731683,122466
1300,80.0,0.067266901,123393
1310,82.0,0.067757016,124333
1320,83.0,0.068252194,125289
1330,84.0,0.068746135,126207
1340,85.0,0.069237034,127140
1350,84.0,0.069733136,128075
1360,82.0,0.070225324,129008
1370,85.0,0.070719445,129968
1380,83.0,0.071206632,130901
1390,84.0,0.071693802,131838
1400,82.0,0.072184643,132772
1410,84.0,0.072672479,133716
1420,82.0,0.073167541,134641
1430,81.0,0.073713564,135581
1440,83.0,0.074215805,136516
1450,81.0,0.074709764,137472
1460,84.0,0.075211961,138409
1470,85.0,0.075714379,139359
1480,81.0,0.076205738,140268
1490,81.0,0.076697911,141224
1500,83.0,0.077200289,142153
1510,83.0,0.077708015,143106
1520,81.0,0.078219109,144051
1530,80.0,0.078713663,144992
1540,80.0,0.079218971,145939
1550,79.0,0.079730718,146880
1560,80.0,0.080282571,147824
1570,80.0,0.080790168,148762
1580,81.0,0.081295752,149711
1590,81.0,0.081801862,150651
1600,81.0,0.082303318,151584
1610,81.0,0.082802693,152540
1620,83.0,0.083352098,153492
1630,84.0,0.083847108,154435
1640,85.0,0.084339165,155379
1650,83.0,0.084841505,156309
1660,81.0,0.085343687,157246
1670,81.0,0.085834339,158182
1680,79.0,0.086338278,159105
1690,79.0,0.08688351,160049
1700,78.0,0.087385357,160985
1710,80.0,0.087894427,161933
1720,81.0,0.088403868,162858
1730,83.0,0.088909246,163811
1740,87.0,0.08941068,164760
1750,85.0,0.089949519,165695
1760,85.0,0.090454758,166632
1770,85.0,0.090956624,167582
1780,83.0,0.091443007,168508
1790,85.0,0.09193439,169446
1800,85.0,0.092433721,170397
1810,87.0,0.092917615,171331
1820,89.0,0.093409248,172269
1830,89.0,0.093895138,173212
1840,88.0,0.094380044,174152
1850,87.0,0.094871046,175113
1860,87.0,0.095358037,176053
1870,87.0,0.095855213,176986
1880,87.0,0.096393359,177919
1890,87.0,0.096886434,178847
1900,83.0,0.097377829,179800
1910,83.0,0.097868089,180762
1920,85.0,0.098359949,181691
1930,85.0,0.098851296,182620
1940,83.0,0.099340329,183555
1950,81.0,0.099837245,184486
1960,81.0,0.100331729,185428
1970,81.0,0.100831707,186355
1980,79.0,0.101337734,187269
1990,81.0,0.101845046,188196
2000,81.0,0.102346594,189154
2010,83.0,0.102879645,190105
2020,83.0,0.103369041,191037
2030,82.0,0.10386285,191979
2040,85.0,0.104358756,192917
2050,85.0,0.104859462,193867
2060,85.0,0.105371267,194802
2070,83.0,0.10592776,195758
2080,81.0,0.106433912,196699
2090,81.0,0.106938832,197645
2100,79.0,0.107446623,198577
2110,77.0,0.107955126,199503
2120,77.0,0.108474492,200456
2130,76.0,0.108984478,201417
2140,78.0,0.109531866,202359
2150,78.0,0.110023871,203302
2160,77.0,0.110522009,204251
2170,79.0,0.111013723,205187
2180,77.0,0.111511187,206121
2190,76.0,0.112009023,207060
2200,78.0,0.112552944,208014
2210,76.0,0.113051065,208946
2220,82.0,0.113555048,209896
2230,80.0,0.114048046,210821
2240,76.0,0.11455436,211771
2250,78.0,0.115053606,212713
2260,78.0,0.115558026,213646
2270,77.0,0.116054135,214597
2280,78.0,0.1165551,215549
2290,77.0,0.117054108,216469
2300,78.0,0.117554189,217404
2310,77.0,0.118055604,218342
2320,81.0,0.118554196,219288
2330,80.0,0.119088944,220228
2340,80.0,0.119582079,221155
2350,80.0,0.120072762,222075
2360,80.0,0.120567968,223021
2370,80.0,0.121059032,223954
2380,82.0,0.121544979,224916
2390,80.0,0.122041314,225876
2400,80.0,0.122529942,226842
2410,80.0,0.123018826,227781
2420,80.0,0.123519987,228741
2430,80.0,0.124022466,229669
2440,78.0,0.124530147,230614
2450,78.0,0.125038355,231583
2460,82.0,0.125574423,232513
2470,82.0,0.126069504,233432
2480,80.0,0.126566032,234382
2490,80.0,0.12705499,235306
2500,80.0,0.127560233,236256
2510,79.0,0.128055645,237188
2520,77.0,0.128597064,238115
2530,76.0,0.129094611,239052
2540,74.0,0.129600868,239994
2550,76.0,0.130107993,240915
2560,78.0,0.130639805,241857
2570,76.0,0.131170203,242812
2580,74.0,0.13170573,243773
2590,76.0,0.132278673,244717
2600,78.0,0.132792968,245657
2610,78.0,0.133298989,246593
2620,78.0,0.133807571,247521
2630,80.0,0.134314111,248458
2640,80.0,0.134804841,249380
2650,78.0,0.135355542,250322
2660,78.0,0.135849909,251265
2670,80.0,0.136346185,252210
2680,78.0,0.136851477,253151
2690,78.0,0.137360429,254096
2700,80.0,0.13786883,255027
2710,80.0,0.138420612,255979
2720,80.0,0.138924902,256904
2730,80.0,0.139414669,257834
2740,80.0,0.139907333,258775
2750,80.0,0.140393193,259707
2760,80.0,0.140885655,260658
2770,82.0,0.14138053,261589
2780,79.0,0.141983852,262528
2790,80.0,0.142491543,263473
2800,82.0,0.142987679,264415
2810,82.0,0.143505365,265350
2820,82.0,0.14399666,266281
2830,82.0,0.144479803,267200
2840,80.0,0.145016283,268142
2850,78.0,0.145505882,269098
2860,82.0,0.145998464,270026
2870,78.0,0.146489754,270969
2880,80.0,0.146990032,271900
2890,78.0,0.147494701,272855
2900,77.0,0.147992022,273798
2910,80.0,0.148495847,274745
2920,78.0,0.148995352,275671
2930,79.0,0.149496843,276622
2940,77.0,0.149999901,277558
2950,78.0,0.150498449,278516
2960,78.0,0.150999856,279443
2970,77.0,0.151547493,280384
2980,79.0,0.152055859,281318
2990,81.0,0.152565255,282251
3000,80.0,0.153070263,283205
3010,78.0,0.153573342,284154
3020,79.0,0.154079227,285084
3030,79.0,0.154623902,286039
3040,79.0,0.155123069,286992
3050,81.0,0.155623926,287933
3060,79.0,0.156129349,288871
3070,79.0,0.156643256,289832
3080,79.0,0.157146696,290755
3090,81.0,0.157653671,291698
3100,81.0,0.158201072,292650
3110,81.0,0.158702347,293586
3120,81.0,0.159206563,294542
3130,81.0,0.159709253,295497
3140,81.0,0.160201796,296439
3150,79.0,0.160709429,297365
3160,81.0,0.161262396,298305
3170,77.0,0.161765405,299239
3180,77.0,0.162263259,300190
3190,77.0,0.162760779,301118
3200,77.0,0.163264541,302040
3210,77.0,0.163761951,302995
3220,77.0,0.164265339,303943
3230,77.0,0.164759901,304869
3240,81.0,0.165257442,305812
3250,81.0,0.165752421,306747
3260,81.0,0.166247357,307689
3270,81.0,0.166746646,308639
3280,81.0,0.167246282,309591
3290,81.0,0.167796273,310532
3300,81.0,0.168298918,311491
3310,81.0,0.168795963,312423
3320,79.0,0.169302787,313385
3330,79.0,0.169813253,314331
3340,79.0,0.170314306,315271
3350,79.0,0.170871185,316215
3360,79.0,0.171383398,317145
3370,75.0,0.171875352,318066
3380,77.0,0.172378524,319025
3390,75.0,0.172876195,319962
3400,77.0,0.173387604,320916
3410,79.0,0.173907156,321844
3420,77.0,0.174465153,322796
3430,77.0,0.174967035,323710
3440,79.0,0.175467905,324637
3450,81.0,0.175986794,325571
3460,79.0,0.176500889,326513
3470,79.0,0.177009545,327459
3480,77.0,0.177552017,328390
3490,79.0,0.178064216,329323
3500,79.0,0.178579394,330241
3510,77.0,0.179085957,331179
3520,77.0,0.17959445,332107
3530,77.0,0.180107808,333046
3540,77.0,0.180660142,333975
3550,77.0,0.181160378,334894
3560,77.0,0.181676347,335822
3570,77.0,0.182196991,336761
3580,78.0,0.182716755,337697
3590,80.0,0.183235631,338652
3600,81.0,0.183744494,339606
3610,81.0,0.184313937,340545
3620,81.0,0.184806599,341490
3630,80.0,0.18530419,342429
3640,81.0,0.185799697,343382
3650,82.0,0.186289751,344319
3660,82.0,0.18678498,345258
3670,83.0,0.187322501,346198
3680,81.0,0.187822831,347135
3690,83.0,0.188320781,348078
3700,83.0,0.188829827,349012
3710,83.0,0.189337348,349964
3720,83.0,0.189840241,350909
3730,83.0,0.190342484,351855
3740,81.0,0.190838154,352789
3750,81.0,0.191341533,353715
3760,79.0,0.191850703,354639
3770,81.0,0.192343327,355563
3780,83.0,0.192829932,356513
3790,81.0,0.193326688,357468
3800,79.0,0.193868013,358417
3810,81.0,0.194399146,359365
3820,81.0,0.194892189,360294
3830,79.0,0.195396749,361232
3840,79.0,0.19589882,362158
3850,79.0,0.196410301,363125
3860,81.0,0.1969733,364071
3870,81.0,0.197473146,365016
3880,81.0,0.197970149,365947
3890,81.0,0.198457166,366875
3900,81.0,0.198934319,367821
3910,85.0,0.199417391,368753
3920,83.0,0.199902045,369675
3930,80.0,0.200456778,370621
3940,80.0,0.200972189,371568
3950,81.0,0.201479006,372492
3960,82.0,0.201994843,373431
3970,81.0,0.202488321,374359
3980,81.0,0.202995969,375310
3990,81.0,0.203531565,376248
4000,79.0,0.204023628,377186
4010,80.0,0.204510497,378105
4020,83.0,0.20500005,379029
4030,80.0,0.205493654,379964
4040,80.0,0.205983062,380892
4050,84.0,0.206472793,381822
4060,80.0,0.207000836,382740
4070,82.0,0.207503813,383687
4080,80.0,0.208004009,384633
4090,82.0,0.208507215,385556
4100,80.0,0.208999855,386488
4110,80.0,0.209503688,387414
4120,84.0,0.210038061,388345
4130,82.0,0.21053102,389314
4140,80.0,0.211031332,390261
4150,78.0,0.211533477,391217
4160,80.0,0.212034102,392148
4170,79.0,0.212532225,393075
4180,81.0,0.213034546,394020
4190,79.0,0.213538587,394952
4200,79.0,0.214038025,395888
4210,80.0,0.214542876,396823
4220,80.0,0.215054727,397761
4230,77.0,0.215566125,398695
4240,79.0,0.216073096,399623
4250,81.0,0.216613719,400568
4260,77.0,0.217119319,401507
4270,77.0,0.217633028,402452
4280,79.0,0.218135579,403405
4290,77.0,0.218646238,404339
4300,79.0,0.21915972,405288
4310,79.0,0.21971227,406224
4320,79.0,0.220221344,407159
4330,79.0,0.220732088,408093
4340,80.0,0.221239438,409030
4350,80.0,0.221755783,409962
4360,79.0,0.222266193,410904
4370,80.0,0.222773337,411851
4380,82.0,0.223276752,412792
4390,80.0,0.22378517,413731
4400,82.0,0.224295763,414680
4410,80.0,0.224815955,415631
4420,84.0,0.225319165,416588
4430,81.0,0.225822,417539
4440,80.0,0.226368532,418471
4450,80.0,0.226885261,419413
4460,80.0,0.227397882,420367
4470,82.0,0.227901209,421310
4480,82.0,0.228404868,422257
4490,82.0,0.228905447,423199
4500,84.0,0.229457959,424143
4510,81.0,0.229965792,425085
4520,81.0,0.230472895,426050
4530,82.0,0.230974971,427007
4540,83.0,0.231472986,427974
4550,83.0,0.231969282,428909
4560,85.0,0.232460183,429836
4570,83.0,0.232989606,430768
4580,84.0,0.233484982,431706
4590,82.0,0.23397797,432646
4600,82.0,0.23448011,433591
4610,82.0,0.234970017,434536
4620,84.0,0.235467687,435477
4630,84.0,0.236008457,436404
4640,82.0,0.236490998,437340
4650,84.0,0.236975329,438270
4660,84.0,0.237458087,439200
4670,82.0,0.237943035,440128
4680,84.0,0.238423119,441075
4690,86.0,0.238915792,442027
4700,84.0,0.23944494,442954
4710,82.0,0.23992656,443893
4720,82.0,0.240430595,444824
4730,84.0,0.240953733,445765
4740,82.0,0.241452854,446706
4750,80.0,0.241944069,447662
4760,84.0,0.242481987,448602
4770,86.0,0.24296982,449549
4780,84.0,0.243454786,450492
4790,84.0,0.243946631,451432
4800,82.0,0.244441947,452365
4810,82.0,0.244939349,453310
4820,84.0,0.24544307,454276
4830,84.0,0.245976273,455221
4840,82.0,0.24646662,456167
4850,84.0,0.246962108,457105
4860,82.0,0.247469041,458047
4870,82.0,0.247967779,458978
4880,84.0,0.248471103,459914
4890,84.0,0.249014362,460861
4900,84.0,0.249516227,461795
4910,82.0,0.250020369,462709
4920,84.0,0.250514736,463634
4930,81.0,0.251018131,464582
4940,82.0,0.251512975,465527
4950,82.0,0.252006281,466478
4960,82.0,0.252506413,467423
4970,82.0,0.253004734,468366
4980,81.0,0.253509285,469307
4990,82.0,0.254024517,470252
5000,83.0,0.254533022,471194
