iterations,fitness,time,fevals
0,74.0,0.08466684,2000
10,88.0,0.152643714,4200
20,88.0,0.206573066,6400
30,88.0,0.258170816,8600
40,88.0,0.308974892,10800
50,88.0,0.3607412,13000
60,88.0,0.411446424,15200
70,88.0,0.463528278,17400
80,88.0,0.515229923,19600
90,88.0,0.564041272,21800
100,88.0,0.61275119,24000
110,88.0,0.662185693,26200
120,88.0,0.710873411,28400
130,88.0,0.759616982,30600
140,88.0,0.808671967,32800
150,88.0,0.858087622,35000
160,88.0,0.906957812,37200
170,88.0,0.956593585,39400
180,88.0,1.006171378,41600
190,88.0,1.055891501,43800
200,88.0,1.10483513,46000
210,88.0,1.154204559,48200
220,88.0,1.203624751,50400
230,88.0,1.253041772,52600
240,88.0,1.301550618,54800
250,88.0,1.350558002,57000
260,88.0,1.400318382,59200
270,88.0,1.449409683,61400
280,88.0,1.502002298,63600
290,88.0,1.551335265,65800
300,88.0,1.599906057,68000
310,88.0,1.649507618,70200
320,88.0,1.698311665,72400
330,88.0,1.747659644,74600
340,88.0,1.796404332,76800
350,88.0,1.844988757,79000
360,88.0,1.899309411,81200
370,88.0,1.948599026,83400
380,88.0,1.997752319,85600
390,88.0,2.045458585,87800
400,88.0,2.093984584,90000
410,88.0,2.142845296,92200
420,88.0,2.193047107,94400
430,88.0,2.243160043,96600
440,88.0,2.293459415,98800
450,88.0,2.342107169,101000
460,88.0,2.392308243,103200
470,88.0,2.441715036,105400
480,88.0,2.500487405,107600
490,88.0,2.549532262,109800
500,88.0,2.598319189,112000
510,88.0,2.646739011,114200
520,88.0,2.6961708,116400
530,88.0,2.744447292,118600
540,88.0,2.793653858,120800
550,88.0,2.84319431,123000
560,88.0,2.895170472,125200
570,88.0,2.944891921,127400
580,88.0,2.992950875,129600
590,88.0,3.040933669,131800
600,88.0,3.089164843,134000
610,88.0,3.13876225,136200
620,88.0,3.18796819,138400
630,88.0,3.237300794,140600
640,88.0,3.286405534,142800
650,88.0,3.334906224,145000
660,88.0,3.384551321,147200
670,88.0,3.435638695,149400
680,88.0,3.484584277,151600
