iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.000176076419412,0.000235028839821,0.000230235520648,1.0,1.0,1.0,1.0,1.0,1.0,0.192898963
10,0.000181077534943,0.000245600692628,0.000245448902192,1.0,1.0,1.0,1.0,1.0,1.0,2.396866724
20,0.000127290972109,0.000169093006164,0.00015809496182,1.0,1.0,1.0,1.0,1.0,1.0,4.629134284
30,0.000118642936719,0.0001586404058,0.000145792724769,1.0,1.0,1.0,1.0,1.0,1.0,6.857942134
40,7.101923072e-05,0.000105697945592,9.07409233871e-05,1.0,1.0,1.0,1.0,1.0,1.0,9.093211874
50,5.44547242402e-05,7.99404458773e-05,7.00801178843e-05,1.0,1.0,1.0,1.0,1.0,1.0,11.333249167
60,6.10713050016e-05,9.00088013227e-05,8.06168075267e-05,1.0,1.0,1.0,1.0,1.0,1.0,13.567152763
70,4.21422619235e-05,6.05747994215e-05,5.08914925217e-05,1.0,1.0,1.0,1.0,1.0,1.0,15.800397772
80,3.84155451313e-05,5.88085020125e-05,4.5484400932e-05,1.0,1.0,1.0,1.0,1.0,1.0,18.032678985
90,4.2182505033e-05,6.39976922468e-05,5.15579127306e-05,1.0,1.0,1.0,1.0,1.0,1.0,20.203484371
100,3.78508721091e-05,5.57631136414e-05,5.03625368858e-05,1.0,1.0,1.0,1.0,1.0,1.0,22.373132735
110,2.49792710536e-05,3.72036605209e-05,3.2226323734e-05,1.0,1.0,1.0,1.0,1.0,1.0,24.548930424
120,1.8136905737e-05,2.55984960893e-05,2.28877773678e-05,1.0,1.0,1.0,1.0,1.0,1.0,26.718331899
130,9.65058819874e-06,1.32736485215e-05,1.12214585127e-05,1.0,1.0,1.0,1.0,1.0,1.0,28.918094998
140,5.79579931647e-06,8.24593467344e-06,6.61231321046e-06,1.0,1.0,1.0,1.0,1.0,1.0,31.121016564
150,6.00298111992e-06,9.12170242457e-06,6.39653838107e-06,1.0,1.0,1.0,1.0,1.0,1.0,33.330634848
160,3.96120438376e-06,5.54118013015e-06,4.39236900384e-06,1.0,1.0,1.0,1.0,1.0,1.0,35.526726494
170,3.2884069612e-06,5.5108651896e-06,3.73605257609e-06,1.0,1.0,1.0,1.0,1.0,1.0,37.703471289
180,2.28459392786e-06,3.77318057447e-06,2.36074578687e-06,1.0,1.0,1.0,1.0,1.0,1.0,39.881103591
190,2.36739124036e-06,3.99270013052e-06,2.59926385842e-06,1.0,1.0,1.0,1.0,1.0,1.0,42.056958208
200,1.91210304872e-06,3.40744449441e-06,2.01559489937e-06,1.0,1.0,1.0,1.0,1.0,1.0,44.248091103
210,1.55043174373e-06,2.7929878708e-06,1.61442324497e-06,1.0,1.0,1.0,1.0,1.0,1.0,46.471554739
220,8.48484587092e-07,1.48665842699e-06,8.09252643883e-07,1.0,1.0,1.0,1.0,1.0,1.0,48.691400981
230,6.01586725287e-07,9.89608445662e-07,6.53308280969e-07,1.0,1.0,1.0,1.0,1.0,1.0,50.921437156
