problem,algorithm,params,best fitness,best iterations,best time,best fevals
CONTPEAKS,MIMIC,"['200', '75', '0.9']",92.0,2790,15.046207831,615800.0
CONTPEAKS,RHC,"[]",97.0,4060,0.00151599200002,4071.0
CONTPEAKS,GA,"['500', '100', '50']",99.0,1680,0.218953945,234014.0
CONTPEAKS,SA,"['0.65']",99.0,4110,0.00253276600009,4121.0
FLIPFLOP,MIMIC,"['200', '75', '0.8']",92.0,40,0.315015693,10800.0
FLIPFLOP,RHC,"[]",81.0,300,0.000102474999991,311.0
FLIPFLOP,GA,"['500', '100', '100']",97.0,4210,0.748922345,728854.0
FLIPFLOP,SA,"['0.85']",94.0,3920,0.00156991699997,3931.0
NN,Backprop,"['/NN', 'Backpro']",1.0,10,0.373161686,0
NN,RHC,"['/NN', 'RH']",0.99801980198,350,3.665246081,0
NN,GA,"['/NN', 'GA', '20', '10', '1']",1.0,10,1.311945951,0
NN,SA,"['/NN', 'SA', '0.0']",1.0,350,3.55167785,0
TSP,MIMIC,"['200', '75', '0.7']",0.115034318777,3670,30.729140056,809400.0
TSP,GA,"['500', '50', '25']",0.181189327616,1210,0.182593596,88356.0
TSP,RHC,"[]",0.120686429815,4660,0.00284583398025,4671.0
TSP,SA,"['0.95']",0.13480530268,4880,0.00282721302028,4891.0
