iterations,fitness,time,fevals
0,28.0,0.150191625,2000
10,36.0,0.262336786,4200
20,43.0,0.339967932,6400
30,54.0,0.411495297,8600
40,65.0,0.47382583,10800
50,44.0,0.538018222,13000
60,49.0,0.599211699,15200
70,64.0,0.666656582,17400
80,53.0,0.729724165,19600
90,54.0,0.790754756,21800
100,55.0,0.851645992,24000
110,58.0,0.912533291,26200
120,54.0,0.97043828,28400
130,50.0,1.026831636,30600
140,49.0,1.082610948,32800
150,49.0,1.139143292,35000
160,49.0,1.195516704,37200
170,50.0,1.252828578,39400
180,52.0,1.309613909,41600
190,52.0,1.366112459,43800
200,49.0,1.422492841,46000
210,49.0,1.478752337,48200
220,52.0,1.536370294,50400
230,51.0,1.592819437,52600
240,49.0,1.651344663,54800
250,52.0,1.710067631,57000
260,58.0,1.768183729,59200
270,58.0,1.828436568,61400
280,59.0,1.88465602,63600
290,61.0,1.940033936,65800
300,59.0,1.995241148,68000
310,59.0,2.049773314,70200
320,59.0,2.105601876,72400
330,63.0,2.161765697,74600
340,63.0,2.218752945,76800
350,66.0,2.276514105,79000
360,62.0,2.330109691,81200
370,64.0,2.383710724,83400
380,64.0,2.438296034,85600
390,63.0,2.49628106,87800
400,63.0,2.551759232,90000
410,63.0,2.607843141,92200
420,58.0,2.663317377,94400
430,60.0,2.718663289,96600
440,63.0,2.773356848,98800
450,63.0,2.828723796,101000
460,62.0,2.882308123,103200
470,64.0,2.937512945,105400
480,63.0,2.991523341,107600
490,63.0,3.045965769,109800
500,64.0,3.10985601,112000
510,63.0,3.164896854,114200
520,63.0,3.220724812,116400
530,64.0,3.406228188,118600
540,63.0,3.462250726,120800
550,64.0,3.51760501,123000
560,64.0,3.57368287,125200
570,64.0,3.628086257,127400
580,64.0,3.68446994,129600
590,63.0,3.739507299,131800
600,63.0,3.793729431,134000
610,63.0,3.848087266,136200
620,63.0,3.90370289,138400
630,63.0,3.959186764,140600
640,64.0,4.014484321,142800
650,63.0,4.070355099,145000
660,64.0,4.126531373,147200
670,63.0,4.181879716,149400
680,64.0,4.237881514,151600
690,63.0,4.292061067,153800
700,64.0,4.346148768,156000
710,64.0,4.399874809,158200
720,63.0,4.454309659,160400
730,64.0,4.508482961,162600
740,64.0,4.565720043,164800
750,64.0,4.620293502,167000
760,64.0,4.674571273,169200
770,63.0,4.729811288,171400
780,64.0,4.784526855,173600
790,64.0,4.838049314,175800
800,63.0,4.892531621,178000
810,64.0,4.947899087,180200
820,64.0,5.003246174,182400
830,63.0,5.058803428,184600
840,64.0,5.113038976,186800
850,65.0,5.168572166,189000
860,63.0,5.22293659,191200
870,63.0,5.277743974,193400
880,63.0,5.332748279,195600
890,63.0,5.38700212,197800
900,63.0,5.442008789,200000
910,64.0,5.497206113,202200
920,63.0,5.55279506,204400
930,64.0,5.606945815,206600
940,63.0,5.661161837,208800
950,63.0,5.716287142,211000
960,63.0,5.771655045,213200
970,64.0,5.825674134,215400
980,64.0,5.879100012,217600
990,64.0,5.933834467,219800
1000,63.0,5.987827752,222000
1010,64.0,6.042457551,224200
1020,64.0,6.095539306,226400
1030,64.0,6.150197505,228600
1040,65.0,6.205541494,230800
1050,64.0,6.262938352,233000
1060,64.0,6.317424187,235200
1070,63.0,6.371314076,237400
1080,63.0,6.426280377,239600
1090,63.0,6.479280054,241800
1100,63.0,6.534620867,244000
1110,63.0,6.588176846,246200
1120,63.0,6.641788296,248400
1130,64.0,6.695851761,250600
1140,64.0,6.749789028,252800
1150,63.0,6.803627826,255000
1160,63.0,6.857355914,257200
1170,64.0,6.910631074,259400
1180,65.0,6.963914503,261600
1190,65.0,7.019414215,263800
1200,64.0,7.074708874,266000
1210,65.0,7.128146045,268200
1220,63.0,7.18260654,270400
1230,63.0,7.236175276,272600
1240,64.0,7.290074171,274800
1250,64.0,7.344171253,277000
1260,64.0,7.398910038,279200
