iterations,fitness,time,fevals
0,16.0,6.22299999975e-06,11
10,16.0,1.17499999988e-05,21
20,16.0,1.61480000003e-05,31
30,16.0,2.12630000007e-05,41
40,16.0,2.56889999974e-05,51
50,17.0,3.03249999973e-05,61
60,19.0,3.50420000004e-05,71
70,19.0,4.0577e-05,81
80,19.0,4.50130000047e-05,91
90,19.0,4.94820000085e-05,101
100,19.0,5.46520000029e-05,111
110,19.0,5.90140000085e-05,121
120,19.0,6.37100000063e-05,131
130,19.0,6.76189999993e-05,141
140,20.0,7.27950000012e-05,151
150,20.0,7.82130000019e-05,161
160,20.0,8.30760000028e-05,171
170,20.0,8.77980000027e-05,181
180,20.0,9.20989999997e-05,191
190,21.0,9.68419999978e-05,201
200,21.0,0.000101800999992,211
210,21.0,0.000106782999993,221
220,21.0,0.000111068999992,231
230,21.0,0.000115084999997,241
240,21.0,0.000120088999999,251
250,21.0,0.000127595999999,261
260,21.0,0.000137746999997,271
270,21.0,0.000147840999993,281
280,21.0,0.000157414999997,291
290,21.0,0.000167485999995,301
300,21.0,0.000177514000001,311
310,21.0,0.000187168000004,321
320,21.0,0.000197158000006,331
330,21.0,0.00020673600001,341
340,21.0,0.000217034000009,351
350,21.0,0.000226730000009,361
360,21.0,0.000236632000004,371
370,21.0,0.000247806000004,381
380,21.0,0.000257648000002,391
390,22.0,0.000267113,401
400,25.0,0.000274909999995,411
410,25.0,0.000284452999999,421
420,26.0,0.000293544999998,431
430,26.0,0.000303596999998,441
440,26.0,0.000313349999999,451
450,27.0,0.000323049999999,461
460,27.0,0.000333155999996,471
470,27.0,0.000342841999995,481
480,27.0,0.000353041999993,491
490,30.0,0.000362928999991,501
500,30.0,0.000372985999988,511
510,30.0,0.000382725999984,521
520,30.0,0.000392415999983,531
530,30.0,0.000402258999983,541
540,30.0,0.000412204999989,551
550,30.0,0.00042191699999,561
560,31.0,0.000431245999991,571
570,31.0,0.000441779999989,581
580,31.0,0.000451308999992,591
590,36.0,0.000459879999994,601
600,37.0,0.000469433999989,611
610,37.0,0.000479226999985,621
620,37.0,0.000488957999984,631
630,37.0,0.000498721999989,641
640,37.0,0.000508579999988,651
650,37.0,0.000518128999985,661
660,39.0,0.000527577999982,671
670,39.0,0.00053721899998,681
680,39.0,0.000546954999983,691
690,39.0,0.000556729999978,701
700,39.0,0.000566901999981,711
710,39.0,0.000577171999979,721
720,39.0,0.000587250999978,731
730,39.0,0.00059732499998,741
740,39.0,0.000607136999982,751
750,39.0,0.000616887999982,761
760,39.0,0.000626453999978,771
770,39.0,0.000636204999971,781
780,40.0,0.000645503999969,791
790,40.0,0.000655390999974,801
800,40.0,0.00066509199997,811
810,40.0,0.000675290999972,821
820,40.0,0.000684919999969,831
830,40.0,0.000694904999968,841
840,40.0,0.000704858999967,851
850,40.0,0.000714599999966,861
860,40.0,0.000724395999967,871
870,40.0,0.000734325999964,881
