iterations,fitness,time,fevals
0,63.0,0.000783859000002,1411
10,66.0,0.00151833,2646
20,66.0,0.002225415,3854
30,69.0,0.0029657,5079
40,71.0,0.003668735,6302
50,73.0,0.004346645,7515
60,79.0,0.005032292,8743
70,77.0,0.005685392,9961
80,81.0,0.006381578,11186
90,79.0,0.007016156,12410
100,77.0,0.007637896,13638
110,80.0,0.008271531,14859
120,80.0,0.008899937,16075
130,80.0,0.009573172,17295
140,79.0,0.010185881,18527
150,80.0,0.010793646,19736
160,80.0,0.011401354,20967
170,81.0,0.012001933,22186
180,82.0,0.012607656,23408
190,81.0,0.013240625,24628
200,80.0,0.013838956,25842
210,82.0,0.014434712,27065
220,80.0,0.015045077,28301
230,82.0,0.015655621,29518
240,80.0,0.016306974,30730
250,79.0,0.016923266,31958
260,80.0,0.017540436,33182
270,79.0,0.018164241,34397
280,79.0,0.018786351,35624
290,79.0,0.019416255,36842
300,79.0,0.020048514,38062
310,82.0,0.020673054,39285
320,80.0,0.021282918,40499
330,77.0,0.021896896,41723
340,82.0,0.022501779,42937
350,78.0,0.023150857,44157
360,80.0,0.023746575,45392
370,80.0,0.024339143,46597
380,80.0,0.024949876,47819
390,80.0,0.025549895,49051
400,79.0,0.026147486,50271
410,80.0,0.026747418,51499
420,80.0,0.027345647,52734
430,81.0,0.02793275,53980
440,80.0,0.028502004,55198
450,79.0,0.029075335,56407
460,80.0,0.029708776,57624
470,80.0,0.03030867,58852
480,81.0,0.030895675,60052
490,79.0,0.031490679,61283
500,81.0,0.032067053,62490
510,81.0,0.032650758,63731
520,81.0,0.03327855,64956
530,79.0,0.033879213,66192
540,81.0,0.0344835,67421
550,80.0,0.035094178,68655
560,82.0,0.035700268,69865
570,79.0,0.036372494,71090
580,83.0,0.036993571,72299
590,86.0,0.037600085,73534
600,85.0,0.038205888,74747
610,84.0,0.038798477,75976
620,84.0,0.039380832,77190
630,85.0,0.040006585,78425
640,84.0,0.040598485,79647
650,85.0,0.041190547,80877
660,82.0,0.041795808,82101
670,81.0,0.04239475,83319
680,82.0,0.04304037,84540
690,84.0,0.043655232,85757
700,83.0,0.044260951,86985
710,83.0,0.044874545,88210
720,81.0,0.045471925,89430
730,83.0,0.046078374,90652
740,83.0,0.046740184,91883
750,81.0,0.047344758,93123
760,81.0,0.047954723,94363
770,83.0,0.048571302,95588
780,83.0,0.049186423,96804
790,81.0,0.049842473,98025
800,83.0,0.050442237,99241
810,83.0,0.051044779,100453
820,83.0,0.051674266,101659
830,85.0,0.052284544,102880
840,86.0,0.052932765,104106
850,84.0,0.05354007,105316
860,85.0,0.054143824,106529
870,87.0,0.054737478,107753
880,87.0,0.0553454,108983
890,85.0,0.055945392,110207
900,85.0,0.056577531,111430
910,87.0,0.057176547,112653
920,87.0,0.057773004,113880
930,87.0,0.058389416,115099
940,89.0,0.058979927,116326
950,89.0,0.059569933,117549
960,87.0,0.060154129,118761
970,89.0,0.060741869,119989
980,89.0,0.061324653,121191
990,89.0,0.061912839,122403
1000,89.0,0.062491479,123608
1010,89.0,0.063108513,124830
1020,87.0,0.063696064,126060
1030,87.0,0.064274547,127270
1040,87.0,0.064881707,128508
1050,89.0,0.06550168,129741
1060,87.0,0.066104801,130962
1070,89.0,0.066697821,132176
1080,87.0,0.067283742,133397
1090,87.0,0.067882568,134617
1100,87.0,0.0684735039999,135838
1110,89.0,0.0690541699999,137054
1120,91.0,0.0697112259999,138278
1130,87.0,0.0702985399999,139492
1140,88.0,0.070883445,140705
1150,91.0,0.0715271709999,141939
1160,91.0,0.072113178,143148
1170,91.0,0.072692029,144363
1180,91.0,0.0732886289999,145577
1190,91.0,0.0738632369999,146795
1200,90.0,0.0744391979999,148008
1210,88.0,0.0750234739999,149215
1220,87.0,0.0756078709999,150443
1230,87.0,0.0762031669999,151666
1240,85.0,0.0767943999999,152888
1250,87.0,0.0773911419999,154107
1260,91.0,0.0780343959999,155344
1270,91.0,0.078616426,156574
1280,87.0,0.079205266,157791
1290,87.0,0.079873823,159009
1300,89.0,0.080467543,160248
1310,85.0,0.081066885,161484
1320,87.0,0.081662213,162709
1330,89.0,0.082243513,163931
1340,87.0,0.082874216,165169
1350,89.0,0.083456057,166391
1360,89.0,0.084051582,167638
1370,89.0,0.084692899,168853
1380,91.0,0.085271455,170068
1390,89.0,0.085851951,171290
1400,89.0,0.086515976,172521
1410,89.0,0.087110369,173739
1420,89.0,0.0876929679999,174970
1430,89.0,0.088277152,176188
1440,89.0,0.088856233,177407
1450,90.0,0.089482179,178630
1460,89.0,0.090070114,179858
1470,90.0,0.090647932,181082
1480,88.0,0.091239051,182305
1490,89.0,0.0918264109999,183521
1500,89.0,0.092416784,184757
1510,89.0,0.0930909269999,185983
1520,91.0,0.0936816979999,187204
1530,89.0,0.094278406,188428
1540,91.0,0.094869107,189659
1550,89.0,0.095448288,190887
1560,87.0,0.096030831,192093
1570,89.0,0.0966273339999,193307
1580,91.0,0.0972200969999,194554
1590,89.0,0.0978376039999,195760
1600,89.0,0.0984189409999,196972
1610,89.0,0.0989988109999,198200
1620,91.0,0.0996550089999,199434
1630,91.0,0.100235226,200660
1640,89.0,0.100810403,201875
1650,91.0,0.101387801,203089
1660,91.0,0.10197988,204319
1670,88.0,0.1025623,205534
1680,89.0,0.103220334,206765
1690,87.0,0.103806309,208013
1700,89.0,0.104406919,209249
1710,89.0,0.105011077,210470
1720,90.0,0.10559834,211675
1730,91.0,0.106272617,212895
1740,91.0,0.10685276,214120
1750,91.0,0.10743246,215330
1760,91.0,0.10802528,216542
1770,87.0,0.108608671,217769
1780,89.0,0.109184555,218994
1790,87.0,0.109844271,220230
1800,87.0,0.110439383,221444
1810,89.0,0.111027054,222666
1820,87.0,0.111645883,223898
1830,85.0,0.112230093,225109
1840,85.0,0.11290264,226338
1850,87.0,0.113499484,227554
1860,89.0,0.114089835,228775
1870,87.0,0.114681357,230003
1880,87.0,0.115271289,231209
1890,87.0,0.115870985,232452
1900,87.0,0.116541322,233678
1910,87.0,0.117131292,234902
1920,87.0,0.117725171,236142
1930,87.0,0.118332253,237371
1940,87.0,0.118931938,238596
1950,87.0,0.119613758,239831
1960,88.0,0.120208412,241054
1970,87.0,0.120802287,242290
