iterations,fitness,time,fevals
0,76.0,0.0848009850001,2000
10,85.0,0.155776286,4200
20,87.0,0.212231868,6400
30,87.0,0.265730779,8600
40,87.0,0.317757417999,10800
50,87.0,0.369192085,13000
60,87.0,0.419662646,15200
70,87.0,0.470109435,17400
80,87.0,0.521412185,19600
90,87.0,0.571561432,21800
100,87.0,0.624751001,24000
110,87.0,0.674188794,26200
120,87.0,0.722922249,28400
130,87.0,0.771571757,30600
140,87.0,0.821150315,32800
150,87.0,0.87036038,35000
160,87.0,0.919381477,37200
170,87.0,0.967904567,39400
180,87.0,1.016897973,41600
190,87.0,1.066982331,43800
200,87.0,1.117173617,46000
210,87.0,1.166930211,48200
220,87.0,1.216769429,50400
230,87.0,1.266754803,52600
240,87.0,1.316375531,54800
250,87.0,1.365739977,57000
260,87.0,1.414460391,59200
270,87.0,1.465533394,61400
280,87.0,1.514736522,63600
290,87.0,1.563919528,65800
300,87.0,1.612575256,68000
310,87.0,1.661913435,70200
320,87.0,1.712370849,72400
330,87.0,1.761664486,74600
340,87.0,1.810532029,76800
350,87.0,1.859668863,79000
360,87.0,1.909458164,81200
370,87.0,1.959074831,83400
380,87.0,2.008872355,85600
390,87.0,2.070811336,87800
400,87.0,2.119515989,90000
410,87.0,2.168219774,92200
420,87.0,2.216542346,94400
430,87.0,2.265252844,96600
440,87.0,2.314624267,98800
450,87.0,2.363352507,101000
460,87.0,2.412347058,103200
470,87.0,2.462425429,105400
480,87.0,2.51246936,107600
490,87.0,2.561180454,109800
500,87.0,2.610616436,112000
510,87.0,2.659736821,114200
520,87.0,2.710206347,116400
530,87.0,2.766325023,118600
540,87.0,2.815511271,120800
550,87.0,2.864594196,123000
560,87.0,2.913693579,125200
570,87.0,2.964190974,127400
580,87.0,3.013331774,129600
590,87.0,3.061696889,131800
600,87.0,3.110330108,134000
610,87.0,3.159581737,136200
620,87.0,3.208418453,138400
630,87.0,3.257174362,140600
640,87.0,3.305548214,142800
650,87.0,3.35612854,145000
660,87.0,3.40832668,147200
670,87.0,3.459605363,149400
680,87.0,3.509073546,151600
690,87.0,3.558212975,153800
700,87.0,3.607674406,156000
710,87.0,3.657300934,158200
720,87.0,3.706435156,160400
730,87.0,3.7554313,162600
740,87.0,3.804958085,164800
750,89.0,3.854769683,167000
760,87.0,3.904569043,169200
770,87.0,3.9547748,171400
780,87.0,4.004518962,173600
790,87.0,4.053381992,175800
800,89.0,4.106465779,178000
810,87.0,4.156565077,180200
820,87.0,4.205423346,182400
830,87.0,4.254536411,184600
840,87.0,4.304464389,186800
850,87.0,4.354179944,189000
860,87.0,4.405722021,191200
870,87.0,4.455949392,193400
880,87.0,4.50538477,195600
890,87.0,4.555579712,197800
900,87.0,4.605553763,200000
910,87.0,4.654967339,202200
920,87.0,4.73012778,204400
930,87.0,4.77896098,206600
940,87.0,4.827587261,208800
950,87.0,4.876622681,211000
960,87.0,4.92626437,213200
970,87.0,4.975414116,215400
980,87.0,5.023910328,217600
990,87.0,5.072919854,219800
1000,87.0,5.12192932,222000
1010,87.0,5.172729806,224200
1020,87.0,5.223374402,226400
1030,87.0,5.272391367,228600
1040,87.0,5.322212492,230800
1050,87.0,5.373032833,233000
1060,87.0,5.434066359,235200
1070,87.0,5.483234071,237400
1080,87.0,5.532641836,239600
1090,87.0,5.581744769,241800
1100,87.0,5.630589009,244000
1110,87.0,5.679346147,246200
1120,87.0,5.729313284,248400
1130,87.0,5.77909625,250600
1140,87.0,5.830199556,252800
1150,87.0,5.880486795,255000
1160,87.0,5.930825426,257200
1170,87.0,5.981411963,259400
1180,87.0,6.030194124,261600
1190,87.0,6.079430625,263800
1200,87.0,6.1347239,266000
1210,87.0,6.183870993,268200
1220,87.0,6.233066558,270400
1230,87.0,6.283751873,272600
1240,87.0,6.333821028,274800
1250,87.0,6.382435553,277000
1260,87.0,6.431012561,279200
1270,87.0,6.48056933,281400
1280,87.0,6.529604368,283600
1290,87.0,6.579832282,285800
1300,87.0,6.629694896,288000
1310,87.0,6.679438986,290200
1320,87.0,6.72902298,292400
1330,87.0,6.778353793,294600
1340,87.0,6.828617742,296800
1350,87.0,6.888978037,299000
1360,87.0,6.938252712,301200
1370,87.0,6.987368072,303400
1380,87.0,7.036228053,305600
1390,87.0,7.085323901,307800
1400,87.0,7.133518472,310000
1410,87.0,7.182322419,312200
1420,87.0,7.23094082,314400
1430,87.0,7.280154681,316600
1440,87.0,7.331274194,318800
1450,87.0,7.380685665,321000
1460,87.0,7.429850686,323200
1470,87.0,7.48026964,325400
1480,87.0,7.529706507,327600
1490,87.0,7.579228084,329800
1500,87.0,7.633104907,332000
1510,87.0,7.682671391,334200
1520,87.0,7.732597776,336400
1530,87.0,7.782413055,338600
1540,87.0,7.831594783,340800
1550,87.0,7.880127015,343000
1560,87.0,7.928799397,345200
1570,87.0,7.978567918,347400
1580,87.0,8.0302884,349600
1590,87.0,8.080525968,351800
1600,87.0,8.130871014,354000
1610,87.0,8.180755806,356200
1620,87.0,8.230271513,358400
1630,87.0,8.28144335,360600
1640,87.0,8.33155862,362800
1650,87.0,8.395223721,365000
1660,87.0,8.444510496,367200
1670,87.0,8.493879392,369400
1680,87.0,8.543434159,371600
1690,87.0,8.593387283,373800
1700,87.0,8.641715505,376000
1710,87.0,8.690545994,378200
1720,87.0,8.739482322,380400
1730,87.0,8.789209075,382600
1740,87.0,8.839839069,384800
1750,87.0,8.889184717,387000
1760,87.0,8.939372783,389200
1770,87.0,8.98954673,391400
1780,87.0,9.039107709,393600
1790,87.0,9.08860718,395800
1800,87.0,9.140195957,398000
1810,87.0,9.192123666,400200
1820,87.0,9.244633211,402400
1830,87.0,9.293498059,404600
1840,87.0,9.342817146,406800
1850,87.0,9.392630243,409000
1860,89.0,9.441892479,411200
1870,87.0,9.490824729,413400
1880,87.0,9.539977463,415600
1890,87.0,9.58917529,417800
1900,87.0,9.639274849,420000
1910,87.0,9.688353433,422200
1920,87.0,9.738925264,424400
1930,87.0,9.787913279,426600
1940,87.0,9.836878611,428800
1950,87.0,9.885860822,431000
1960,87.0,9.93523398,433200
1970,87.0,9.985376355,435400
1980,87.0,10.057323929,437600
1990,87.0,10.106993338,439800
2000,87.0,10.156089042,442000
2010,87.0,10.206499186,444200
2020,87.0,10.25961479,446400
2030,87.0,10.309521063,448600
2040,87.0,10.359678154,450800
2050,87.0,10.409228333,453000
2060,87.0,10.459465922,455200
2070,87.0,10.508674809,457400
2080,87.0,10.560073848,459600
2090,87.0,10.611187774,461800
2100,87.0,10.661955614,464000
2110,87.0,10.71149153,466200
2120,87.0,10.762922571,468400
2130,87.0,10.812068492,470600
2140,87.0,10.862402518,472800
2150,87.0,10.912258486,475000
2160,87.0,10.968777843,477200
2170,87.0,11.018730065,479400
2180,87.0,11.067975455,481600
2190,87.0,11.117781329,483800
2200,87.0,11.167775852,486000
2210,87.0,11.218039463,488200
2220,87.0,11.268250842,490400
2230,87.0,11.319743089,492600
2240,87.0,11.370075037,494800
2250,87.0,11.419845129,497000
2260,87.0,11.470178354,499200
2270,87.0,11.518939352,501400
2280,89.0,11.569756391,503600
2290,87.0,11.620313109,505800
2300,87.0,11.66987645,508000
2310,87.0,11.720121722,510200
2320,87.0,11.769457104,512400
2330,87.0,11.819599631,514600
2340,87.0,11.881164184,516800
2350,87.0,11.931519421,519000
2360,87.0,11.980073633,521200
2370,87.0,12.02943499,523400
2380,87.0,12.078852309,525600
2390,87.0,12.128035777,527800
2400,87.0,12.177326536,530000
2410,87.0,12.227179621,532200
2420,87.0,12.276817005,534400
2430,89.0,12.326855201,536600
2440,87.0,12.376662838,538800
2450,87.0,12.425362343,541000
2460,87.0,12.474612177,543200
2470,87.0,12.524102923,545400
