iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.363817584303,0.375660099392,0.358890786657,0.153386454183,0.12865497076,0.146245059289,0.412365699367,0.366473509934,0.40672178289,0.016047115
50,0.346457605406,0.359376210827,0.343476401032,0.157370517928,0.137426900585,0.146245059289,0.395835425243,0.372144039735,0.372573687994,0.547833776
100,0.333618101441,0.346509270329,0.331234983904,0.167330677291,0.152046783626,0.158102766798,0.391275061084,0.366680463576,0.370416966211,1.067965361
150,0.309382691094,0.320433021658,0.309659923164,0.174302788845,0.181286549708,0.189723320158,0.367402182281,0.354304635762,0.324047447879,1.586345364
200,0.2756327834,0.28701164252,0.280921788799,0.217131474104,0.210526315789,0.209486166008,0.382250560632,0.370074503311,0.311646297628,2.126476547
250,0.244626908764,0.255175416761,0.248983943163,0.260956175299,0.254385964912,0.249011857708,0.373134016133,0.383319536424,0.31494128924,2.666146782
300,0.205452361867,0.215383023282,0.211634310909,0.361553784861,0.333333333333,0.335968379447,0.350244335107,0.363079470199,0.272046489336,3.206620182
350,0.166063221739,0.172219271456,0.17595489168,0.483067729084,0.456140350877,0.403162055336,0.341140342069,0.380339403974,0.253953989935,3.746249295
400,0.126307547234,0.127434899835,0.133674214,0.65438247012,0.637426900585,0.644268774704,0.309778424875,0.337913907285,0.222322070453,4.274617541
450,0.102484927024,0.100051428576,0.111305321724,0.73406374502,0.728070175439,0.735177865613,0.323480436456,0.347185430464,0.233525041936,4.80258489
500,0.0976445731474,0.0930596793652,0.104735197142,0.74203187251,0.754385964912,0.739130434783,0.312384944941,0.343667218543,0.239575844716,5.330716054
550,0.0909254632405,0.0860920162546,0.0993266987539,0.768924302789,0.777777777778,0.770750988142,0.321593533487,0.353311258278,0.244308650851,5.861748094
600,0.0803497496779,0.0744786373482,0.0903728973073,0.817729083665,0.821637426901,0.802371541502,0.327885999264,0.35625,0.240534387731,6.388491071
650,0.0762321636886,0.0693829969809,0.0873958620418,0.83764940239,0.845029239766,0.806324110672,0.33291076748,0.366928807947,0.24508746705,6.915337414
700,0.073026400316,0.0657171978105,0.0845946929811,0.843625498008,0.862573099415,0.822134387352,0.347817719316,0.368004966887,0.251078360891,7.441758234
750,0.0713069297805,0.0630867347569,0.0823028541636,0.851593625498,0.87134502924,0.818181818182,0.349587475315,0.364817880795,0.258447160316,7.969483924
800,0.068206604207,0.0575461506659,0.0778729907234,0.863545816733,0.885964912281,0.849802371542,0.386375807477,0.394205298013,0.306434219986,8.505638334
850,0.0681417190387,0.0573424098691,0.0776521052685,0.863545816733,0.885964912281,0.849802371542,0.390224922181,0.39673013245,0.294272705488,9.049592424
900,0.0672719345751,0.0566109578736,0.0768047530734,0.863545816733,0.883040935673,0.849802371542,0.4241849918,0.438369205298,0.339623771867,9.592424472
950,0.0668544215864,0.0565792320886,0.076675857356,0.863545816733,0.885964912281,0.845849802372,0.446635371691,0.447433774834,0.3368679607,10.114511823
1000,0.0656654727189,0.0563443848653,0.0762262127317,0.863545816733,0.885964912281,0.849802371542,0.489795662215,0.518004966887,0.38329738797,10.634940611
1050,0.0653054402576,0.0563592599282,0.0762387809438,0.862549800797,0.880116959064,0.849802371542,0.491364594839,0.512831125828,0.392822909178,11.154850708
1100,0.0642579116321,0.0554749568936,0.0756886677076,0.861553784861,0.877192982456,0.845849802372,0.529759514007,0.533567880795,0.409717229811,11.675197125
1150,0.0637801837552,0.0551770693874,0.0751704014111,0.863545816733,0.877192982456,0.845849802372,0.538340529504,0.561796357616,0.41654684879,12.205543297
1200,0.0633254620192,0.0546184991959,0.0744898676645,0.863545816733,0.877192982456,0.849802371542,0.561338989858,0.576158940397,0.450275581117,12.739238085
1250,0.0629194116371,0.0542939833405,0.0742139181886,0.863545816733,0.877192982456,0.849802371542,0.573099708806,0.590438741722,0.468847352025,13.269167352
1300,0.0617173170975,0.0532088741091,0.0735827050359,0.864541832669,0.877192982456,0.841897233202,0.601717039863,0.642798013245,0.503534627366,13.803147363
1350,0.0609151016098,0.0519262654529,0.0723002187922,0.863545816733,0.880116959064,0.845849802372,0.606762727181,0.629180463576,0.514857416727,14.341022305
1400,0.0600343372949,0.0511523280328,0.0715115956235,0.863545816733,0.885964912281,0.845849802372,0.621627840814,0.647516556291,0.534088185957,14.878042072
1450,0.05802644247,0.0501659956483,0.0696651033091,0.864541832669,0.880116959064,0.849802371542,0.664729557854,0.673468543046,0.579978432782,15.404630083
1500,0.0552455090434,0.0469233765061,0.0673998614306,0.857569721116,0.885964912281,0.849802371542,0.703132844663,0.722682119205,0.612808531033,15.931309313
1550,0.0544573245542,0.0461912068023,0.0664567717963,0.864541832669,0.883040935673,0.849802371542,0.712366536131,0.731870860927,0.620716510903,16.458421001
1600,0.052435077814,0.0440596894207,0.0651260008277,0.863545816733,0.888888888889,0.849802371542,0.735595106604,0.770819536424,0.640426551642,16.988465725
1650,0.0513127686072,0.0426962073742,0.063898142141,0.866533864542,0.885964912281,0.849802371542,0.75684891388,0.7875,0.679427270549,17.516964868
1700,0.051000576819,0.0422006895233,0.0632797492069,0.871513944223,0.888888888889,0.849802371542,0.765534524885,0.791639072848,0.684639348191,18.046257906
1750,0.0501647679389,0.0420468437698,0.0631843126914,0.873505976096,0.888888888889,0.849802371542,0.765116142852,0.782036423841,0.690150970525,18.577544812
1800,0.0488696127667,0.0409811384067,0.0615991320468,0.878486055777,0.891812865497,0.849802371542,0.77319928373,0.788162251656,0.696441409058,19.18054715
1850,0.0483349053879,0.0411349124923,0.0613613647369,0.881474103586,0.897660818713,0.849802371542,0.773044482378,0.787541390728,0.704648933621,19.810761414
1900,0.0477816721339,0.0407719804049,0.0613876758655,0.885458167331,0.894736842105,0.845849802372,0.773776650936,0.790687086093,0.701353942008,20.353194666
1950,0.0476053357306,0.0408189670414,0.0616956266963,0.886454183267,0.894736842105,0.849802371542,0.778755397128,0.793998344371,0.70620656602,20.903162111
