problem,algorithm,params,best fitness,best iterations,best time,best fevals
CONTPEAKS,MIMIC,"['200', '75', '0.9']",92.0,2790,15.046207831,615800.0
CONTPEAKS,GA,"['200', '50', '50']",99.0,2570,0.146214258,215236.0
CONTPEAKS,RHC,"[]",99.0,3990,0.00209603999993,4001.0
CONTPEAKS,SA,"['0.65']",99.0,4110,0.00253276600009,4121.0
FLIPFLOP,MIMIC,"['200', '75', '0.8']",92.0,40,0.315015693,10800.0
FLIPFLOP,RHC,"[]",82.0,450,0.000135319999998,461.0
FLIPFLOP,GA,"['500', '100', '100']",97.0,4210,0.748922345,728854.0
FLIPFLOP,SA,"['0.85']",94.0,3920,0.00156991699997,3931.0
NN,Backprop,"['/NN', 'Backpro']",0.823028995926,100,3.533685176,0
NN,RHC,"['/NN', 'RH']",0.810867481428,3050,32.751476749,0
NN,GA,"['/NN', 'GA', '20', '20', '1']",0.824706446202,3100,682.332412664,0
NN,SA,"['/NN', 'SA', '0.7']",0.859753175174,3050,32.771858147,0
TSP,MIMIC,"['200', '75', '0.7']",0.115034318777,3670,30.729140056,809400.0
TSP,GA,"['500', '50', '25']",0.18932559893,4800,0.66206068,346745.0
TSP,RHC,"[]",0.120686429815,4660,0.00284583398025,4671.0
TSP,SA,"['0.95']",0.13480530268,4880,0.00282721302028,4891.0
