k,GMM,Kmeans
2,0.5706878076128122,0.5706878076128122
3,0.5774577700625265,0.636681493664198
4,0.6247843400096977,0.5166977780488529
5,0.5272274188356585,0.39938282160297606
6,0.4598004393530387,0.34448906513587635
7,0.3750999419133468,0.36356754569120076
8,0.4018487841375675,0.3048547560140366
9,0.3408471265513441,0.30307775722256586
10,0.3095107770234608,0.29665295123159063
15,0.25437192742275977,0.2688540019554273
20,0.22604115347268097,0.26030227012922935
25,0.22283707864439906,0.21359023775006036
30,0.19554667704668818,0.19832286105349586
