k,type,score,label
2,Kmeans,0.228339,0
2,Kmeans,0.494021,1
2,Kmeans,0.123803,0
2,Kmeans,0.158028,0
2,Kmeans,0.052473,0
2,Kmeans,0.056512,0
2,Kmeans,0.226167,0
2,Kmeans,0.110101,0
2,Kmeans,0.336079,1
2,Kmeans,0.249632,1
2,Kmeans,0.135259,0
2,Kmeans,0.400942,1
2,Kmeans,0.157399,0
2,Kmeans,0.124559,0
2,Kmeans,0.325444,1
2,Kmeans,0.10538,0
2,Kmeans,0.358701,1
2,Kmeans,0.459708,1
2,Kmeans,0.51323,1
2,Kmeans,0.263817,0
2,Kmeans,0.404832,1
2,Kmeans,0.203402,0
2,Kmeans,0.131843,0
2,Kmeans,0.284424,1
2,Kmeans,0.069741,0
2,Kmeans,0.397237,1
2,Kmeans,0.239371,0
2,Kmeans,0.459514,1
2,Kmeans,0.179723,0
2,Kmeans,0.051322,0
2,Kmeans,0.137029,0
2,Kmeans,0.301862,0
2,Kmeans,0.379721,1
2,Kmeans,0.060637,0
2,Kmeans,0.23626,0
2,Kmeans,0.189419,0
2,Kmeans,0.254378,0
2,Kmeans,0.165687,0
2,Kmeans,0.31038,1
2,Kmeans,0.310365,0
2,Kmeans,0.142332,0
2,Kmeans,0.115475,0
2,Kmeans,0.477855,1
2,Kmeans,0.203244,0
2,Kmeans,0.115318,0
2,Kmeans,0.395923,1
2,Kmeans,0.106251,0
2,Kmeans,0.344514,1
2,Kmeans,0.130906,0
2,Kmeans,0.095109,0
2,Kmeans,0.324799,1
2,Kmeans,0.510447,1
2,Kmeans,0.100544,0
2,Kmeans,0.270122,0
2,Kmeans,0.213405,0
2,Kmeans,0.273425,0
2,Kmeans,0.166517,0
2,Kmeans,0.143298,0
2,Kmeans,0.155683,0
2,Kmeans,0.217773,0
2,Kmeans,0.012153,0
2,Kmeans,0.40055,1
2,Kmeans,0.197082,0
2,Kmeans,0.259903,0
2,Kmeans,0.253631,0
2,Kmeans,0.080467,0
2,Kmeans,0.332126,1
2,Kmeans,0.423883,1
2,Kmeans,0.492933,1
2,Kmeans,0.225742,0
2,Kmeans,0.181626,0
2,Kmeans,0.158862,0
2,Kmeans,0.201067,0
2,Kmeans,0.077179,0
2,Kmeans,0.126761,0
2,Kmeans,0.128742,0
2,Kmeans,0.348048,1
2,Kmeans,0.195717,0
2,Kmeans,0.151664,0
2,Kmeans,0.145734,0
2,Kmeans,0.436535,1
2,Kmeans,0.254597,0
2,Kmeans,0.343183,1
2,Kmeans,0.110151,0
2,Kmeans,0.082053,1
2,Kmeans,0.23626,0
2,Kmeans,0.174525,0
2,Kmeans,0.46432,1
2,Kmeans,0.371632,1
2,Kmeans,0.513928,1
2,Kmeans,0.143747,0
2,Kmeans,0.161819,0
2,Kmeans,0.170165,0
2,Kmeans,0.168706,0
2,Kmeans,0.512434,1
2,GMM,0.228339,0
2,GMM,0.494021,1
2,GMM,0.123803,0
2,GMM,0.158028,0
2,GMM,0.052473,0
2,GMM,0.056512,0
2,GMM,0.226167,0
2,GMM,0.110101,0
2,GMM,0.336079,1
2,GMM,0.249632,1
2,GMM,0.135259,0
2,GMM,0.400942,1
2,GMM,0.157399,0
