k,GMM,Kmeans
2,0.42563600782778865,0.5273972602739726
3,0.42661448140900193,0.5283757338551859
4,0.5616438356164384,0.5176125244618396
5,0.5362035225048923,0.5136986301369864
6,0.5567514677103719,0.5547945205479452
7,0.5626223091976517,0.5557729941291585
8,0.5489236790606654,0.5313111545988258
9,0.5528375733855186,0.5596868884540117
10,0.5704500978473581,0.5645792563600783
15,0.5567514677103719,0.5577299412915852
20,0.5694716242661448,0.5577299412915852
25,0.5743639921722113,0.5939334637964775
30,0.5929549902152642,0.5870841487279843
