k,GMM,Kmeans
2,0.004814859381422488,0.07207081238954609
3,0.009966854464257133,0.07383186850409897
4,0.10030860552104996,0.07976217393636716
5,0.08320612035348503,0.06595930893941768
6,0.07840554013204269,0.08324695441022217
7,0.07597640928737859,0.07349287368364575
8,0.06567218721391938,0.06584266848305495
9,0.06311265068149864,0.07481371663616675
10,0.07691296591018933,0.06653832707560232
15,0.06843170337350134,0.06199651639794111
20,0.057421122425722046,0.057483394035661446
25,0.05457885320373287,0.06277994481091481
30,0.05608627972114613,0.058050167635812736
