k,type,score,label
2,Kmeans,0.152275,1
2,Kmeans,0.194819,1
2,Kmeans,0.058451,0
2,Kmeans,0.139696,0
2,Kmeans,0.129189,0
2,Kmeans,0.224635,1
2,Kmeans,0.343298,1
2,Kmeans,0.100246,1
2,Kmeans,0.28475,1
2,Kmeans,0.247342,1
2,Kmeans,0.307824,1
2,Kmeans,0.131923,1
2,Kmeans,0.183034,1
2,Kmeans,0.059797,0
2,Kmeans,0.257989,1
2,Kmeans,0.177625,1
2,Kmeans,0.103641,1
2,Kmeans,0.292239,1
2,Kmeans,0.281403,1
2,Kmeans,0.076186,1
2,Kmeans,0.097849,1
2,Kmeans,0.100111,0
2,Kmeans,0.156158,1
2,Kmeans,0.102954,1
2,Kmeans,0.185808,1
2,Kmeans,0.029315,0
2,Kmeans,0.12037,1
2,Kmeans,0.23729,1
2,Kmeans,0.132077,0
2,Kmeans,0.203381,1
2,Kmeans,0.258041,1
2,Kmeans,0.149417,0
2,Kmeans,0.198317,1
2,Kmeans,0.077684,0
2,Kmeans,0.203061,1
2,Kmeans,-0.081456,0
2,Kmeans,0.290568,1
2,Kmeans,0.119238,0
2,Kmeans,0.087956,0
2,Kmeans,0.155449,1
2,Kmeans,0.220511,1
2,Kmeans,0.175843,0
2,Kmeans,-0.011631,0
2,Kmeans,0.19547,1
2,Kmeans,0.233411,1
2,Kmeans,0.175949,0
2,Kmeans,0.253224,1
2,Kmeans,0.115487,1
2,Kmeans,0.007699,0
2,Kmeans,0.055091,0
2,Kmeans,0.189799,1
2,Kmeans,0.041949,0
2,Kmeans,0.176995,1
2,Kmeans,0.228704,1
2,Kmeans,0.10397,1
2,Kmeans,0.058383,0
2,Kmeans,0.241418,1
2,Kmeans,0.209693,0
2,Kmeans,0.071806,0
2,Kmeans,0.160619,1
2,Kmeans,0.291343,1
2,Kmeans,0.184221,1
2,Kmeans,0.168129,1
2,Kmeans,0.037775,0
2,Kmeans,0.040894,0
2,Kmeans,0.137569,0
2,Kmeans,-0.016095,0
2,Kmeans,0.13232,1
2,Kmeans,0.027539,0
2,Kmeans,0.173461,1
2,Kmeans,0.292302,1
2,Kmeans,-0.030509,0
2,Kmeans,0.329518,1
2,Kmeans,0.12092,1
