k,GMM,Kmeans
2,0.5706878076128122,0.5706878076128122
3,0.7355294704381486,0.8043287268177797
4,0.6838015611773647,0.6733052952814648
5,0.6150770550870055,0.6158088715671058
6,0.579162608649682,0.5395730953332735
7,0.5216456834341799,0.47829580673363614
8,0.504069405176875,0.47089385826951724
9,0.450260112071311,0.45127452483411307
10,0.42503728162964755,0.4051512551628097
15,0.34317657241566374,0.3395261037364036
20,0.28635316623532403,0.2788613039796552
25,0.25271639862570977,0.25271639862570977
30,0.21715773006381572,0.21715773006381572
