k,GMM,Kmeans
2,0.7770118799431411,0.7770118799431411
3,0.6528365258559032,0.6714241706084326
4,0.7039286247117067,0.7234270366074856
5,0.7231424279048821,0.724989136276059
6,0.6850934705341438,0.686149334474209
7,0.6379853685983924,0.5668967562747634
8,0.6577139175935807,0.5592855184227602
9,0.5406881865743889,0.5695981560520404
10,0.5267051933481808,0.5604714167845353
15,0.5907398341121924,0.5676013258908287
20,0.5964139678230048,0.6025388252519367
25,0.6356457539247212,0.6356457539247212
30,0.5829296784409687,0.5829296784409687
