k,GMM,Kmeans
2,0.5332681017612525,0.46966731898238745
3,0.5088062622309197,0.4931506849315068
4,0.5332681017612525,0.5332681017612525
5,0.5440313111545988,0.5626223091976517
6,0.5450097847358122,0.5567514677103719
7,0.5430528375733855,0.5489236790606654
8,0.5362035225048923,0.541095890410959
9,0.541095890410959,0.5371819960861057
10,0.538160469667319,0.5371819960861057
15,0.5645792563600783,0.5557729941291585
20,0.5577299412915852,0.5645792563600783
25,0.5704500978473581,0.5733855185909981
30,0.5753424657534246,0.5694716242661448
