k,GMM,Kmeans
2,0.6631578947368421,0.6631578947368421
3,0.9789473684210527,0.968421052631579
4,0.9894736842105263,0.9473684210526315
5,0.968421052631579,0.9578947368421052
6,0.968421052631579,0.9578947368421052
7,0.968421052631579,0.968421052631579
8,0.968421052631579,0.968421052631579
9,0.9789473684210527,0.968421052631579
10,0.9789473684210527,0.968421052631579
15,0.9789473684210527,0.9789473684210527
20,0.9789473684210527,0.9789473684210527
25,0.9789473684210527,0.9789473684210527
30,0.9789473684210527,0.9789473684210527
