k,GMM,Kmeans
2,0.5706878076128122,0.5706878076128122
3,0.9256444302616957,0.8999214280892665
4,0.7856191438539238,0.713334201784584
5,0.63233610053581,0.6130192002755994
6,0.5857265409576263,0.5676595600086738
7,0.5466381388606091,0.5466381388606091
8,0.49523191168057024,0.5159364612394899
9,0.46723610952483985,0.47090732322537737
10,0.4442005853242489,0.4695442625259181
15,0.38147607720767984,0.38391037383055987
20,0.33481119693783684,0.31901144632862505
25,0.28699282119481073,0.27933554966349566
30,0.2520240604746672,0.246443361621372
