k,GMM,Kmeans
2,0.5489236790606654,0.5538160469667319
3,0.5743639921722113,0.5596868884540117
4,0.5831702544031311,0.5283757338551859
5,0.5841487279843445,0.5684931506849316
6,0.5821917808219178,0.5802348336594912
7,0.5802348336594912,0.5714285714285714
8,0.5802348336594912,0.5851272015655578
9,0.5929549902152642,0.5880626223091977
10,0.5851272015655578,0.5772994129158513
15,0.5958904109589042,0.5998043052837574
20,0.5900195694716243,0.6046966731898239
25,0.598825831702544,0.6105675146771037
30,0.6164383561643836,0.6193737769080235
