k,GMM,Kmeans
2,0.09411620407465905,0.09910547799587434
3,0.11672169944289716,0.11226508436150653
4,0.12741089556654742,0.10320280236969148
5,0.11725927074528468,0.102992818185273
6,0.10639575677657163,0.10439939668587532
7,0.09606687492183158,0.09326061271854609
8,0.09365520713136873,0.090621621139481
9,0.09239304020330674,0.08908360105306218
10,0.07969730676004658,0.08120939075260313
15,0.07981417934905508,0.08624180741828072
20,0.06300588815837273,0.07310650367917025
25,0.06780625289182453,0.07138132082656082
30,0.06595511129206003,0.06863909398396376
