k,GMM,Kmeans
2,0.5706878076128122,0.5706878076128122
3,0.5681856293855418,0.6736740719660644
4,0.5318218927357722,0.5642082878997239
5,0.5349448628542752,0.5233570340105813
6,0.4830510020506425,0.4697130078334256
7,0.4056501549091957,0.4211887193395776
8,0.3916220147076773,0.38380112141511025
9,0.43032974141258584,0.3703899501567551
10,0.3884672928674993,0.3843306973490785
15,0.3147465469814719,0.35122485916706947
20,0.2677138254914653,0.2930933907649424
25,0.2570787543331981,0.24783137768295407
30,0.22670462339128483,0.22999362092685638
