k,type,score,label
2,Kmeans,0.597878,0
2,Kmeans,0.706914,1
2,Kmeans,0.410619,0
2,Kmeans,0.422148,0
2,Kmeans,0.565557,0
2,Kmeans,0.377566,0
2,Kmeans,0.635878,0
2,Kmeans,0.41187,0
2,Kmeans,0.701604,1
2,Kmeans,0.736702,1
2,Kmeans,0.459325,0
2,Kmeans,0.60959,1
2,Kmeans,0.445449,0
2,Kmeans,0.602771,0
2,Kmeans,0.582987,1
2,Kmeans,0.438316,0
2,Kmeans,0.73026,1
2,Kmeans,0.696337,1
2,Kmeans,0.751888,1
2,Kmeans,0.647479,0
2,Kmeans,0.750776,1
2,Kmeans,0.571928,0
2,Kmeans,0.403916,0
2,Kmeans,0.568188,1
2,Kmeans,0.582469,0
2,Kmeans,0.659714,1
2,Kmeans,0.55604,0
2,Kmeans,0.678292,1
2,Kmeans,0.51227,0
2,Kmeans,0.256821,0
2,Kmeans,0.548304,0
2,Kmeans,0.643523,0
2,Kmeans,0.700462,1
2,Kmeans,0.561366,0
2,Kmeans,0.61506,0
2,Kmeans,0.561949,0
2,Kmeans,0.475479,0
2,Kmeans,0.566896,0
2,Kmeans,0.579915,1
2,Kmeans,0.601627,0
2,Kmeans,0.54685,0
2,Kmeans,0.593697,0
2,Kmeans,0.749569,1
2,Kmeans,0.545378,0
2,Kmeans,0.489375,0
2,Kmeans,0.653405,1
2,Kmeans,0.38056,0
2,Kmeans,0.687553,1
2,Kmeans,0.462419,0
2,Kmeans,0.110764,0
2,Kmeans,0.616728,1
2,Kmeans,0.754648,1
2,Kmeans,0.383314,0
2,Kmeans,0.637514,0
2,Kmeans,0.631144,0
2,Kmeans,0.621084,0
2,Kmeans,0.432563,0
2,Kmeans,0.287209,0
2,Kmeans,0.336847,0
2,Kmeans,0.557237,0
2,Kmeans,0.272647,0
2,Kmeans,0.684192,1
2,Kmeans,0.598922,0
2,Kmeans,0.542824,0
2,Kmeans,0.633641,0
2,Kmeans,0.585096,0
2,Kmeans,0.622036,1
2,Kmeans,0.7037,1
2,Kmeans,0.734118,1
2,Kmeans,0.615276,0
2,Kmeans,0.567432,0
2,Kmeans,0.594424,0
2,Kmeans,0.605526,0
2,Kmeans,0.386626,0
2,Kmeans,0.249201,0
2,Kmeans,0.424083,0
2,Kmeans,0.595696,1
2,Kmeans,0.586134,0
2,Kmeans,0.453459,0
2,Kmeans,0.507771,0
2,Kmeans,0.598772,1
2,Kmeans,0.57461,0
2,Kmeans,0.71431,1
2,Kmeans,0.605978,0
2,Kmeans,0.289618,1
2,Kmeans,0.61506,0
2,Kmeans,0.604778,0
2,Kmeans,0.73964,1
2,Kmeans,0.519181,1
2,Kmeans,0.747677,1
2,Kmeans,0.512566,0
2,Kmeans,0.371785,0
2,Kmeans,0.579828,0
2,Kmeans,0.563939,0
2,Kmeans,0.741169,1
2,GMM,0.597878,0
2,GMM,0.706914,1
2,GMM,0.410619,0
2,GMM,0.422148,0
2,GMM,0.565557,0
2,GMM,0.377566,0
2,GMM,0.635878,0
2,GMM,0.41187,0
2,GMM,0.701604,1
2,GMM,0.736702,1
2,GMM,0.459325,0
2,GMM,0.60959,1
2,GMM,0.445449,0
2,GMM,0.602771,0
2,GMM,0.582987,1
2,GMM,0.438316,0
2,GMM,0.73026,1
2,GMM,0.696337,1
2,GMM,0.751888,1
2,GMM,0.647479,0
2,GMM,0.750776,1
2,GMM,0.571928,0
2,GMM,0.403916,0
2,GMM,0.568188,1
2,GMM,0.582469,0
2,GMM,0.659714,1
2,GMM,0.55604,0
2,GMM,0.678292,1
2,GMM,0.51227,0
2,GMM,0.256821,0
2,GMM,0.548304,0
2,GMM,0.643523,0
2,GMM,0.700462,1
2,GMM,0.561366,0
2,GMM,0.61506,0
2,GMM,0.561949,0
2,GMM,0.475479,0
2,GMM,0.566896,0
2,GMM,0.579915,1
2,GMM,0.601627,0
2,GMM,0.54685,0
2,GMM,0.593697,0
2,GMM,0.749569,1
2,GMM,0.545378,0
2,GMM,0.489375,0
2,GMM,0.653405,1
2,GMM,0.38056,0
2,GMM,0.687553,1
2,GMM,0.462419,0
2,GMM,0.110764,0
2,GMM,0.616728,1
2,GMM,0.754648,1
2,GMM,0.383314,0
2,GMM,0.637514,0
2,GMM,0.631144,0
2,GMM,0.621084,0
2,GMM,0.432563,0
2,GMM,0.287209,0
2,GMM,0.336847,0
2,GMM,0.557237,0
2,GMM,0.272647,0
2,GMM,0.684192,1
2,GMM,0.598922,0
2,GMM,0.542824,0
2,GMM,0.633641,0
2,GMM,0.585096,0
2,GMM,0.622036,1
2,GMM,0.7037,1
2,GMM,0.734118,1
2,GMM,0.615276,0
2,GMM,0.567432,0
2,GMM,0.594424,0
2,GMM,0.605526,0
2,GMM,0.386626,0
2,GMM,0.249201,0
2,GMM,0.424083,0
2,GMM,0.595696,1
2,GMM,0.586134,0
2,GMM,0.453459,0
2,GMM,0.507771,0
2,GMM,0.598772,1
2,GMM,0.57461,0
2,GMM,0.71431,1
2,GMM,0.605978,0
2,GMM,0.289618,1
2,GMM,0.61506,0
2,GMM,0.604778,0
2,GMM,0.73964,1
2,GMM,0.519181,1
2,GMM,0.747677,1
2,GMM,0.512566,0
2,GMM,0.371785,0
2,GMM,0.579828,0
2,GMM,0.563939,0
2,GMM,0.741169,1
3,Kmeans,0.318952,0
3,Kmeans,0.679629,1
3,Kmeans,0.625117,2
3,Kmeans,0.635327,2
3,Kmeans,0.014501,0
3,Kmeans,0.21037,0
3,Kmeans,0.349061,2
3,Kmeans,0.467595,2
3,Kmeans,0.665567,1
3,Kmeans,0.693926,1
3,Kmeans,0.516282,2
3,Kmeans,0.585582,1
3,Kmeans,0.594058,2
3,Kmeans,0.283133,0
3,Kmeans,0.567386,1
3,Kmeans,0.375251,2
3,Kmeans,0.694029,1
3,Kmeans,0.670002,1
3,Kmeans,0.712477,1
3,Kmeans,0.161928,0
3,Kmeans,0.711568,1
3,Kmeans,0.426216,2
3,Kmeans,0.619319,2
3,Kmeans,0.47001,1
3,Kmeans,0.514923,0
3,Kmeans,0.58466,1
3,Kmeans,0.449672,0
3,Kmeans,0.654921,1
3,Kmeans,0.586561,2
3,Kmeans,0.55265,2
3,Kmeans,0.476129,2
3,Kmeans,0.190633,0
3,Kmeans,0.641254,1
3,Kmeans,0.300998,0
