k,GMM,Kmeans
2,0.42759295499021527,0.5156555772994129
3,0.42563600782778865,0.5
4,0.4589041095890411,0.5117416829745597
5,0.5303326810176126,0.5303326810176126
6,0.5391389432485323,0.5626223091976517
7,0.525440313111546,0.5538160469667319
8,0.5626223091976517,0.550880626223092
9,0.5606653620352251,0.5587084148727984
10,0.5547945205479452,0.5655577299412916
15,0.5596868884540117,0.5616438356164384
20,0.5606653620352251,0.5743639921722113
25,0.5547945205479452,0.5714285714285714
30,0.5733855185909981,0.5929549902152642
