k,GMM,Kmeans
2,0.005030202671768438,0.07071751491910931
3,0.0035602715404013433,0.07745598956761181
4,0.030553734989846152,0.09396836158568658
5,0.08877129807019347,0.08843368785898327
6,0.07817314290950413,0.08751381128329669
7,0.06460718373209502,0.08713516848369347
8,0.08080792629465305,0.08031721276049204
9,0.07224311545300474,0.07985648195314374
10,0.06691689504853061,0.07401409694614647
15,0.0645460409001779,0.06759100645050042
20,0.05392311967313926,0.06452434750722351
25,0.05590941545036111,0.06495458520847494
30,0.053335419430836827,0.059200730101905845
