k,GMM,Kmeans
2,0.23881690794865465,0.23881690794865465
3,0.2538286900791553,0.2760869226455361
4,0.286003690317317,0.30309220167349304
5,0.19045037041350518,0.31596496361137577
6,0.15948451504911582,0.2831876405357019
7,0.21533498591551736,0.30966410588133053
8,0.24421284152465134,0.2943310650189735
9,0.23655418292489794,0.2823605309725427
10,0.16753637811846012,0.29794605892999954
15,0.16856757512694837,0.3074865413160452
20,0.12285100672495498,0.292314213646224
25,0.2556032474636777,0.2839408602936943
30,0.2853147719545015,0.3080527858907355
