k,GMM,Kmeans
2,0.3163590941991214,0.155053445230648
3,0.25360207026913567,0.1549724172190353
4,0.09467592803670073,0.15936587332671034
5,0.08608964906250205,0.16332177148256397
6,0.11039813494975452,0.17025416558502746
7,0.10947375759345328,0.17114058114357258
8,0.09061139122462933,0.17225861625799374
9,0.08381695774590418,0.17152912512772436
10,0.09132158175682925,0.15974076573067744
15,0.0733324371867007,0.1648544792127051
20,0.06937434290797613,0.16213401412594064
25,0.09126754617749153,0.16663022467189614
30,0.10625600928714234,0.17307785376383034
