k,GMM,Kmeans
2,0.6631578947368421,0.6631578947368421
3,0.8631578947368421,0.9157894736842105
4,0.9052631578947369,0.9052631578947369
5,0.9052631578947369,0.9052631578947369
6,0.9052631578947369,0.9052631578947369
7,0.9052631578947369,0.9157894736842105
8,0.9157894736842105,0.9052631578947369
9,0.9157894736842105,0.9157894736842105
10,0.9157894736842105,0.9157894736842105
15,0.9157894736842105,0.9368421052631579
20,0.9157894736842105,0.9368421052631579
25,0.9473684210526315,0.9473684210526315
30,0.9473684210526315,0.9473684210526315
