k,GMM,Kmeans
2,0.08215681362934998,0.02831898007004571
3,0.07377614756088373,0.05088180299714626
4,0.08055668686317602,0.09219724721965837
5,0.07830691518474933,0.09245664231474293
6,0.08803305863623755,0.08317655702463836
7,0.07333449050363246,0.07694911199757513
8,0.06044094791012445,0.0698807912377794
9,0.06475736070411223,0.06533839089250104
10,0.06196704937510528,0.0620701960266745
15,0.059658625537420906,0.0626657959990824
20,0.055992022910294266,0.05718560936736058
25,0.052481422409068085,0.062223374836172615
30,0.05254411215337651,0.05467137978195858
