k,type,score,label
2,Kmeans,0.062973,1
2,Kmeans,0.326359,1
2,Kmeans,-0.010688,1
2,Kmeans,0.136047,0
2,Kmeans,0.294872,0
2,Kmeans,0.407895,1
2,Kmeans,0.476374,1
2,Kmeans,0.037138,1
2,Kmeans,0.452685,1
2,Kmeans,0.324407,1
2,Kmeans,0.487748,1
2,Kmeans,0.330463,1
2,Kmeans,0.256666,1
2,Kmeans,-0.013981,1
2,Kmeans,0.171832,1
2,Kmeans,0.247518,1
2,Kmeans,0.187961,1
2,Kmeans,0.40861,1
2,Kmeans,0.308649,1
2,Kmeans,0.248888,1
2,Kmeans,0.024262,0
2,Kmeans,0.327656,0
2,Kmeans,0.214756,1
2,Kmeans,0.214371,1
2,Kmeans,0.138313,1
2,Kmeans,0.362856,0
2,Kmeans,0.111965,0
2,Kmeans,0.46611,1
2,Kmeans,0.244521,0
2,Kmeans,0.350954,1
2,Kmeans,0.411745,1
2,Kmeans,0.422278,0
2,Kmeans,0.313732,1
2,Kmeans,0.346436,0
2,Kmeans,0.298998,1
2,Kmeans,0.098638,1
2,Kmeans,0.414168,1
2,Kmeans,0.304141,0
2,Kmeans,0.115811,0
2,Kmeans,0.299272,1
2,Kmeans,0.357895,1
2,Kmeans,0.423557,0
2,Kmeans,0.053763,1
2,Kmeans,0.413163,1
2,Kmeans,0.387474,1
2,Kmeans,0.451672,0
2,Kmeans,0.438149,1
2,Kmeans,-0.018876,0
2,Kmeans,-0.001901,1
2,Kmeans,0.452035,0
2,Kmeans,0.265157,1
2,Kmeans,0.011795,1
2,Kmeans,0.088322,1
2,Kmeans,0.414776,1
2,Kmeans,0.476814,1
2,Kmeans,0.230223,0
2,Kmeans,0.410839,1
2,Kmeans,0.449542,0
2,Kmeans,0.080499,0
2,Kmeans,0.08562,1
2,Kmeans,0.451672,1
2,Kmeans,0.272314,1
2,Kmeans,0.31128,1
2,Kmeans,0.400491,0
2,Kmeans,0.479777,0
2,Kmeans,0.11934,0
2,Kmeans,0.052388,1
2,Kmeans,0.045776,0
2,Kmeans,0.367291,0
2,Kmeans,0.197526,1
2,Kmeans,0.452611,1
2,Kmeans,0.216922,0
2,Kmeans,0.490962,1
2,Kmeans,0.102546,0
2,Kmeans,0.084885,1
2,Kmeans,0.404409,1
2,Kmeans,0.155597,1
2,Kmeans,0.487987,1
2,Kmeans,0.034173,1
2,Kmeans,0.47634,1
2,Kmeans,0.257633,0
2,Kmeans,0.340627,0
2,Kmeans,0.390617,1
2,Kmeans,0.227357,0
2,Kmeans,0.339568,1
2,Kmeans,0.029684,0
2,Kmeans,0.187681,1
2,Kmeans,0.081459,1
2,Kmeans,0.300529,0
2,Kmeans,0.007107,0
2,Kmeans,0.38008,0
2,Kmeans,0.447037,0
2,Kmeans,0.318313,1
2,Kmeans,0.309174,0
2,Kmeans,0.346594,1
2,Kmeans,0.46008,1
2,Kmeans,0.459365,1
2,Kmeans,0.114509,1
2,Kmeans,0.230413,1
2,Kmeans,0.344366,0
2,Kmeans,0.328355,1
2,Kmeans,0.462476,0
2,Kmeans,0.323537,1
2,Kmeans,0.453216,0
2,Kmeans,0.410728,1
2,Kmeans,0.237254,1
2,Kmeans,0.349911,1
2,Kmeans,0.364659,1
2,Kmeans,0.298394,0
2,Kmeans,0.455433,0
2,Kmeans,0.347516,1
2,Kmeans,0.320161,1
2,Kmeans,0.140746,1
2,Kmeans,0.352732,0
2,Kmeans,0.503011,1
2,Kmeans,0.48183,0
2,Kmeans,0.269591,1
2,Kmeans,0.172491,1
2,Kmeans,0.383129,1
2,Kmeans,0.312594,1
2,Kmeans,0.21051,1
2,Kmeans,0.297535,1
2,Kmeans,0.487012,1
2,Kmeans,0.20011,0
2,Kmeans,0.241021,0
2,Kmeans,0.198883,1
2,Kmeans,0.07327,0
2,Kmeans,0.291712,1
2,Kmeans,0.3613,0
2,Kmeans,0.238102,0
2,Kmeans,0.367017,0
2,Kmeans,0.336253,1
2,Kmeans,0.410228,0
2,Kmeans,0.073252,1
2,Kmeans,0.416326,1
2,Kmeans,0.388339,1
2,Kmeans,0.026802,0
2,Kmeans,0.317485,0
2,Kmeans,0.16879,1
2,Kmeans,0.206938,0
2,Kmeans,0.423631,0
2,Kmeans,0.299517,1
2,Kmeans,0.401963,0
2,Kmeans,0.288516,0
2,Kmeans,0.242777,1
2,Kmeans,0.030178,1
2,Kmeans,0.485294,1
2,Kmeans,0.310413,1
2,Kmeans,0.381332,1
2,Kmeans,0.327134,0
2,Kmeans,0.441456,1
2,Kmeans,0.24645,0
2,Kmeans,0.131874,0
2,Kmeans,0.290563,1
2,Kmeans,0.162603,0
2,Kmeans,0.175125,0
2,Kmeans,0.492084,1
2,Kmeans,0.447488,1
2,Kmeans,0.471468,1
2,Kmeans,0.465787,1
2,Kmeans,0.475301,1
2,Kmeans,0.378037,0
2,Kmeans,0.002937,1
2,Kmeans,-0.002851,1
2,Kmeans,0.477648,0
2,Kmeans,0.405129,1
2,Kmeans,0.345497,0
2,Kmeans,0.195868,1
2,Kmeans,0.255919,1
2,Kmeans,0.481722,0
2,Kmeans,0.387268,1
2,Kmeans,0.042118,1
2,Kmeans,0.410542,1
2,Kmeans,0.418685,0
2,Kmeans,0.364798,1
2,Kmeans,0.04036,1
2,Kmeans,0.438888,1
2,Kmeans,0.348806,1
2,Kmeans,0.364673,1
2,Kmeans,0.339024,1
2,Kmeans,0.456099,0
2,Kmeans,0.476968,1
2,Kmeans,0.042192,1
2,Kmeans,0.475035,0
2,Kmeans,0.348238,1
2,Kmeans,0.378695,0
2,Kmeans,0.382536,1
2,Kmeans,0.050447,0
2,Kmeans,0.424343,1
2,Kmeans,0.300579,1
2,Kmeans,0.11409,1
2,Kmeans,0.102025,1
2,Kmeans,0.123301,1
2,Kmeans,0.221195,0
2,Kmeans,0.478734,1
2,Kmeans,0.23795,0
2,Kmeans,0.324684,1
2,Kmeans,0.335982,0
2,Kmeans,0.142282,1
2,Kmeans,0.281774,1
2,Kmeans,0.254613,0
2,Kmeans,0.451672,1
2,Kmeans,0.297816,0
2,Kmeans,0.442771,1
2,Kmeans,0.252317,0
2,Kmeans,0.455433,0
2,Kmeans,0.094823,1
2,Kmeans,0.245258,1
2,Kmeans,0.140086,0
2,Kmeans,0.450389,1
2,Kmeans,0.258448,0
2,Kmeans,0.046847,1
2,Kmeans,0.321534,1
2,Kmeans,0.377466,1
2,Kmeans,0.199718,1
2,Kmeans,0.413298,0
2,Kmeans,0.389065,1
2,Kmeans,0.030178,1
2,Kmeans,0.174863,1
2,Kmeans,0.05975,0
2,Kmeans,0.176242,1
2,Kmeans,0.20049,1
2,Kmeans,0.25964,1
2,Kmeans,0.394773,0
2,Kmeans,0.352443,1
2,Kmeans,0.345777,1
2,Kmeans,0.474966,1
2,Kmeans,0.353746,1
2,Kmeans,0.042235,1
2,Kmeans,0.245781,0
2,Kmeans,0.357459,0
2,Kmeans,0.354974,0
2,Kmeans,0.463436,1
2,Kmeans,0.361178,1
2,Kmeans,0.378017,1
2,Kmeans,0.297054,0
2,Kmeans,0.327527,1
2,Kmeans,0.502974,1
2,Kmeans,0.485576,1
2,Kmeans,0.082581,0
2,Kmeans,0.265293,1
2,Kmeans,0.472677,1
2,Kmeans,0.003383,1
2,Kmeans,0.46539,0
2,Kmeans,0.1002,0
2,Kmeans,0.316332,0
