k,type,score,label
2,Kmeans,0.722154,0
2,Kmeans,0.952366,1
2,Kmeans,0.503011,0
2,Kmeans,0.530447,0
2,Kmeans,0.688158,0
2,Kmeans,0.727251,0
2,Kmeans,0.757445,0
2,Kmeans,0.574684,0
2,Kmeans,0.791495,1
2,Kmeans,0.894126,1
2,Kmeans,0.719979,0
2,Kmeans,0.922133,1
2,Kmeans,0.604227,0
2,Kmeans,0.742973,0
2,Kmeans,0.924982,1
2,Kmeans,0.719979,0
2,Kmeans,0.940242,1
2,Kmeans,0.903862,1
2,Kmeans,0.952366,1
2,Kmeans,0.753644,0
2,Kmeans,0.946675,1
2,Kmeans,0.719979,0
2,Kmeans,0.410253,0
2,Kmeans,0.950509,1
2,Kmeans,0.694793,0
2,Kmeans,0.946675,1
2,Kmeans,0.678759,0
2,Kmeans,0.938141,1
2,Kmeans,0.665356,0
2,Kmeans,0.191728,0
2,Kmeans,0.641055,0
2,Kmeans,0.73247,0
2,Kmeans,0.946675,1
2,Kmeans,0.713537,0
2,Kmeans,0.757417,0
2,Kmeans,0.700689,0
2,Kmeans,0.743577,0
2,Kmeans,0.744961,0
2,Kmeans,0.923593,1
2,Kmeans,0.742203,0
2,Kmeans,0.70084,0
2,Kmeans,0.735347,0
2,Kmeans,0.950509,1
2,Kmeans,0.729824,0
2,Kmeans,0.674883,0
2,Kmeans,0.923593,1
2,Kmeans,0.604227,0
2,Kmeans,0.940242,1
2,Kmeans,0.654774,0
2,Kmeans,0.191728,0
2,Kmeans,0.940242,1
2,Kmeans,0.952366,1
2,Kmeans,0.664223,0
2,Kmeans,0.758027,0
2,Kmeans,0.751891,0
2,Kmeans,0.756285,0
2,Kmeans,0.606006,0
2,Kmeans,0.403574,0
2,Kmeans,0.435682,0
2,Kmeans,0.674427,0
2,Kmeans,0.45783,0
2,Kmeans,0.946675,1
2,Kmeans,0.763146,0
2,Kmeans,0.64093,0
2,Kmeans,0.742483,0
2,Kmeans,0.688158,0
2,Kmeans,0.936401,1
2,Kmeans,0.9319,1
2,Kmeans,0.950509,1
2,Kmeans,0.758027,0
2,Kmeans,0.707726,0
2,Kmeans,0.699199,0
2,Kmeans,0.754266,0
2,Kmeans,0.698202,0
2,Kmeans,0.279903,0
2,Kmeans,0.655751,0
2,Kmeans,0.946675,1
2,Kmeans,0.751891,0
2,Kmeans,0.624197,0
2,Kmeans,0.658685,0
2,Kmeans,0.889836,1
2,Kmeans,0.742973,0
2,Kmeans,0.903862,1
2,Kmeans,0.698457,0
2,Kmeans,0.928392,1
2,Kmeans,0.757417,0
2,Kmeans,0.726055,0
2,Kmeans,0.899569,1
2,Kmeans,0.950509,1
2,Kmeans,0.952366,1
2,Kmeans,0.663369,0
2,Kmeans,0.580216,0
2,Kmeans,0.683689,0
2,Kmeans,0.63288,0
2,Kmeans,0.950509,1
2,GMM,0.722154,0
2,GMM,0.952366,1
2,GMM,0.503011,0
2,GMM,0.530447,0
2,GMM,0.688158,0
2,GMM,0.727251,0
2,GMM,0.757445,0
2,GMM,0.574684,0
2,GMM,0.791495,1
2,GMM,0.894126,1
2,GMM,0.719979,0
2,GMM,0.922133,1
2,GMM,0.604227,0
2,GMM,0.742973,0
2,GMM,0.924982,1
2,GMM,0.719979,0
2,GMM,0.940242,1
2,GMM,0.903862,1
2,GMM,0.952366,1
2,GMM,0.753644,0
2,GMM,0.946675,1
2,GMM,0.719979,0
2,GMM,0.410253,0
2,GMM,0.950509,1
2,GMM,0.694793,0
2,GMM,0.946675,1
2,GMM,0.678759,0
2,GMM,0.938141,1
2,GMM,0.665356,0
2,GMM,0.191728,0
2,GMM,0.641055,0
2,GMM,0.73247,0
2,GMM,0.946675,1
2,GMM,0.713537,0
2,GMM,0.757417,0
2,GMM,0.700689,0
2,GMM,0.743577,0
2,GMM,0.744961,0
2,GMM,0.923593,1
2,GMM,0.742203,0
2,GMM,0.70084,0
2,GMM,0.735347,0
2,GMM,0.950509,1
2,GMM,0.729824,0
2,GMM,0.674883,0
2,GMM,0.923593,1
2,GMM,0.604227,0
2,GMM,0.940242,1
2,GMM,0.654774,0
2,GMM,0.191728,0
2,GMM,0.940242,1
2,GMM,0.952366,1
2,GMM,0.664223,0
2,GMM,0.758027,0
2,GMM,0.751891,0
2,GMM,0.756285,0
2,GMM,0.606006,0
2,GMM,0.403574,0
2,GMM,0.435682,0
2,GMM,0.674427,0
2,GMM,0.45783,0
2,GMM,0.946675,1
2,GMM,0.763146,0
2,GMM,0.64093,0
2,GMM,0.742483,0
2,GMM,0.688158,0
2,GMM,0.936401,1
2,GMM,0.9319,1
2,GMM,0.950509,1
2,GMM,0.758027,0
2,GMM,0.707726,0
2,GMM,0.699199,0
2,GMM,0.754266,0
2,GMM,0.698202,0
2,GMM,0.279903,0
2,GMM,0.655751,0
2,GMM,0.946675,1
2,GMM,0.751891,0
2,GMM,0.624197,0
2,GMM,0.658685,0
2,GMM,0.889836,1
2,GMM,0.742973,0
2,GMM,0.903862,1
2,GMM,0.698457,0
2,GMM,0.928392,1
2,GMM,0.757417,0
2,GMM,0.726055,0
2,GMM,0.899569,1
2,GMM,0.950509,1
2,GMM,0.952366,1
2,GMM,0.663369,0
2,GMM,0.580216,0
2,GMM,0.683689,0
2,GMM,0.63288,0
2,GMM,0.950509,1
3,Kmeans,0.555499,0
3,Kmeans,0.940607,1
3,Kmeans,0.725802,2
3,Kmeans,0.73723,2
3,Kmeans,0.716858,2
3,Kmeans,0.493137,2
3,Kmeans,0.143302,0
3,Kmeans,0.745408,2
3,Kmeans,0.731869,1
3,Kmeans,0.86571,1
3,Kmeans,0.630706,2
3,Kmeans,0.901291,1
3,Kmeans,0.74756,2
3,Kmeans,0.48609,2
3,Kmeans,0.907611,1
3,Kmeans,0.630706,2
3,Kmeans,0.926106,1
3,Kmeans,0.878519,1
3,Kmeans,0.940607,1
3,Kmeans,0.452343,0
3,Kmeans,0.93323,1
3,Kmeans,0.630706,2
3,Kmeans,0.678272,2
3,Kmeans,0.938549,1
3,Kmeans,0.550317,0
3,Kmeans,0.93323,1
3,Kmeans,0.579094,0
3,Kmeans,0.922338,1
3,Kmeans,0.728218,2
3,Kmeans,0.551143,2
3,Kmeans,0.75139,2
3,Kmeans,0.629767,0
3,Kmeans,0.93323,1
3,Kmeans,0.651109,2
3,Kmeans,0.416289,0
3,Kmeans,0.636094,0
3,Kmeans,0.429371,2
3,Kmeans,0.489207,0
3,Kmeans,0.905401,1
3,Kmeans,0.476003,0
3,Kmeans,0.594491,0
3,Kmeans,0.572739,2
3,Kmeans,0.938549,1
3,Kmeans,0.635914,0
3,Kmeans,0.644589,2
3,Kmeans,0.905401,1
3,Kmeans,0.74756,2
3,Kmeans,0.926106,1
3,Kmeans,0.74364,2
3,Kmeans,0.551143,2
3,Kmeans,0.926106,1
3,Kmeans,0.940607,1
3,Kmeans,0.574548,0
3,Kmeans,0.431609,0
3,Kmeans,0.069454,0
3,Kmeans,0.182635,2
3,Kmeans,0.732116,2
3,Kmeans,0.697491,2
3,Kmeans,0.707847,2
3,Kmeans,0.540641,0
3,Kmeans,0.661965,2
3,Kmeans,0.93323,1
3,Kmeans,0.268347,0
3,Kmeans,0.545296,0
3,Kmeans,0.365744,2
3,Kmeans,0.716858,2
3,Kmeans,0.92053,1
3,Kmeans,0.914363,1
3,Kmeans,0.938549,1
3,Kmeans,0.431609,0
3,Kmeans,0.681417,2
3,Kmeans,0.171245,2
3,Kmeans,0.367411,0
3,Kmeans,0.578003,0
3,Kmeans,0.618998,2
3,Kmeans,0.590449,0
3,Kmeans,0.93323,1
3,Kmeans,0.069454,0
3,Kmeans,0.75238,2
3,Kmeans,0.593732,0
3,Kmeans,0.859261,1
3,Kmeans,0.48609,2
3,Kmeans,0.878519,1
