k,GMM,Kmeans
2,0.7443780546764419,0.7443780546764419
3,0.666223887705159,0.6701267748831933
4,0.6093018422401111,0.6091030492252348
5,0.5445966436271928,0.5708690918892905
6,0.5026823040261357,0.596380610338335
7,0.5685533030064982,0.5742449543918349
8,0.46053687756548656,0.5862205494461818
9,0.37125056549430485,0.4761993568818613
10,0.31194778315735505,0.4814114375095304
15,0.3703046348101191,0.425741986691304
20,0.4320406473592442,0.43667842238400095
25,0.40619410809702416,0.4537992707956754
30,0.4290358260272261,0.47038554263668136
