k,type,score,label
2,Kmeans,0.517517,1
2,Kmeans,0.086274,0
2,Kmeans,0.33765,0
2,Kmeans,0.391656,0
2,Kmeans,0.230959,0
2,Kmeans,0.374802,1
2,Kmeans,0.571769,1
2,Kmeans,0.115614,1
2,Kmeans,0.434134,1
2,Kmeans,0.540265,1
2,Kmeans,0.437984,1
2,Kmeans,0.112268,0
2,Kmeans,0.466381,1
2,Kmeans,0.288985,0
2,Kmeans,0.593386,1
2,Kmeans,0.469035,1
2,Kmeans,0.30354,0
2,Kmeans,0.569233,1
2,Kmeans,0.519755,1
2,Kmeans,-0.016338,0
2,Kmeans,0.471036,1
2,Kmeans,0.277204,0
2,Kmeans,0.233688,1
2,Kmeans,0.104708,1
2,Kmeans,0.394966,1
2,Kmeans,0.085844,0
2,Kmeans,0.501516,1
2,Kmeans,0.260624,1
2,Kmeans,0.392129,0
2,Kmeans,0.314177,1
2,Kmeans,0.476709,1
2,Kmeans,0.229711,0
2,Kmeans,0.214937,1
2,Kmeans,-0.083827,0
2,Kmeans,0.402667,1
2,Kmeans,0.032973,0
2,Kmeans,0.566764,1
2,Kmeans,0.330467,0
2,Kmeans,0.358829,0
2,Kmeans,0.012951,0
2,Kmeans,0.377397,1
2,Kmeans,0.329201,0
2,Kmeans,0.337035,0
2,Kmeans,0.217088,1
2,Kmeans,0.161394,1
2,Kmeans,0.273663,0
2,Kmeans,0.388248,1
2,Kmeans,-0.104072,0
2,Kmeans,0.219492,0
2,Kmeans,-0.063245,0
2,Kmeans,0.296401,1
2,Kmeans,0.432761,0
2,Kmeans,0.409677,1
2,Kmeans,-0.032819,0
2,Kmeans,-0.0436,0
2,Kmeans,0.360692,0
2,Kmeans,0.324374,1
2,Kmeans,0.343475,0
2,Kmeans,0.395333,0
2,Kmeans,0.426118,1
2,Kmeans,0.555356,1
2,Kmeans,0.310923,1
2,Kmeans,0.18319,1
2,Kmeans,0.239729,1
2,Kmeans,0.262658,0
2,Kmeans,0.412813,0
2,Kmeans,0.406167,0
2,Kmeans,0.504429,1
2,Kmeans,0.434657,1
2,Kmeans,0.565582,1
2,Kmeans,0.501278,1
2,Kmeans,0.133742,0
2,Kmeans,0.580425,1
2,Kmeans,0.311151,1
2,Kmeans,0.569818,1
2,Kmeans,-0.056537,0
2,Kmeans,0.296549,1
2,Kmeans,0.587312,1
2,Kmeans,0.139684,0
2,Kmeans,0.367035,1
2,Kmeans,0.079133,0
2,Kmeans,0.195744,1
2,Kmeans,0.549496,1
2,Kmeans,0.090991,1
2,Kmeans,0.278041,1
2,Kmeans,0.326927,0
2,Kmeans,0.460113,1
2,Kmeans,0.47199,1
2,Kmeans,0.017698,0
2,Kmeans,0.215705,0
2,Kmeans,0.408803,1
2,Kmeans,0.180873,0
2,Kmeans,0.178091,0
2,Kmeans,-0.014713,0
2,Kmeans,0.467738,1
2,Kmeans,0.559385,1
2,Kmeans,0.484858,1
2,Kmeans,-0.085697,0
2,Kmeans,0.188872,1
2,Kmeans,0.324411,1
2,Kmeans,0.503883,1
2,Kmeans,0.231568,0
2,Kmeans,0.467832,1
2,Kmeans,0.074256,0
2,Kmeans,0.568032,1
2,Kmeans,0.564386,1
2,Kmeans,0.546462,1
2,Kmeans,0.042272,1
2,Kmeans,0.181872,0
2,Kmeans,0.109024,0
2,Kmeans,0.202766,1
2,Kmeans,0.262456,0
2,Kmeans,0.397397,1
