k,GMM,Kmeans
2,0.3204273570030455,0.327663779903389
3,0.32041075958389004,0.3385839705720083
4,0.2675683145558823,0.28081800827343556
5,0.24369123244009203,0.2707210615068789
6,0.2277893955483174,0.2789777075186322
7,0.22421966369348803,0.2869780652890443
8,0.2443371904436086,0.2879520442241455
9,0.2091093239588547,0.2921017554122813
10,0.17514874883311618,0.2761701473115332
15,0.23111145870762137,0.25691480010984696
20,0.16300819436374733,0.24214827948246537
25,0.1509898750924666,0.2601015875790217
30,0.19761183126455914,0.2592790930436505
