k,GMM,Kmeans
2,0.6631578947368421,0.6631578947368421
3,0.6842105263157895,0.8526315789473684
4,0.6842105263157895,0.8526315789473684
5,0.8631578947368421,0.8526315789473684
6,0.8421052631578947,0.8631578947368421
7,0.8,0.8526315789473684
8,0.8,0.8526315789473684
9,0.9157894736842105,0.8526315789473684
10,0.9052631578947369,0.9157894736842105
15,0.9052631578947369,0.9578947368421052
20,0.9263157894736842,0.9473684210526315
25,0.9578947368421052,0.9473684210526315
30,0.9578947368421052,0.968421052631579
