k,GMM,Kmeans
2,0.559428478221386,0.559428478221386
3,0.35016753589569194,0.4801480294846736
4,0.20792979941238804,0.4302440063139908
5,0.2720837608078962,0.37528977118577334
6,0.30731261752630157,0.39298092673307494
7,0.2451473361102449,0.41019715974486065
8,0.19021579935312047,0.41512034239969353
9,0.22937409390757602,0.39609213576758684
10,0.2440950214970913,0.4220457723214798
15,0.4004372360609271,0.41232350707974114
20,0.32565286700289386,0.375526211354622
25,0.3051528671045301,0.32145963199541
30,0.3155345201743752,0.3368863017128434
