k,type,score,label
2,Kmeans,0.482573,1
2,Kmeans,0.451912,1
2,Kmeans,0.32802,0
2,Kmeans,0.413735,0
2,Kmeans,0.404102,0
2,Kmeans,0.470544,1
2,Kmeans,0.559677,1
2,Kmeans,0.320219,1
2,Kmeans,0.493559,1
2,Kmeans,0.470023,1
2,Kmeans,0.533984,1
2,Kmeans,0.238249,1
2,Kmeans,0.5055,1
2,Kmeans,0.409741,0
2,Kmeans,0.425318,1
2,Kmeans,0.518001,1
2,Kmeans,-0.037221,0
2,Kmeans,0.41446,1
2,Kmeans,0.385169,1
2,Kmeans,0.435778,1
2,Kmeans,0.03514,0
2,Kmeans,0.373388,0
2,Kmeans,0.437131,1
2,Kmeans,0.35661,1
2,Kmeans,0.479801,1
2,Kmeans,0.153272,0
2,Kmeans,0.357453,1
2,Kmeans,0.445821,1
2,Kmeans,0.442409,0
2,Kmeans,0.483203,1
2,Kmeans,0.535739,1
2,Kmeans,0.407948,0
2,Kmeans,0.302488,1
2,Kmeans,0.168982,0
2,Kmeans,0.466006,1
2,Kmeans,0.126388,1
2,Kmeans,0.556209,1
2,Kmeans,0.256945,0
2,Kmeans,0.328532,0
2,Kmeans,0.404299,1
2,Kmeans,0.502455,1
2,Kmeans,0.394087,0
2,Kmeans,0.194955,1
2,Kmeans,0.405671,1
2,Kmeans,0.465766,1
2,Kmeans,0.410445,0
2,Kmeans,0.493784,1
2,Kmeans,-0.033637,0
2,Kmeans,0.203942,0
2,Kmeans,0.173506,0
2,Kmeans,0.498425,1
2,Kmeans,0.14641,0
2,Kmeans,0.422071,1
2,Kmeans,0.409971,1
2,Kmeans,0.443883,1
2,Kmeans,0.302836,0
2,Kmeans,0.448652,1
2,Kmeans,0.441869,0
2,Kmeans,0.248943,0
2,Kmeans,0.465133,1
2,Kmeans,0.51508,1
2,Kmeans,0.477863,1
2,Kmeans,0.386907,1
2,Kmeans,-0.085239,0
2,Kmeans,0.207715,0
2,Kmeans,0.406749,0
2,Kmeans,0.24644,0
2,Kmeans,0.326796,1
2,Kmeans,0.195072,1
2,Kmeans,0.238199,1
2,Kmeans,0.525574,1
2,Kmeans,0.183893,0
2,Kmeans,0.528785,1
2,Kmeans,0.000792,0
2,Kmeans,0.371678,1
2,Kmeans,0.356544,1
2,Kmeans,0.194233,1
2,Kmeans,0.532377,1
2,Kmeans,0.236455,0
2,Kmeans,0.540253,1
2,Kmeans,0.04862,0
2,Kmeans,0.251452,0
2,Kmeans,0.477547,1
2,Kmeans,-0.04859,0
2,Kmeans,0.490852,1
2,Kmeans,0.022183,0
2,Kmeans,0.494821,1
2,Kmeans,0.420319,1
2,Kmeans,0.11354,1
2,Kmeans,0.074435,1
2,Kmeans,0.183677,1
2,Kmeans,0.395156,0
2,Kmeans,0.185289,0
2,Kmeans,0.13778,0
2,Kmeans,0.516448,1
2,Kmeans,0.50369,1
2,Kmeans,0.504831,1
2,Kmeans,0.368679,1
2,Kmeans,0.487822,1
2,Kmeans,0.045379,0
2,Kmeans,0.497493,1
2,Kmeans,0.23825,0
2,Kmeans,0.44241,1
2,Kmeans,0.259411,0
2,Kmeans,0.522684,1
2,Kmeans,0.505233,1
2,Kmeans,0.396299,1
2,Kmeans,0.013451,0
2,Kmeans,0.258409,0
2,Kmeans,0.258947,0
2,Kmeans,0.137552,1
2,Kmeans,0.009453,0
2,Kmeans,0.464455,1
2,Kmeans,0.16691,0
2,Kmeans,0.550556,1
2,Kmeans,0.240184,0
2,Kmeans,0.184437,1
2,Kmeans,0.459839,1
2,Kmeans,0.29107,1
2,Kmeans,0.462263,1
2,Kmeans,0.115652,0
2,Kmeans,0.111668,0
2,Kmeans,0.542335,1
2,Kmeans,0.021554,0
2,Kmeans,0.390044,0
2,Kmeans,0.360719,1
2,Kmeans,0.202865,1
2,Kmeans,0.389619,1
2,Kmeans,0.248544,1
2,Kmeans,0.218491,0
2,Kmeans,0.426918,0
2,Kmeans,0.489029,1
2,Kmeans,0.138117,0
2,Kmeans,0.170237,0
2,Kmeans,0.551674,1
2,Kmeans,0.389433,1
2,Kmeans,0.160875,1
2,Kmeans,0.278259,0
2,Kmeans,0.548079,1
2,Kmeans,0.386887,0
2,Kmeans,0.027007,0
2,Kmeans,0.529062,1
