k,GMM,Kmeans
2,0.297285035578859,0.3366111624624923
3,0.22013627200167968,0.29190493940585094
4,0.1723717145159505,0.30152983897087143
5,0.16941834257774432,0.22452812491919416
6,0.12873189558062245,0.20426430768024742
7,0.08662660007410633,0.1995540252034066
8,0.10966866232520231,0.19296287041293333
9,0.07060983816107912,0.1878263827455035
10,0.12473681996792299,0.196749157131381
15,0.10913520098905083,0.17688816318818812
20,0.07113418190535215,0.17308992336375226
25,0.07119028195035235,0.1774325952874834
30,0.060480395482841745,0.16946637532408595
