iter,LR0.1_E0.0_Time,LR0.1_E0.0_Rewards,LR0.1_E0.0_Steps,LR0.1_E0.0_Convergence,LR0.1_E0.5_Time,LR0.1_E0.5_Rewards,LR0.1_E0.5_Steps,LR0.1_E0.5_Convergence,LR0.1_E0.7_Time,LR0.1_E0.7_Rewards,LR0.1_E0.7_Steps,LR0.1_E0.7_Convergence,LR0.1_E0.9_Time,LR0.1_E0.9_Rewards,LR0.1_E0.9_Steps,LR0.1_E0.9_Convergence
1,0.002174401,-199,200,89.1259081279,0.000644302,-199,200,89.1267788858,0.00100879,-199,200,89.1278804783,0.00064525,-199,200,89.1274532068
2,0.003238395,-199,200,79.2538166671,0.001357247,-199,200,79.2552565464,0.001950979,-199,200,79.2569978149,0.001201596,-199,200,79.2546579042
3,0.003972864,-199,200,69.3822954236,0.002021892,-199,200,69.3878391133,0.002506245,-199,200,69.3853596424,0.001754483,-199,200,69.3868595779
4,0.004707934,-199,200,59.5127957995,0.00262518,-199,200,59.5174039569,0.003069649,-199,200,59.5168881931,0.002308837,-199,200,59.5169288637
5,0.005440888,-199,200,49.6430066504,0.003210279,-199,200,49.6570834015,0.003642709,-199,200,49.6471643348,0.002755648,-199,200,49.6465430538
6,0.006134724,-199,200,39.7740097111,0.003775043,-199,200,39.795417668,0.004210611,-199,200,39.7780180672,0.003304357,-199,200,39.777976134
7,0.006820628,-199,200,29.9077610545,0.00471515,-199,200,29.9288486818,0.004764142,-199,200,29.9109177179,0.003852647,-199,200,29.9078694242
8,0.007495673,-199,200,20.0388931806,0.005640659,-199,200,20.0594311892,0.005318387,-199,200,20.0409737765,0.004400666,-199,200,20.0369510855
9,0.007980578,-199,200,10.1715744437,0.006214844,-199,200,10.1901746843,0.005871299,-199,200,10.1707594382,0.004949305,-199,200,10.169944843
10,0.008662521,-199,200,0.304176336,0.006776341,-199,200,0.3207191588,0.006419155,-199,200,0.3006222394,0.005497622,-199,200,0.2999749208
11,0.009338314,-199,200,0.309244694,0.007335119,-199,200,0.3281408296,0.006939174,-199,200,0.3014715631,0.00604614,-199,200,0.3059415827
12,0.010027706,-199,200,0.3151196963,0.007893672,-199,200,0.3329394451,0.007488032,-199,200,0.3024042846,0.006606628,-199,200,0.3105949093
13,0.010709317,-199,200,0.3193553733,0.008452496,-199,200,0.3307614779,0.008038429,-199,200,0.3065611172,0.007126401,-199,200,0.3120060132
14,0.011360721,-199,200,0.3228519017,0.009013383,-199,200,0.3357908229,0.008587525,-199,200,0.3079622692,0.007642764,-199,200,0.3156461905
15,0.012385451,-199,200,0.3242659269,0.009571971,-199,200,0.3325949726,0.009098609,-199,200,0.3116961029,0.008192347,-199,200,0.3152953973
16,0.013268098,-199,200,0.3263754655,0.010006031,-199,200,0.328249756,0.009590317,-199,200,0.3130416021,0.008778738,-199,200,0.3200587937
17,0.013937542,-199,200,0.327749874,0.01057145,-199,200,0.3261884948,0.0101387,-199,200,0.3185710678,0.009357465,-199,200,0.3222205506
18,0.014439387,-199,200,0.3278211652,0.011060993,-199,200,0.3324211198,0.010693651,-199,200,0.3208966852,0.009798851,-199,200,0.3241471853
19,0.01500606,-199,200,0.3297841211,0.011619912,-199,200,0.3350908328,0.011052392,-199,200,0.3213821466,0.01016103,-199,200,0.3239038877
20,0.015626421,-199,200,0.3290859578,0.012181132,-199,200,0.3380971547,0.011602001,-199,200,0.3262544597,0.010675667,-199,200,0.3266830265
21,0.016239183,-199,200,0.3343000628,0.012669693,-199,200,0.3355388914,0.01210264,-199,200,0.3294384037,0.011193098,-199,200,0.3244451933
22,0.016821438,-199,200,0.3382812738,0.013068968,-199,200,0.3360436882,0.01244762,-199,200,0.3339819693,0.011743387,-199,200,0.3262745011
23,0.017436997,-199,200,0.3389795582,0.013628162,-199,200,0.340318645,0.012912651,-199,200,0.3342855477,0.012293973,-199,200,0.3243234598
24,0.017826538,-199,200,0.3375237264,0.014062162,-199,200,0.3381355241,0.013367018,-199,200,0.3342553143,0.012600497,-199,200,0.3233925625
25,0.018382128,-199,200,0.3439712595,0.014591531,-199,200,0.3362352729,0.013917296,-199,200,0.3307831488,0.01297129,-199,200,0.3264204977
26,0.01890981,-199,200,0.3457850391,0.014907385,-199,200,0.3339782551,0.01419453,-199,200,0.3315976107,0.013299086,-199,200,0.3218995322
27,0.019303762,-199,200,0.3461233933,0.015465972,-199,200,0.3346823931,0.014741672,-199,200,0.3277467701,0.013701549,-199,200,0.3283079867
28,0.019660691,-199,200,0.3495068509,0.016029836,-199,200,0.3343936804,0.015160253,-199,200,0.3332503186,0.014111863,-199,200,0.3292914708
29,0.020115774,-199,200,0.3553780672,0.016372852,-199,200,0.3373839942,0.015711048,-199,200,0.3374356096,0.014568335,-199,200,0.3316561803
30,0.020537977,-199,200,0.3592237712,0.016932521,-199,200,0.3381339277,0.016098081,-199,200,0.3396924293,0.014866521,-199,200,0.3368952626
31,0.021081167,-199,200,0.3581371589,0.017279488,-199,200,0.34521092,0.016645139,-199,200,0.3422674432,0.015296976,-199,200,0.3384901917
32,0.021692198,-199,200,0.3516066388,0.017765987,-199,200,0.3441353435,0.01710286,-199,200,0.3472497843,0.015695148,-199,200,0.3425785395
33,0.022302995,-199,200,0.3595321174,0.018324344,-199,200,0.3441346937,0.017506028,-199,200,0.3478755333,0.016072358,-199,200,0.3399803158
34,0.022918156,-199,200,0.377193892,0.018685289,-199,200,0.3464586762,0.017811844,-199,200,0.3552856605,0.016601867,-199,200,0.3499418521
35,0.023525586,-199,200,0.3730057003,0.018924987,-199,200,0.3416096023,0.018128512,-199,200,0.3603556162,0.016897845,-199,200,0.3531944392
36,0.024069368,-199,200,0.3838005629,0.019350208,-199,200,0.3435962304,0.018681362,-199,200,0.3718940534,0.017193807,-199,200,0.351801564
37,0.024487617,-199,200,0.3834559664,0.019568412,-199,200,0.3489454385,0.019105587,-199,200,0.3809383445,0.017476243,-199,200,0.3521626595
38,0.024919899,-199,200,0.3932845976,0.020125744,-199,200,0.3485647554,0.019396744,-199,200,0.3767283398,0.01772146,-199,200,0.3573967453
39,0.02542741,-199,200,0.3892584008,0.020471094,-199,200,0.345633289,0.019779924,-199,200,0.3761132074,0.018156635,-199,200,0.3622279907
40,0.025915065,-199,200,0.3851238309,0.020752196,-199,200,0.3522728824,0.0200779,-199,200,0.3765751728,0.018518067,-199,200,0.3597384958
41,0.026269477,-199,200,0.3886170755,0.021024457,-199,200,0.3629564775,0.020493092,-199,200,0.3815913909,0.018738577,-199,200,0.3583644094
42,0.026702658,-199,200,0.3950622144,0.021586065,-199,200,0.3718091848,0.020803247,-199,200,0.3771852073,0.019127643,-199,200,0.3522749982
43,0.027011389,-199,200,0.3815778019,0.021898262,-199,200,0.3682739574,0.021194961,-199,200,0.3870735547,0.019440467,-199,200,0.3679021121
44,0.0275458,-199,200,0.3680792486,0.022190055,-199,200,0.3704437692,0.021643228,-199,200,0.3863650731,0.019891444,-199,200,0.3629771137
45,0.027990953,-199,200,0.3801424582,0.022666661,-199,200,0.3851452686,0.02190979,-199,200,0.3890255685,0.020324803,-199,200,0.3689501715
46,0.028286871,-199,200,0.3758138363,0.022943242,-199,200,0.3915919461,0.022191977,-199,200,0.3807358663,0.020601516,-199,200,0.3774183849
47,0.028676502,-199,200,0.3768026399,0.023156149,-199,200,0.3885216607,0.022398803,-199,200,0.3746213342,0.020808258,-199,200,0.3700205786
48,0.029118931,-199,200,0.3799227227,0.023583361,-199,200,0.3875827527,0.022708112,-199,200,0.3788976463,0.021173477,-199,200,0.3787426943
49,0.029544758,-199,200,0.3856263906,0.024000847,-199,200,0.3910431839,0.023116446,-196.68,199.7,0.3815541347,0.021508061,-199,200,0.3710764085
50,0.029829311,-199,200,0.390780476,0.024338418,-199,200,0.4022462216,0.023328331,-199,200,0.3912931943,0.021732414,-199,200,0.3659581577
51,0.030131924,-199,200,0.3922119531,0.024667759,-199,200,0.3929217733,0.023697607,-199,200,0.3874734734,0.022116996,-199,200,0.3667605259
52,0.030435476,-199,200,0.3822753519,0.025056329,-199,200,0.3876229763,0.024034595,-199,200,0.383357459,0.022368186,-199,200,0.3708904923
53,0.03088243,-199,200,0.3872264077,0.02559197,-196.6,199.62,0.4063005492,0.024267166,-199,200,0.3816255292,0.02260253,-199,200,0.3628123197
54,0.031270714,-199,200,0.3891546108,0.025837349,-199,200,0.4020777226,0.02443823,-199,200,0.3781707315,0.022892386,-199,200,0.3712104281
55,0.031616538,-199,200,0.375477299,0.026110697,-199,200,0.3894632054,0.024730293,-199,200,0.3769799164,0.023138216,-199,200,0.3655899341
56,0.032101507,-199,200,0.3813038698,0.026277731,-199,200,0.3821511244,0.024990603,-199,200,0.3689799558,0.023572548,-199,200,0.3666593248
57,0.032389324,-199,200,0.3923301433,0.026687282,-199,200,0.3887518339,0.025181407,-199,200,0.3720650965,0.023784503,-199,200,0.369258518
58,0.032865867,-199,200,0.3788913957,0.026907441,-199,200,0.396465476,0.025472389,-199,200,0.390887573,0.024084163,-199,200,0.3671172886
59,0.033214745,-199,200,0.373827029,0.027085094,-199,200,0.4109406283,0.025764075,-199,200,0.392794526,0.02435484,-199,200,0.3644694151
60,0.033527526,-199,200,0.3700448319,0.027344921,-199,200,0.400615104,0.025977628,-199,200,0.3839195339,0.024586488,-199,200,0.3682508431
61,0.03381024,-199,200,0.3639571226,0.027569758,-199,200,0.3938047235,0.026229256,-199,200,0.3842289553,0.024849716,-196.3,199.32,0.3717924085
62,0.034107429,-199,200,0.3850758593,0.027779084,-196.78,199.8,0.4014986391,0.026485142,-196.56,199.58,0.3869776478,0.02518184,-199,200,0.3845350279
63,0.034520807,-199,200,0.399237805,0.027976424,-199,200,0.3885955243,0.026702857,-199,200,0.3821983323,0.025538346,-199,200,0.3815043515
64,0.034724268,-199,200,0.3938271971,0.028271224,-199,200,0.3948862147,0.02715415,-199,200,0.3904637259,0.025796707,-199,200,0.3772178658
65,0.035001988,-196.16,199.18,0.401968797,0.028572807,-199,200,0.3984608183,0.027374964,-199,200,0.4043112284,0.026040037,-199,200,0.3860923164
66,0.035299485,-199,200,0.4027579946,0.028765962,-199,200,0.3984872507,0.027592169,-199,200,0.4247315533,0.026260675,-196.5,199.52,0.374451142
67,0.035457442,-199,200,0.3950139315,0.029042004,-186.54,197.64,0.3978049694,0.027991584,-199,200,0.4230672185,0.026441468,-182.84,195.96,0.3895599353
68,0.035741293,-199,200,0.3989764285,0.029173057,-199,200,0.3919152928,0.028359464,-199,200,0.4100367594,0.026734231,-199,200,0.3821637666
69,0.035947083,-196.8,199.82,0.395800059,0.029369806,-199,200,0.3770107935,0.028680919,-199,200,0.4184758563,0.027023656,-199,200,0.3833383854
70,0.036259779,-199,200,0.4025461907,0.029632,-199,200,0.369895721,0.028872978,-183.9,197.02,0.4182530834,0.02724974,-199,200,0.3945282638
71,0.036512466,-199,200,0.4174018723,0.029971201,-199,200,0.3722510472,0.029088821,-199,200,0.4286960777,0.027441985,-199,200,0.401538837
72,0.036722436,-199,200,0.4109372671,0.030279396,-190.62,197.68,0.3789193987,0.029532595,-174.04,193.22,0.4309916509,0.027615316,-181.28,194.4,0.3877219815
73,0.036961042,-196.5,199.52,0.4037592602,0.030541443,-196.32,199.34,0.3770694679,0.029831072,-199,200,0.4220727721,0.027931454,-145.24,184.62,0.3859549242
74,0.037180115,-172.98,194.18,0.4086858277,0.030766931,-196.32,199.34,0.3785551757,0.030138953,-196.88,199.9,0.4187179799,0.0281343,-196.14,199.16,0.3723271294
75,0.037450315,-193.52,198.56,0.4032254654,0.03099209,-134.76,180.2,0.3762121095,0.030393887,-199,200,0.401886984,0.028394067,-175.7,192.86,0.3711835149
76,0.037752224,-195.22,198.24,0.4014150174,0.031211419,-163.88,191.14,0.3929588031,0.030590008,-194.18,199.22,0.4081319376,0.028592965,-199,200,0.3871608871
77,0.038081683,-169.96,193.18,0.4019919141,0.031440165,-193.8,198.84,0.3815547732,0.030789603,-199,200,0.4072421974,0.028762331,-199,200,0.3890870751
78,0.038327348,-187.26,196.34,0.4126692405,0.031562788,-191.46,198.52,0.3838849541,0.03100318,-196.92,199.94,0.4073112739,0.029046454,-171.88,193.08,0.394415685
79,0.038575468,-199,200,0.4142170591,0.031688743,-172.54,193.74,0.3814547629,0.031185362,-184.78,195.88,0.4004810933,0.02916292,-199,200,0.3971946792
80,0.039028644,-174.3,193.48,0.4026077297,0.031919285,-168.62,191.84,0.3812019692,0.031361698,-99.92,167.58,0.4173331194,0.029399876,-196.66,199.68,0.3970038823
81,0.039360094,-199,200,0.3872528275,0.032056646,-195.88,198.9,0.3920442074,0.031476332,-191.4,198.46,0.406845052,0.029586787,-186.56,197.66,0.3973257917
82,0.03959647,-194.88,197.9,0.3785118717,0.032259071,-154.44,185.74,0.3734677081,0.031715606,-199,200,0.403768019,0.029723924,-179.3,194.44,0.4075961796
83,0.039797523,-184.7,195.8,0.3838254353,0.032430383,-186.02,195.1,0.373438039,0.031921299,-199,200,0.4111605714,0.029935739,-194.52,199.56,0.4208415811
84,0.039953346,-183.7,196.82,0.3907251026,0.032608178,-199,200,0.3799928722,0.032098764,-184,195.1,0.4056900554,0.030176479,-151.14,186.48,0.4338123732
85,0.04012507,-196.68,199.7,0.3998993354,0.032826724,-199,200,0.3799589059,0.032255945,-199,200,0.4078499092,0.030329525,-190.02,197.08,0.4294747644
86,0.04030517,-195.1,198.12,0.4057002396,0.03305151,-199,200,0.3607619975,0.032430401,-199,200,0.4007655464,0.030663603,-69.88,151.68,0.4220680241
87,0.040594217,-153.24,186.56,0.4099951617,0.033328848,-185.48,196.58,0.3653849684,0.032626444,-196.82,199.84,0.4073589782,0.03082915,-199,200,0.4014579579
88,0.040743371,-72.6,152.38,0.3942868229,0.033491956,-121.72,169.18,0.3704250228,0.032777766,-199,200,0.4103106631,0.031065877,-196.1,199.12,0.398018781
89,0.040929363,-170.82,192.02,0.4037446771,0.033669328,-159.54,188.82,0.374318563,0.032993763,-199,200,0.4134297543,0.031199598,-199,200,0.396749135
