step,reward,mean,median,std,max,min
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0
19,0.011494252873563218,0.0005747126436781609,0.0,0.002505114335368203,0.011494252873563218,0.0
20,0.0,0.0005473453749315818,0.0,0.0024478029310342525,0.011494252873563218,0.0
21,0.0,0.000522466039707419,0.0,0.0023942401750030513,0.011494252873563218,0.0
22,0.0,0.0004997501249375312,0.0,0.002344035861980724,0.011494252873563218,0.0
23,0.0,0.0004789272030651341,0.0,0.002296854177831762,0.011494252873563218,0.0
24,0.0,0.0004597701149425287,0.0,0.002252404361179934,0.011494252873563218,0.0
25,0.0,0.0004420866489832007,0.0,0.0022104332449160036,0.011494252873563218,0.0
26,0.0,0.0004257130693912303,0.0,0.0021707192480173625,0.011494252873563218,0.0
27,0.015384615384615385,0.0009599595806492359,0.0,0.003500008227299073,0.015384615384615385,0.0
28,0.018867924528301886,0.0015774756133269134,0.0,0.004743919395325667,0.018867924528301886,0.0
29,0.029411764705882353,0.002505285249745428,0.0,0.00683510812715274,0.029411764705882353,0.0
30,0.0,0.0024244695965278335,0.0,0.006738514915394266,0.029411764705882353,0.0
31,0.0,0.002348704921636339,0.0,0.00664579153696261,0.029411764705882353,0.0
32,0.0,0.0022775320452231166,0.0,0.00655669608136608,0.029411764705882353,0.0
33,0.0,0.0022105458085989074,0.0,0.006471006114446103,0.029411764705882353,0.0
34,0.0,0.0021473873569246528,0.0,0.006388516891714045,0.029411764705882353,0.0
35,0.010638297872340425,0.0023832459823528687,0.0,0.006451858236947551,0.029411764705882353,0.0
36,0.0,0.002318833928775764,0.0,0.006375797652678968,0.029411764705882353,0.0
37,0.012987012987012988,0.002599575482939902,0.0,0.006518989436622516,0.029411764705882353,0.0
38,0.0,0.0025329197013260582,0.0,0.006447975234567167,0.029411764705882353,0.0
39,0.0,0.0024695967087929064,0.0,0.006379134523107543,0.029411764705882353,0.0
40,0.016666666666666666,0.0028158667077654367,0.0,0.006670603634047243,0.029411764705882353,0.0
41,0.0,0.0027488222623424504,0.0,0.006604679768811891,0.029411764705882353,0.0
42,0.016129032258064516,0.003059989936661568,0.0,0.0068318370888046645,0.029411764705882353,0.0
43,0.0,0.0029904447108283507,0.0,0.0067691355783972935,0.029411764705882353,0.0
44,0.0,0.002923990383921054,0.0,0.006707999663158356,0.029411764705882353,0.0
45,0.0,0.002860425375574944,0.0,0.006648374323903606,0.029411764705882353,0.0
46,0.0,0.002799565261201009,0.0,0.006590206273928891,0.029411764705882353,0.0
47,0.0,0.0027412409849259882,0.0,0.006533444030974032,0.029411764705882353,0.0
48,0.0,0.00268529729135607,0.0,0.006478037953265627,0.029411764705882353,0.0
49,0.0,0.0026315913455289487,0.0,0.006423940248143115,0.029411764705882353,0.0
50,0.0,0.0025799915152244592,0.0,0.0063711049599238095,0.029411764705882353,0.0
51,0.0,0.0025303762937778354,0.0,0.006319487942219998,0.029411764705882353,0.0
52,0.0,0.002482633344838631,0.0,0.0062690468187918845,0.029411764705882353,0.0
53,0.0,0.002436658653267545,0.0,0.006219740936133853,0.029411764705882353,0.0
54,0.0,0.0023923557686626805,0.0,0.006171531310294279,0.029411764705882353,0.0
55,0.0,0.002349635129936561,0.0,0.006124380569879528,0.029411764705882353,0.0
56,0.0,0.002308413460990306,0.0,0.006078252896758842,0.029411764705882353,0.0
57,0.0,0.002268613228904266,0.0,0.00603311396564389,0.029411764705882353,0.0
58,0.0,0.0022301621572279225,0.0,0.005988930883445337,0.029411764705882353,0.0
59,0.0,0.0021929927879407907,0.0,0.005945672129094089,0.029411764705882353,0.0
60,0.0,0.0021570420864991382,0.0,0.0059033074943449625,0.029411764705882353,0.0
61,0.0,0.0021222510851039906,0.0,0.005861808025946073,0.029411764705882353,0.0
62,0.01020408163265306,0.002250534109668262,0.0,0.005902176636405007,0.029411764705882353,0.0
63,0.0,0.0022153695142046953,0.0,0.005862532215581419,0.029411764705882353,0.0
64,0.017857142857142856,0.0024560121810191285,0.0,0.006127535795206144,0.029411764705882353,0.0
