steps,time,reward,delta,converged
1,0.005091000000000179,1.1194551871559837,0.10622485871518939,False
2,0.007438999999999751,1.5416254545926664,5.2694626634114e-06,False
3,0.007711999999999719,1.541635584624082,5.2695084786257614e-06,False
4,0.0076459999999993755,1.54163575210797,5.269508478752179e-06,False
5,0.007388999999999868,1.541635584624082,5.2695084786257614e-06,False
6,0.0074070000000006075,1.54163575210797,5.269508478752179e-06,False
7,0.007427999999999102,1.541635584624082,5.2695084786257614e-06,False
8,0.00745200000000068,1.54163575210797,5.269508478752179e-06,False
9,0.00744700000000087,1.541635584624082,5.2695084786257614e-06,False
10,0.007435000000000969,1.54163575210797,5.269508478752179e-06,False
11,0.0074179999999994806,1.541635584624082,5.2695084786257614e-06,False
12,0.007478000000000762,1.54163575210797,5.269508478752179e-06,True
