episode,length,time,reward,delta
0,500.0,0.021812000000011267,-3174.0,-0.3251273132077581
1,500.0,0.021872999999970943,-4164.0,-0.00492378313358266
2,500.0,0.021878000000015163,-3372.0,-0.011346224664825488
3,379.0,0.016590000000007876,-2655.0,99.99936352980066
4,354.0,0.015459000000021206,-1640.0,49.99968176490033
5,34.0,0.0015369999999848005,-132.0,24.999840882450172
6,243.0,0.010679999999979373,-1727.0,12.499920441225086
7,42.0,0.0018739999999866086,-140.0,6.249960220612536
8,99.0,0.0043370000000209075,-395.0,3.124980110306268
9,177.0,0.007718000000011216,-1067.0,1.562490055153134
10,67.0,0.00304900000003272,-363.0,0.7812450275765741
11,33.0,0.0014760000000251239,-32.0,0.39062251378828705
12,129.0,0.005613999999980024,-623.0,0.19531125689414353
13,66.0,0.0029109999999832326,-263.0,0.09765562844707176
14,20.0,0.0009249999999951797,80.0,0.048827814223528776
15,89.0,0.003899000000046726,-484.0,0.024413907111764388
16,17.0,0.0007889999999974862,83.0,0.012206953555875089
17,51.0,0.002276999999992313,-248.0,0.006103476777937544
18,26.0,0.0011839999999665451,-25.0,0.0030517383889616667
19,46.0,0.002051999999991949,-144.0,0.0015258691944808334
20,28.0,0.0012649999999894135,72.0,0.0007629345972475221
21,15.0,0.0007049999999821921,85.0,0.00038146729862376105
22,45.0,0.0020109999999817774,-242.0,0.0001907336493047751
23,39.0,0.001733999999999014,-137.0,9.536682465238755e-05
24,21.0,0.0009669999999459833,79.0,4.76834123332992e-05
25,33.0,0.0014769999999657557,-131.0,2.38417061666496e-05
26,47.0,0.002066000000013446,-145.0,1.19208530833248e-05
27,20.0,0.0009129999999686333,80.0,5.960426534556973e-06
28,18.0,0.0008240000000228065,82.0,2.9802132672784865e-06
29,147.0,0.006687999999996919,-542.0,1.4901066265338159e-06
30,16.0,0.0007689999999911379,84.0,7.450533132669079e-07
31,16.0,0.0007460000000492073,84.0,3.7252665663345397e-07
32,22.0,0.0010069999999586798,78.0,1.8626332121129963e-07
33,14.0,0.0006579999999871688,86.0,9.313166060564981e-08
34,24.0,0.0010889999999790234,-23.0,4.6565830302824907e-08
35,53.0,0.002334999999959564,-349.0,2.328292225683981e-08
36,110.0,0.004791000000011536,-505.0,1.1641461128419905e-08
37,39.0,0.0017450000000280852,-38.0,5.82073766963731e-09
38,59.0,0.002587000000005446,-157.0,2.910368834818655e-09
39,58.0,0.0025530000000344444,-255.0,1.4551915228366852e-09
40,23.0,0.0010469999999713764,-22.0,7.275957614183426e-10
41,81.0,0.003620000000012169,-476.0,3.637978807091713e-10
42,27.0,0.0012079999999627944,-26.0,1.8189894035458565e-10
43,47.0,0.002086999999960426,-244.0,9.094947017729282e-11
44,16.0,0.0007390000000100372,84.0,4.547473508864641e-11
45,80.0,0.0035049999999614556,-475.0,2.2737367544323206e-11
46,22.0,0.001002000000028147,78.0,1.1368683772161603e-11
47,41.0,0.0018870000000106302,-40.0,5.6843418860808015e-12
48,18.0,0.0008270000000152322,82.0,2.8421709430404007e-12
49,17.0,0.0007880000000000109,83.0,1.4210854715202004e-12
50,45.0,0.001997999999957756,-44.0,7.105427357601002e-13
51,19.0,0.0008719999999584616,81.0,3.552713678800501e-13
52,24.0,0.0010809999999992215,76.0,1.7053025658242404e-13
53,15.0,0.0007019999999897664,85.0,8.526512829121202e-14
54,26.0,0.001170999999999367,74.0,4.263256414560601e-14
55,42.0,0.0018489999999928841,-338.0,2.842170943040401e-14
56,35.0,0.0015570000000479922,-34.0,1.4210854715202004e-14
57,15.0,0.0006960000000049149,85.0,0.0
58,37.0,0.0016469999999912943,-36.0,0.0
59,15.0,0.0006960000000049149,85.0,0.0
60,79.0,0.0034459999999967295,-375.0,0.0
61,55.0,0.002456999999992604,-54.0,0.0
62,17.0,0.0007870000000025357,-16.0,0.0
63,29.0,0.0013030000000071595,-28.0,0.0
64,20.0,0.0009210000000052787,80.0,0.0
65,68.0,0.0029870000000187247,-463.0,0.0
66,21.0,0.000964000000010401,-20.0,0.0
67,48.0,0.0021099999999592,-146.0,0.0
68,29.0,0.0013099999999894862,-127.0,0.0
69,21.0,0.0009569999999712309,79.0,0.0
70,32.0,0.001431999999965683,-130.0,0.0
71,35.0,0.0015530000000012478,-34.0,0.0
72,88.0,0.003842000000020107,-483.0,0.0
73,19.0,0.0008809999999925822,81.0,0.0
74,31.0,0.0014370000000099026,-30.0,0.0
75,55.0,0.0024259999999571846,-153.0,0.0
76,39.0,0.0017270000000166874,-137.0,0.0
77,23.0,0.0010430000000383188,77.0,0.0
78,14.0,0.0006609999999795946,86.0,0.0
79,35.0,0.0015620000000353684,-133.0,0.0
80,14.0,0.0006529999999997926,86.0,0.0
81,45.0,0.0019849999999905776,-143.0,0.0
82,20.0,0.000914000000022952,-19.0,0.0
83,37.0,0.001642000000003918,-135.0,0.0
84,16.0,0.0007420000000024629,84.0,0.0
85,67.0,0.002927999999997155,-264.0,0.0
86,31.0,0.0013780000000451764,-30.0,0.0
87,113.0,0.0049619999999777065,-607.0,0.0
88,22.0,0.0009990000000357213,78.0,0.0
89,33.0,0.0014859999999998763,-32.0,0.0
90,52.0,0.0022890000000188593,-150.0,0.0
91,89.0,0.003865000000018881,-682.0,0.0
92,39.0,0.0017240000000242617,-137.0,0.0
93,88.0,0.0038329999999859865,-582.0,0.0
94,18.0,0.000827999999955864,82.0,0.0
95,27.0,0.0012120000000095388,-26.0,0.0
96,30.0,0.0013419999999655374,-29.0,0.0
97,17.0,0.0008690000000228792,83.0,0.0
98,27.0,0.0012200000000461841,-26.0,0.0
99,32.0,0.00141999999999598,-31.0,0.0
100,17.0,0.0007830000000126347,83.0,0.0
101,24.0,0.0010800000000017462,76.0,0.0
102,40.0,0.0017740000000117107,-237.0,0.0
103,55.0,0.0024249999999597094,-252.0,0.0
104,20.0,0.000918000000012853,80.0,0.0
105,36.0,0.0015970000000038453,-35.0,0.0
106,19.0,0.0008740000000102555,81.0,0.0
107,23.0,0.001036999999996624,77.0,0.0
108,15.0,0.0006940000000099644,85.0,0.0
109,22.0,0.0009999999999763531,78.0,0.0
110,38.0,0.00168300000001409,-37.0,0.0
111,45.0,0.0019849999999905776,-44.0,0.0
112,32.0,0.0014230000000452492,-31.0,0.0
113,20.0,0.0009269999999901302,80.0,0.0
114,27.0,0.001220999999986816,-26.0,0.0
115,17.0,0.0007959999999798129,83.0,0.0
116,16.0,0.0007429999999999382,84.0,0.0
117,16.0,0.0007420000000024629,84.0,0.0
118,18.0,0.0008330000000000837,82.0,0.0
119,17.0,0.0007870000000025357,83.0,0.0
120,49.0,0.0021370000000047185,-246.0,0.0
121,54.0,0.0023679999999899337,-152.0,0.0
122,22.0,0.0009919999999965512,78.0,0.0
123,38.0,0.0017040000000179134,-136.0,0.0
124,17.0,0.0007820000000151595,83.0,0.0
125,14.0,0.0006480000000124164,86.0,0.0
126,16.0,0.0007410000000049877,-15.0,0.0
127,40.0,0.0017740000000117107,-138.0,0.0
128,17.0,0.0007810000000176842,83.0,0.0
129,21.0,0.0009509999999863794,79.0,0.0
130,19.0,0.0008730000000127802,81.0,0.0
131,19.0,0.0008860000000368018,81.0,0.0
132,16.0,0.0007469999999898391,84.0,0.0
133,26.0,0.0011700000000018917,-25.0,0.0
134,17.0,0.0007889999999974862,-16.0,0.0
135,16.0,0.0007420000000024629,84.0,0.0
136,21.0,0.0009520000000406981,-20.0,0.0
137,18.0,0.000826000000017757,82.0,0.0
138,19.0,0.0008709999999609863,81.0,0.0
139,33.0,0.0014809999999556567,-32.0,0.0
140,21.0,0.000965999999948508,79.0,0.0
141,39.0,0.0017319999999472202,-137.0,0.0
142,33.0,0.0014669999999910033,-32.0,0.0
143,18.0,0.0008239999999659631,82.0,0.0
144,34.0,0.001511999999991076,-33.0,0.0
145,32.0,0.0014189999999985048,-31.0,0.0
146,36.0,0.0015889999999672,-35.0,0.0
147,16.0,0.0007369999999582433,84.0,0.0
148,16.0,0.0007400000000075124,84.0,0.0
149,17.0,0.0008349999999950342,83.0,0.0
150,16.0,0.0007449999999948886,84.0,0.0
151,16.0,0.0007469999999898391,84.0,0.0
152,18.0,0.0008289999999533393,82.0,0.0
153,37.0,0.0016439999999988686,-135.0,0.0
154,15.0,0.0006979999999998654,85.0,0.0
155,22.0,0.0009919999999965512,78.0,0.0
156,53.0,0.0023160000000075343,-151.0,0.0
157,43.0,0.0018870000000106302,-240.0,0.0
158,14.0,0.0006470000000149412,86.0,0.0
159,16.0,0.0007400000000075124,84.0,0.0
160,15.0,0.0006920000000150139,85.0,0.0
161,16.0,0.0007369999999582433,84.0,0.0
162,22.0,0.000990999999999076,78.0,0.0
163,22.0,0.0009969999999839274,78.0,0.0
164,22.0,0.001002000000028147,78.0,0.0
165,17.0,0.0007840000000101099,83.0,0.0
166,18.0,0.0008239999999659631,82.0,0.0
167,34.0,0.0015129999999885513,-33.0,0.0
