episode,length,time,reward,delta
0,500.0,0.021846999999979744,-2778.0,-0.00011638583199991004
1,356.0,0.015476000000035128,-1741.0,100.0
2,346.0,0.014964000000077249,-1929.0,10.0
3,249.0,0.010797000000025037,-1238.0,1.0
4,16.0,0.0007469999999329957,84.0,0.09999999999999432
5,36.0,0.0016019999999343781,64.0,0.010000000000005116
6,56.0,0.002464000000031774,-154.0,0.0010000000000047748
7,24.0,0.0010870000000977598,-23.0,0.00010000000000331966
8,41.0,0.0018270000000484288,-40.0,1.0000000003174137e-05
9,37.0,0.0016540000000304644,-36.0,9.999999974752427e-07
10,32.0,0.0014370000000099026,-130.0,9.999999406318238e-08
11,32.0,0.0014340000000174769,68.0,9.999993721976352e-09
12,49.0,0.0021689999999807696,-147.0,1.0000036354540498e-09
13,18.0,0.0008250000000771252,82.0,1.000017846308765e-10
14,18.0,0.0008290000000670261,-116.0,1.000444171950221e-11
15,16.0,0.0007470000000466825,84.0,9.947598300641403e-13
16,45.0,0.0020299999999906504,-143.0,9.947598300641403e-14
17,16.0,0.0007540000000290092,84.0,1.4210854715202004e-14
18,25.0,0.0011409999999614229,75.0,0.0
19,58.0,0.002567999999996573,-354.0,0.0
20,18.0,0.0008330000000569271,82.0,0.0
21,18.0,0.0008469999999078937,82.0,0.0
22,22.0,0.0010069999999586798,78.0,0.0
23,18.0,0.0008340000000544023,-17.0,0.0
24,34.0,0.001538999999979751,-33.0,0.0
25,14.0,0.0006630000000313885,86.0,0.0
26,19.0,0.0008740000000670989,81.0,0.0
27,29.0,0.001297000000022308,-28.0,0.0
28,22.0,0.0010129999999435313,-21.0,0.0
29,32.0,0.0014320000000225264,-130.0,0.0
30,22.0,0.0009959999999864522,78.0,0.0
31,19.0,0.0008709999999609863,81.0,0.0
32,17.0,0.000781999999958316,83.0,0.0
33,30.0,0.0013440000000173313,-29.0,0.0
34,14.0,0.0006500000000642103,86.0,0.0
35,17.0,0.0007830000000694781,83.0,0.0
36,15.0,0.000703000000044085,85.0,0.0
37,101.0,0.0044190000000980945,-595.0,0.0
38,14.0,0.0006590000000414875,86.0,0.0
39,16.0,0.0007450000000517321,84.0,0.0
40,60.0,0.0026479999999082793,-158.0,0.0
41,19.0,0.0008769999999458378,81.0,0.0
42,47.0,0.002100000000041291,-46.0,0.0
43,32.0,0.0014400000000023283,-31.0,0.0
44,14.0,0.0006640000000288637,86.0,0.0
45,52.0,0.002313000000071952,-150.0,0.0
46,59.0,0.0026260000000775108,-355.0,0.0
47,18.0,0.0008340000000544023,82.0,0.0
48,16.0,0.000749000000041633,84.0,0.0
49,16.0,0.0007559999999102729,84.0,0.0
50,53.0,0.0023569999999608626,-349.0,0.0
51,16.0,0.000753000000031534,84.0,0.0
52,15.0,0.0007050000000390355,85.0,0.0
53,19.0,0.0008789999999407883,81.0,0.0
54,16.0,0.000747999999930471,84.0,0.0
55,35.0,0.0015740000000050713,-34.0,0.0
56,17.0,0.0007910000000492801,83.0,0.0
57,14.0,0.0006579999999303254,86.0,0.0
58,26.0,0.0011729999999943175,74.0,0.0
59,14.0,0.000665000000026339,86.0,0.0
60,14.0,0.0006589999999278007,86.0,0.0
61,54.0,0.002392999999983658,-251.0,0.0
62,14.0,0.0006660000000238142,86.0,0.0
63,47.0,0.0020940000000564396,-46.0,0.0
64,22.0,0.001007999999956155,78.0,0.0
65,34.0,0.001527000000010048,-132.0,0.0
66,29.0,0.0013090000001056978,-28.0,0.0
67,25.0,0.0011440000000675354,75.0,0.0
68,19.0,0.0008780000000569999,81.0,0.0
69,60.0,0.002655000000004293,-257.0,0.0
70,23.0,0.0010469999999713764,77.0,0.0
71,19.0,0.0008760000000620494,81.0,0.0
72,48.0,0.002133000000071661,-245.0,0.0
73,20.0,0.0009180000000696964,80.0,0.0
74,14.0,0.000657000000046537,86.0,0.0
75,15.0,0.0007010000000491345,85.0,0.0
76,63.0,0.002790000000004511,-260.0,0.0
77,18.0,0.0008330000000569271,82.0,0.0
78,16.0,0.000749000000041633,84.0,0.0
79,16.0,0.0007440000000542568,84.0,0.0
80,36.0,0.0016090000000303917,-35.0,0.0
81,17.0,0.0008599999999887586,83.0,0.0
82,17.0,0.0009860000000116997,83.0,0.0
