params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",23.132183999999995,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""discount_factor"": 0.1, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",4.3220209999999994,100,5.321411764705883,4.9411764705882355,4.9411764705882355,5.733333333333333,0.3957614417808552
"{""discount_factor"": 0.2, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.951856999999997,100,2.299333333333333,-1.0,-1.0,5.733333333333333,3.365993265986529
"{""discount_factor"": 0.3, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.675180999999995,100,2.4339999999999997,5.733333333333333,-1.0,5.733333333333333,3.3659932659865297
"{""discount_factor"": 0.4, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.548303000000004,100,1.4239999999999997,-1.0,-1.0,5.733333333333333,3.232
"{""discount_factor"": 0.5, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.4049380000000014,100,2.972666666666667,5.733333333333333,-1.0,5.733333333333333,3.3116775876350713
"{""discount_factor"": 0.6, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.3290080000000017,100,2.7033333333333336,5.733333333333333,-1.0,5.733333333333333,3.349791038258954
"{""discount_factor"": 0.7, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.3221830000000026,100,2.9053333333333335,5.733333333333333,-1.0,5.733333333333333,3.3232939482788257
"{""discount_factor"": 0.8, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.3538830000000104,100,2.097333333333333,-1.0,-1.0,5.733333333333333,3.3558760406189014
"{""discount_factor"": 0.9, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.3126610000000056,100,2.2993333333333332,-1.0,-1.0,5.733333333333333,3.36599326598653
"{""discount_factor"": 0.0, ""epsilon"": 0.3, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",23.347573999999994,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""discount_factor"": 0.1, ""epsilon"": 0.3, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.7861780000000067,100,4.911157894736843,4.315789473684211,4.315789473684211,5.733333333333333,0.699640831216595
"{""discount_factor"": 0.2, ""epsilon"": 0.3, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.7035310000000123,100,2.2993333333333332,-1.0,-1.0,5.733333333333333,3.36599326598653
"{""discount_factor"": 0.3, ""epsilon"": 0.3, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.583364000000003,100,2.568666666666666,5.733333333333333,-1.0,5.733333333333333,3.3606012028273224
"{""discount_factor"": 0.4, ""epsilon"": 0.3, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.209256999999994,100,5.313490196078432,4.9411764705882355,4.9411764705882355,5.733333333333333,0.39536484739144956
"{""discount_factor"": 0.5, ""epsilon"": 0.3, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.5111379999999883,100,2.2993333333333332,-1.0,-1.0,5.733333333333333,3.36599326598653
"{""discount_factor"": 0.6, ""epsilon"": 0.3, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.457747999999995,100,2.4339999999999993,5.733333333333333,-1.0,5.733333333333333,3.36599326598653
"{""discount_factor"": 0.7, ""epsilon"": 0.3, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.149626000000012,100,5.024561403508773,5.024561403508772,4.315789473684211,5.733333333333333,0.7087719298245613
"{""discount_factor"": 0.8, ""epsilon"": 0.3, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.436306000000002,100,2.4339999999999993,5.733333333333333,-1.0,5.733333333333333,3.36599326598653
"{""discount_factor"": 0.9, ""epsilon"": 0.3, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.100227000000004,100,5.361019607843138,5.733333333333333,4.9411764705882355,5.733333333333333,0.3953648473914496
"{""discount_factor"": 0.0, ""epsilon"": 0.5, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",5.7662480000000045,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""discount_factor"": 0.1, ""epsilon"": 0.5, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.7123160000000013,100,5.3134901960784315,4.9411764705882355,4.9411764705882355,5.733333333333333,0.39536484739144956
"{""discount_factor"": 0.2, ""epsilon"": 0.5, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.747529,100,2.4339999999999997,5.733333333333333,-1.0,5.733333333333333,3.3659932659865297
"{""discount_factor"": 0.3, ""epsilon"": 0.5, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.3162479999999874,100,5.37686274509804,5.733333333333333,4.9411764705882355,5.733333333333333,0.39409306332458266
"{""discount_factor"": 0.4, ""epsilon"": 0.5, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.7031299999999874,100,2.03,-1.0,-1.0,5.733333333333333,3.349791038258954
"{""discount_factor"": 0.5, ""epsilon"": 0.5, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.5676300000000083,100,2.2993333333333332,-1.0,-1.0,5.733333333333333,3.36599326598653
"{""discount_factor"": 0.6, ""epsilon"": 0.5, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.509371000000016,100,2.4339999999999993,5.733333333333333,-1.0,5.733333333333333,3.36599326598653
"{""discount_factor"": 0.7, ""epsilon"": 0.5, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.2561919999999986,100,5.392705882352941,5.733333333333333,4.9411764705882355,5.733333333333333,0.3921776543507899
"{""discount_factor"": 0.8, ""epsilon"": 0.5, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.2262979999999857,100,5.321411764705882,4.9411764705882355,4.9411764705882355,5.733333333333333,0.3957614417808553
"{""discount_factor"": 0.9, ""epsilon"": 0.5, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.301360999999986,100,5.281803921568627,4.9411764705882355,4.9411764705882355,5.733333333333333,0.39217765435078983
"{""discount_factor"": 0.0, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",23.08065499999998,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""discount_factor"": 0.1, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",4.232635999999985,100,2.3666666666666663,2.3666666666666667,-1.0,5.733333333333333,3.3666666666666667
"{""discount_factor"": 0.2, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",2.694080000000014,100,5.392705882352943,5.733333333333333,4.9411764705882355,5.733333333333333,0.39217765435078983
"{""discount_factor"": 0.3, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",2.5328599999999994,100,2.8380000000000005,5.733333333333333,-1.0,5.733333333333333,3.3335100619817144
"{""discount_factor"": 0.4, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",2.4994080000000167,100,2.097333333333333,-1.0,-1.0,5.733333333333333,3.3558760406189014
"{""discount_factor"": 0.5, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",2.4801860000000033,100,2.0299999999999994,-1.0,-1.0,5.733333333333333,3.349791038258954
"{""discount_factor"": 0.6, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",2.2890179999999987,100,2.636,5.733333333333333,-1.0,5.733333333333333,3.355876040618902
"{""discount_factor"": 0.7, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",2.278909999999996,100,2.7033333333333336,5.733333333333333,-1.0,5.733333333333333,3.349791038258954
"{""discount_factor"": 0.8, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",2.292447999999979,100,2.0299999999999994,-1.0,-1.0,5.733333333333333,3.349791038258954
"{""discount_factor"": 0.9, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",2.3173679999999877,100,1.9626666666666666,-1.0,-1.0,5.733333333333333,3.3423387686535375
"{""discount_factor"": 0.0, ""epsilon"": 0.3, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",23.56425200000001,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""discount_factor"": 0.1, ""epsilon"": 0.3, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",2.734400999999991,100,5.345176470588237,5.733333333333333,4.9411764705882355,5.733333333333333,0.39599920776312114
"{""discount_factor"": 0.2, ""epsilon"": 0.3, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",2.6530419999999992,100,2.4339999999999997,5.733333333333333,-1.0,5.733333333333333,3.36599326598653
"{""discount_factor"": 0.3, ""epsilon"": 0.3, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",2.5325750000000085,100,2.3666666666666663,2.3666666666666667,-1.0,5.733333333333333,3.3666666666666667
"{""discount_factor"": 0.4, ""epsilon"": 0.3, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",2.2545360000000016,100,5.337254901960785,5.337254901960785,4.9411764705882355,5.733333333333333,0.3960784313725489
"{""discount_factor"": 0.5, ""epsilon"": 0.3, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",2.4000819999999976,100,2.770666666666667,5.733333333333333,-1.0,5.733333333333333,3.3423387686535384
"{""discount_factor"": 0.6, ""epsilon"": 0.3, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",2.4405649999999923,100,2.8380000000000005,5.733333333333333,-1.0,5.733333333333333,3.3335100619817144
"{""discount_factor"": 0.7, ""epsilon"": 0.3, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",2.4636700000000076,100,1.8279999999999998,-1.0,-1.0,5.733333333333333,3.3232939482788257
"{""discount_factor"": 0.8, ""epsilon"": 0.3, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",2.43759399999999,100,2.03,-1.0,-1.0,5.733333333333333,3.349791038258954
"{""discount_factor"": 0.9, ""epsilon"": 0.3, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",2.105054999999993,100,5.376862745098041,5.733333333333333,4.9411764705882355,5.733333333333333,0.3940930633245827
"{""discount_factor"": 0.0, ""epsilon"": 0.5, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",23.37083099999998,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""discount_factor"": 0.1, ""epsilon"": 0.5, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",3.017380000000003,100,2.4339999999999997,5.733333333333333,-1.0,5.733333333333333,3.3659932659865297
"{""discount_factor"": 0.2, ""epsilon"": 0.5, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",2.7362580000000207,100,1.895333333333333,-1.0,-1.0,5.733333333333333,3.3335100619817153
"{""discount_factor"": 0.3, ""epsilon"": 0.5, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",2.618388999999979,100,2.2993333333333332,-1.0,-1.0,5.733333333333333,3.36599326598653
"{""discount_factor"": 0.4, ""epsilon"": 0.5, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",2.549233999999956,100,2.299333333333333,-1.0,-1.0,5.733333333333333,3.3659932659865293
"{""discount_factor"": 0.5, ""epsilon"": 0.5, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",2.2706170000000157,100,5.28972549019608,4.9411764705882355,4.9411764705882355,5.733333333333333,0.39321632572394544
"{""discount_factor"": 0.6, ""epsilon"": 0.5, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",2.4933980000000133,100,2.4339999999999997,5.733333333333333,-1.0,5.733333333333333,3.36599326598653
"{""discount_factor"": 0.7, ""epsilon"": 0.5, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",2.278061999999977,100,5.3689411764705905,5.733333333333333,4.9411764705882355,5.733333333333333,0.39480894595516486
"{""discount_factor"": 0.8, ""epsilon"": 0.5, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",2.4746039999999994,100,2.8380000000000005,5.733333333333333,-1.0,5.733333333333333,3.3335100619817144
"{""discount_factor"": 0.9, ""epsilon"": 0.5, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",2.5569889999999873,100,2.0973333333333333,-1.0,-1.0,5.733333333333333,3.3558760406189014
"{""discount_factor"": 0.0, ""epsilon"": 0.1, ""alpha"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",5.773494000000028,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""discount_factor"": 0.1, ""epsilon"": 0.1, ""alpha"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.291119999999978,100,2.1646666666666663,-1.0,-1.0,5.733333333333333,3.360601202827322
"{""discount_factor"": 0.2, ""epsilon"": 0.1, ""alpha"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.2754130000000146,100,2.3666666666666663,2.3666666666666667,-1.0,5.733333333333333,3.3666666666666667
"{""discount_factor"": 0.3, ""epsilon"": 0.1, ""alpha"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.167502000000013,100,2.5686666666666667,5.733333333333333,-1.0,5.733333333333333,3.3606012028273224
"{""discount_factor"": 0.4, ""epsilon"": 0.1, ""alpha"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.1341750000000275,100,2.8380000000000005,5.733333333333333,-1.0,5.733333333333333,3.3335100619817144
"{""discount_factor"": 0.5, ""epsilon"": 0.1, ""alpha"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.1957459999999855,100,2.1646666666666663,-1.0,-1.0,5.733333333333333,3.360601202827322
"{""discount_factor"": 0.6, ""epsilon"": 0.1, ""alpha"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.2474559999999997,100,1.8953333333333333,-1.0,-1.0,5.733333333333333,3.3335100619817144
"{""discount_factor"": 0.7, ""epsilon"": 0.1, ""alpha"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.1630650000000173,100,2.7033333333333336,5.733333333333333,-1.0,5.733333333333333,3.349791038258954
