params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",24.367849999999862,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""discount_factor"": 0.1, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",4.729544999999916,100,2.501333333333333,5.733333333333333,-1.0,5.733333333333333,3.3639722551372704
"{""discount_factor"": 0.2, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.8449869999999464,100,3.1073333333333335,5.733333333333333,-1.0,5.733333333333333,3.2841829019306052
"{""discount_factor"": 0.3, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.671340999999984,100,2.2319999999999998,-1.0,-1.0,5.733333333333333,3.3639722551372704
"{""discount_factor"": 0.4, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.5436389999999847,100,1.8953333333333326,-1.0,-1.0,5.733333333333333,3.3335100619817144
"{""discount_factor"": 0.5, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.52221499999996,100,2.03,-1.0,-1.0,5.733333333333333,3.349791038258954
"{""discount_factor"": 0.6, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.355291999999963,100,2.972666666666667,5.733333333333333,-1.0,5.733333333333333,3.3116775876350713
"{""discount_factor"": 0.7, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.0662650000001577,100,5.281803921568627,4.9411764705882355,4.9411764705882355,5.733333333333333,0.39217765435078983
"{""discount_factor"": 0.8, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.3200279999998656,100,2.4339999999999997,5.733333333333333,-1.0,5.733333333333333,3.36599326598653
"{""discount_factor"": 0.9, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.3394070000001648,100,2.1646666666666663,-1.0,-1.0,5.733333333333333,3.3606012028273224
"{""discount_factor"": 0.0, ""epsilon"": 0.3, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",6.014043000000129,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""discount_factor"": 0.1, ""epsilon"": 0.3, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",3.1295920000000024,100,2.636,5.733333333333333,-1.0,5.733333333333333,3.3558760406189014
"{""discount_factor"": 0.2, ""epsilon"": 0.3, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.70341899999994,100,2.9726666666666675,5.733333333333333,-1.0,5.733333333333333,3.311677587635071
"{""discount_factor"": 0.3, ""epsilon"": 0.3, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.6119289999999182,100,2.3666666666666663,2.3666666666666667,-1.0,5.733333333333333,3.3666666666666667
"{""discount_factor"": 0.4, ""epsilon"": 0.3, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.318017999999938,100,5.305568627450981,4.9411764705882355,4.9411764705882355,5.733333333333333,0.3948089459551649
"{""discount_factor"": 0.5, ""epsilon"": 0.3, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.4927480000001196,100,2.2319999999999998,-1.0,-1.0,5.733333333333333,3.3639722551372704
"{""discount_factor"": 0.6, ""epsilon"": 0.3, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.50601400000005,100,2.3666666666666667,2.3666666666666667,-1.0,5.733333333333333,3.3666666666666667
"{""discount_factor"": 0.7, ""epsilon"": 0.3, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.470559000000094,100,2.2319999999999998,-1.0,-1.0,5.733333333333333,3.3639722551372704
"{""discount_factor"": 0.8, ""epsilon"": 0.3, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.4653129999999237,100,2.097333333333333,-1.0,-1.0,5.733333333333333,3.355876040618902
"{""discount_factor"": 0.9, ""epsilon"": 0.3, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.392802999999958,100,2.5686666666666667,5.733333333333333,-1.0,5.733333333333333,3.360601202827322
"{""discount_factor"": 0.0, ""epsilon"": 0.5, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",5.983997999999929,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""discount_factor"": 0.1, ""epsilon"": 0.5, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",3.015619999999899,100,2.4339999999999993,5.733333333333333,-1.0,5.733333333333333,3.36599326598653
"{""discount_factor"": 0.2, ""epsilon"": 0.5, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.8264630000001034,100,2.636,5.733333333333333,-1.0,5.733333333333333,3.355876040618902
"{""discount_factor"": 0.3, ""epsilon"": 0.5, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.7387690000000475,100,1.8953333333333333,-1.0,-1.0,5.733333333333333,3.3335100619817144
"{""discount_factor"": 0.4, ""epsilon"": 0.5, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.373409000000038,100,5.4164705882352955,5.733333333333333,4.9411764705882355,5.733333333333333,0.3880760219938838
"{""discount_factor"": 0.5, ""epsilon"": 0.5, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.663379999999961,100,1.6259999999999994,-1.0,-1.0,5.733333333333333,3.2841829019306052
"{""discount_factor"": 0.6, ""epsilon"": 0.5, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.518839000000071,100,3.309333333333334,5.733333333333333,-1.0,5.733333333333333,3.232
"{""discount_factor"": 0.7, ""epsilon"": 0.5, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.6842810000000554,100,2.2993333333333332,-1.0,-1.0,5.733333333333333,3.36599326598653
"{""discount_factor"": 0.8, ""epsilon"": 0.5, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.529515000000174,100,2.770666666666667,5.733333333333333,-1.0,5.733333333333333,3.342338768653538
"{""discount_factor"": 0.9, ""epsilon"": 0.5, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.572998000000098,100,2.8380000000000005,5.733333333333333,-1.0,5.733333333333333,3.3335100619817144
"{""discount_factor"": 0.0, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",24.028465000000097,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""discount_factor"": 0.1, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",4.464406000000054,100,2.568666666666666,5.733333333333333,-1.0,5.733333333333333,3.3606012028273224
"{""discount_factor"": 0.2, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",2.649793999999929,100,4.967859649122809,4.315789473684211,4.315789473684211,5.733333333333333,0.7065002190776636
"{""discount_factor"": 0.3, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",2.6828149999998914,100,1.9626666666666663,-1.0,-1.0,5.733333333333333,3.342338768653537
"{""discount_factor"": 0.4, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",2.4786249999999654,100,2.770666666666667,5.733333333333333,-1.0,5.733333333333333,3.3423387686535375
"{""discount_factor"": 0.5, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",2.4531019999999444,100,2.03,-1.0,-1.0,5.733333333333333,3.349791038258954
"{""discount_factor"": 0.6, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",2.3638190000001487,100,2.770666666666667,5.733333333333333,-1.0,5.733333333333333,3.3423387686535375
"{""discount_factor"": 0.7, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",2.3648639999998977,100,2.2319999999999998,-1.0,-1.0,5.733333333333333,3.3639722551372704
"{""discount_factor"": 0.8, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",2.4021390000000338,100,2.3666666666666663,2.3666666666666667,-1.0,5.733333333333333,3.3666666666666667
"{""discount_factor"": 0.9, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",2.295564000000013,100,2.4339999999999997,5.733333333333333,-1.0,5.733333333333333,3.3659932659865297
"{""discount_factor"": 0.0, ""epsilon"": 0.3, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",24.099004999999806,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""discount_factor"": 0.1, ""epsilon"": 0.3, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",3.1189829999998437,100,2.2993333333333332,-1.0,-1.0,5.733333333333333,3.3659932659865297
"{""discount_factor"": 0.2, ""epsilon"": 0.3, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",2.769831999999951,100,2.4339999999999997,5.733333333333333,-1.0,5.733333333333333,3.3659932659865297
"{""discount_factor"": 0.3, ""epsilon"": 0.3, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",2.6143590000001495,100,2.3666666666666663,2.3666666666666667,-1.0,5.733333333333333,3.3666666666666667
"{""discount_factor"": 0.4, ""epsilon"": 0.3, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",2.615937000000031,100,2.3666666666666663,2.3666666666666667,-1.0,5.733333333333333,3.3666666666666667
"{""discount_factor"": 0.5, ""epsilon"": 0.3, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",2.5529280000000654,100,2.0973333333333333,-1.0,-1.0,5.733333333333333,3.355876040618902
"{""discount_factor"": 0.6, ""epsilon"": 0.3, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",2.462312000000111,100,2.2993333333333332,-1.0,-1.0,5.733333333333333,3.3659932659865297
"{""discount_factor"": 0.7, ""epsilon"": 0.3, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",2.452634999999873,100,2.501333333333333,5.733333333333333,-1.0,5.733333333333333,3.3639722551372704
"{""discount_factor"": 0.8, ""epsilon"": 0.3, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",2.4718639999998686,100,2.3666666666666667,2.3666666666666667,-1.0,5.733333333333333,3.3666666666666667
"{""discount_factor"": 0.9, ""epsilon"": 0.3, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",2.4823770000000422,100,2.7033333333333336,5.733333333333333,-1.0,5.733333333333333,3.349791038258954
"{""discount_factor"": 0.0, ""epsilon"": 0.5, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",24.0917179999999,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""discount_factor"": 0.1, ""epsilon"": 0.5, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",3.0806729999999334,100,2.636,5.733333333333333,-1.0,5.733333333333333,3.355876040618902
"{""discount_factor"": 0.2, ""epsilon"": 0.5, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",2.879882999999836,100,1.6259999999999997,-1.0,-1.0,5.733333333333333,3.2841829019306052
"{""discount_factor"": 0.3, ""epsilon"": 0.5, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",2.391634999999951,100,5.384784313725491,5.733333333333333,4.9411764705882355,5.733333333333333,0.39321632572394555
"{""discount_factor"": 0.4, ""epsilon"": 0.5, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",2.384021999999959,100,5.289725490196079,4.9411764705882355,4.9411764705882355,5.733333333333333,0.39321632572394555
"{""discount_factor"": 0.5, ""epsilon"": 0.5, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",2.68434000000002,100,1.9626666666666666,-1.0,-1.0,5.733333333333333,3.342338768653538
"{""discount_factor"": 0.6, ""epsilon"": 0.5, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",2.63971800000013,100,1.693333333333333,-1.0,-1.0,5.733333333333333,3.2986461869480133
"{""discount_factor"": 0.7, ""epsilon"": 0.5, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",2.2917520000000877,100,5.281803921568627,4.9411764705882355,4.9411764705882355,5.733333333333333,0.39217765435078983
"{""discount_factor"": 0.8, ""epsilon"": 0.5, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",2.5872450000001663,100,2.2993333333333332,-1.0,-1.0,5.733333333333333,3.36599326598653
"{""discount_factor"": 0.9, ""epsilon"": 0.5, ""alpha"": 0.1, ""q_init"": 0, ""epsilon_decay"": 0.0001}",2.5782960000001367,100,2.5686666666666667,5.733333333333333,-1.0,5.733333333333333,3.3606012028273224
"{""discount_factor"": 0.0, ""epsilon"": 0.1, ""alpha"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",6.105534999999918,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""discount_factor"": 0.1, ""epsilon"": 0.1, ""alpha"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.361562000000049,100,1.8953333333333333,-1.0,-1.0,5.733333333333333,3.3335100619817144
"{""discount_factor"": 0.2, ""epsilon"": 0.1, ""alpha"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.282045000000153,100,2.1646666666666663,-1.0,-1.0,5.733333333333333,3.3606012028273224
"{""discount_factor"": 0.3, ""epsilon"": 0.1, ""alpha"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.2930770000000393,100,2.0973333333333333,-1.0,-1.0,5.733333333333333,3.355876040618902
"{""discount_factor"": 0.4, ""epsilon"": 0.1, ""alpha"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.174530999999888,100,2.770666666666667,5.733333333333333,-1.0,5.733333333333333,3.3423387686535375
"{""discount_factor"": 0.5, ""epsilon"": 0.1, ""alpha"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.3747280000000046,100,1.4913333333333332,-1.0,-1.0,5.733333333333333,3.2508823417650787
"{""discount_factor"": 0.6, ""epsilon"": 0.1, ""alpha"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.29954100000009,100,2.4339999999999997,5.733333333333333,-1.0,5.733333333333333,3.36599326598653
"{""discount_factor"": 0.7, ""epsilon"": 0.1, ""alpha"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.235403000000133,100,2.1646666666666663,-1.0,-1.0,5.733333333333333,3.3606012028273224
"{""discount_factor"": 0.8, ""epsilon"": 0.1, ""alpha"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.2265489999999772,100,1.8953333333333333,-1.0,-1.0,5.733333333333333,3.3335100619817144
"{""discount_factor"": 0.9, ""epsilon"": 0.1, ""alpha"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.2692040000001725,100,1.7606666666666664,-1.0,-1.0,5.733333333333333,3.3116775876350713
"{""discount_factor"": 0.0, ""epsilon"": 0.3, ""alpha"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",5.971148000000085,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""discount_factor"": 0.1, ""epsilon"": 0.3, ""alpha"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.182078000000047,100,5.234274509803922,4.9411764705882355,4.9411764705882355,5.733333333333333,0.3824567460900091
"{""discount_factor"": 0.2, ""epsilon"": 0.3, ""alpha"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.0970250000000306,100,5.265960784313726,4.9411764705882355,4.9411764705882355,5.733333333333333,0.38960912795706715
"{""discount_factor"": 0.3, ""epsilon"": 0.3, ""alpha"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.379955000000109,100,2.2993333333333332,-1.0,-1.0,5.733333333333333,3.36599326598653
"{""discount_factor"": 0.4, ""epsilon"": 0.3, ""alpha"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.362920999999915,100,2.636,5.733333333333333,-1.0,5.733333333333333,3.3558760406189014
"{""discount_factor"": 0.5, ""epsilon"": 0.3, ""alpha"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.4112230000000636,100,1.9626666666666666,-1.0,-1.0,5.733333333333333,3.342338768653538
"{""discount_factor"": 0.6, ""epsilon"": 0.3, ""alpha"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.32382100000018,100,2.770666666666667,5.733333333333333,-1.0,5.733333333333333,3.3423387686535375
"{""discount_factor"": 0.7, ""epsilon"": 0.3, ""alpha"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.4440020000001823,100,1.9626666666666666,-1.0,-1.0,5.733333333333333,3.3423387686535384
"{""discount_factor"": 0.8, ""epsilon"": 0.3, ""alpha"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.413285000000087,100,2.03,-1.0,-1.0,5.733333333333333,3.349791038258954
"{""discount_factor"": 0.9, ""epsilon"": 0.3, ""alpha"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.3712940000000344,100,2.636,5.733333333333333,-1.0,5.733333333333333,3.3558760406189014
"{""discount_factor"": 0.0, ""epsilon"": 0.5, ""alpha"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",6.037724000000026,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""discount_factor"": 0.1, ""epsilon"": 0.5, ""alpha"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.499657999999954,100,2.636,5.733333333333333,-1.0,5.733333333333333,3.3558760406189014
"{""discount_factor"": 0.2, ""epsilon"": 0.5, ""alpha"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.3070999999999913,100,5.321411764705882,4.9411764705882355,4.9411764705882355,5.733333333333333,0.3957614417808553
"{""discount_factor"": 0.3, ""epsilon"": 0.5, ""alpha"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.227773999999954,100,5.321411764705885,4.9411764705882355,4.9411764705882355,5.733333333333333,0.39576144178085526
"{""discount_factor"": 0.4, ""epsilon"": 0.5, ""alpha"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.512024999999994,100,2.3666666666666663,2.3666666666666667,-1.0,5.733333333333333,3.3666666666666667
"{""discount_factor"": 0.5, ""epsilon"": 0.5, ""alpha"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.219376999999895,100,5.321411764705883,4.9411764705882355,4.9411764705882355,5.733333333333333,0.3957614417808552
"{""discount_factor"": 0.6, ""epsilon"": 0.5, ""alpha"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.1965869999999086,100,5.321411764705885,4.9411764705882355,4.9411764705882355,5.733333333333333,0.3957614417808553
"{""discount_factor"": 0.7, ""epsilon"": 0.5, ""alpha"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.5169220000000223,100,2.03,-1.0,-1.0,5.733333333333333,3.349791038258954
"{""discount_factor"": 0.8, ""epsilon"": 0.5, ""alpha"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.621315999999979,100,1.7606666666666666,-1.0,-1.0,5.733333333333333,3.3116775876350713
"{""discount_factor"": 0.9, ""epsilon"": 0.5, ""alpha"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.2509789999999157,100,5.353098039215687,5.733333333333333,4.9411764705882355,5.733333333333333,0.3957614417808553
"{""discount_factor"": 0.0, ""epsilon"": 0.1, ""alpha"": 0.5, ""q_init"": 0, ""epsilon_decay"": 0.0001}",24.29126199999996,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""discount_factor"": 0.1, ""epsilon"": 0.1, ""alpha"": 0.5, ""q_init"": 0, ""epsilon_decay"": 0.0001}",2.3733420000000933,100,1.7606666666666666,-1.0,-1.0,5.733333333333333,3.3116775876350713
