episode,length,time,reward,delta
0,500.0,0.02278400000000147,-1788.0,-0.5731460652499423
1,500.0,0.022762000000057014,-1194.0,-0.06990810389200375
2,500.0,0.022845999999844935,-1194.0,-0.5064356556048681
3,500.0,0.022791000000097483,-1392.0,-0.23339822744682803
4,500.0,0.022756000000072163,-1491.0,-0.09456666329695596
5,500.0,0.02275199999985489,-1392.0,-0.09076591323636629
6,500.0,0.022795999999971173,-1887.0,-6.68600548259235e-08
7,500.0,0.022807999999940876,-1194.0,-0.051998644892448764
8,131.0,0.005971000000045024,-229.0,99.9993293825236
9,425.0,0.019253999999818916,-1315.0,89.99939644427124
10,500.0,0.022602999999890017,-1392.0,-0.8099612977358095
11,126.0,0.005747999999812237,-125.0,80.99945679984413
12,500.0,0.022658000000092215,-1392.0,-0.004611696551846345
13,83.0,0.0037999999999556167,-82.0,72.89951111985971
14,87.0,0.003987000000051921,-185.0,65.60956000787374
15,404.0,0.01829500000008011,-898.0,59.048604007086354
16,246.0,0.011122999999997774,-542.0,53.14374360637772
17,500.0,0.022619000000076994,-1491.0,-0.007989647412307121
18,32.0,0.00150700000017423,68.0,47.82936924573995
19,185.0,0.008348999999952866,-382.0,43.04643232116595
20,107.0,0.0048710000000937725,-205.0,38.741789089049355
21,107.0,0.00485900000012407,-205.0,34.867610180144425
22,248.0,0.011151000000154454,-445.0,31.380849162129977
23,23.0,0.0010839999999916472,77.0,28.242764245916973
24,43.0,0.00197400000001835,57.0,25.41848782132527
25,364.0,0.016358999999965818,-759.0,22.87663903919274
26,30.0,0.0013939999998910935,70.0,20.588975135273458
27,112.0,0.00505099999986669,-111.0,18.530077621746116
28,76.0,0.00345500000003085,-75.0,16.677069859571503
29,33.0,0.001523000000133834,67.0,15.00936287361435
30,118.0,0.0053310000000692526,-117.0,13.50842658625291
31,112.0,0.0050710000000435684,-111.0,12.157583927627613
32,57.0,0.002600999999913256,-56.0,10.941825534864847
33,30.0,0.001410000000078071,70.0,9.847642981378357
34,27.0,0.0012560000000121363,73.0,8.862878683240524
35,151.0,0.006791000000021086,-249.0,7.976590814916477
36,44.0,0.002011999999922409,56.0,7.178931733424832
37,31.0,0.0014510000000882428,69.0,6.4610385600823435
38,211.0,0.009521000000177082,-210.0,5.814934704074105
39,24.0,0.001150000000052387,76.0,5.233441233666696
40,92.0,0.004169999999930951,-190.0,4.710097110300026
41,25.0,0.0011719999999968422,75.0,4.239087399270019
42,23.0,0.0010749999999006832,77.0,3.815178659343019
43,53.0,0.0024109999999382126,47.0,3.4336607934087198
44,19.0,0.0008980000000065047,81.0,3.090294714067852
45,19.0,0.0009139999999661086,81.0,2.781265242661064
46,65.0,0.0029640000000199507,-64.0,2.5031387183949647
47,44.0,0.0020389999999679276,-43.0,2.2528248465554697
48,97.0,0.0043849999999565625,-96.0,2.0275423618999184
49,17.0,0.0008130000001074222,83.0,1.8247881257099294
50,14.0,0.0006860000000870059,86.0,1.642309313138938
51,45.0,0.0020610000001397566,-44.0,1.4780783818250427
52,46.0,0.0021379999998316634,54.0,1.3302705436425413
53,35.0,0.001623000000108732,65.0,1.1972434892782928
54,15.0,0.0007259999999860156,85.0,1.0775191403504607
55,16.0,0.0007689999999911379,84.0,0.9697672263154118
56,68.0,0.003108000000111133,-67.0,0.8727905036838735
57,15.0,0.0007239999999910651,85.0,0.7855114533154932
58,18.0,0.0008659999998599233,82.0,0.7069603079839482
59,38.0,0.0017560000001139997,62.0,0.6362642771855604
60,26.0,0.0012150000000019645,74.0,0.5726378494670001
61,22.0,0.0010360000001128356,78.0,0.5153740645203015
62,25.0,0.0011650000001282024,75.0,0.46383665806827423
63,25.0,0.0011759999999867432,75.0,0.4174529922614454
64,21.0,0.0009969999998702406,79.0,0.37570769303529516
65,21.0,0.0010059999999612046,79.0,0.33813692373176707
66,37.0,0.0017219999999724678,63.0,0.3043232313585946
67,14.0,0.0006849999999758438,86.0,0.2738909082227394
68,19.0,0.0009079999999812571,81.0,0.24650181740047117
69,21.0,0.0009990000000925647,79.0,0.22185163566042831
70,19.0,0.0009029999998801941,81.0,0.1996664720943926
71,32.0,0.0014830000000074506,68.0,0.17969982488494907
72,21.0,0.0009930000001077133,79.0,0.16172984239645416
73,15.0,0.000726999999869804,85.0,0.14555685815680874
74,14.0,0.0006809999999859428,86.0,0.1310011723411293
75,28.0,0.001318000000082975,72.0,0.1179010551070121
76,18.0,0.0008589999999912834,82.0,0.10611094959631373
77,17.0,0.0008230000000821747,83.0,0.0954998546366852
78,20.0,0.0009479999998802668,80.0,0.08594986917302094
79,22.0,0.0010529999999562278,78.0,0.07735488225571885
80,47.0,0.0021639999999933934,-46.0,0.06961939403014128
81,21.0,0.00099499999987529,-20.0,0.06265745462712857
82,17.0,0.0008170000000973232,83.0,0.056391709164415715
83,15.0,0.0007270000000971777,85.0,0.050752538247976986
84,19.0,0.0009150000000772707,81.0,0.045677284423177866
85,20.0,0.0009469999999964784,80.0,0.041109555980867185
86,20.0,0.0009479999998802668,80.0,0.03699860038277336
87,16.0,0.0007720000000972504,84.0,0.03329874034449176
88,20.0,0.0009649999999510328,80.0,0.029968866310042586
89,22.0,0.0010469999999713764,78.0,0.026971979679032643
90,17.0,0.0008179999999811116,83.0,0.024274781711127957
91,18.0,0.0008629999999811844,82.0,0.02184730354001374
92,17.0,0.0008119999999962602,83.0,0.019662573186010945
93,16.0,0.0007630000000062864,84.0,0.017696315867411272
94,24.0,0.0011139999999159045,76.0,0.015926684280671566
95,17.0,0.0008270000000720756,83.0,0.014334015852611515
96,16.0,0.0007680000001073495,84.0,0.012900614267351784
97,20.0,0.000945000000001528,80.0,0.01161055284062229
98,15.0,0.0007209999998849526,85.0,0.010449497556564324
99,30.0,0.001402000000098269,-29.0,0.009404547800912155
100,17.0,0.0008110000001124718,83.0,0.008464093020819519
101,18.0,0.0008550000000013824,82.0,0.007617683718734725
102,18.0,0.0008589999999912834,82.0,0.006855915346861252
103,18.0,0.0008559999998851708,82.0,0.006170323812170864
104,17.0,0.0008090000001175213,83.0,0.0055532914309566195
105,16.0,0.0007659999998850253,84.0,0.0049979622878595364
106,21.0,0.001002999999855092,79.0,0.004498166059079267
107,19.0,0.0009029999998801941,81.0,0.00404834945317134
108,16.0,0.0007669999999961874,84.0,0.0036435145078570486
109,22.0,0.001029000000016822,78.0,0.003279163057072765
110,15.0,0.000722999999879903,85.0,0.0029512467513654883
111,16.0,0.0007689999999911379,84.0,0.0026561220762317816
112,17.0,0.0008119999999962602,83.0,0.0023905098686043402
113,16.0,0.0007659999998850253,84.0,0.002151458881741064
114,14.0,0.0006879999998545827,86.0,0.0019363129935641155
115,19.0,0.0009039999999913562,81.0,0.001742681694210546
116,15.0,0.0007239999999910651,85.0,0.0015684135247937547
117,26.0,0.001207999999905951,74.0,0.0014115721723158003
118,14.0,0.0006919999998444837,86.0,0.0012704149550870625
119,14.0,0.0006769999999960419,86.0,0.0011433734595840406
120,14.0,0.0006739999998899293,86.0,0.0010290361136213733
