step,reward,mean,median,std,max,min
0,5.733333333333333,5.733333333333333,5.733333333333333,0.0,5.733333333333333,5.733333333333333
1,-1.0,2.3666666666666667,2.3666666666666667,3.3666666666666667,5.733333333333333,-1.0
2,5.733333333333333,3.488888888888889,5.733333333333333,3.17412377332628,5.733333333333333,-1.0
3,5.733333333333333,4.05,5.733333333333333,2.91561885940761,5.733333333333333,-1.0
4,5.733333333333333,4.386666666666667,5.733333333333333,2.6933333333333334,5.733333333333333,-1.0
5,5.733333333333333,4.611111111111112,5.733333333333333,2.509365174749764,5.733333333333333,-1.0
6,5.733333333333333,4.771428571428571,5.733333333333333,2.3561758478200097,5.733333333333333,-1.0
7,5.733333333333333,4.891666666666667,5.733333333333333,2.226840686812697,5.733333333333333,-1.0
8,5.733333333333333,4.985185185185185,5.733333333333333,2.116082515550853,5.733333333333333,-1.0
9,-1.0,4.386666666666667,5.733333333333333,2.6933333333333334,5.733333333333333,-1.0
10,5.733333333333333,4.509090909090909,5.733333333333333,2.597010359994229,5.733333333333333,-1.0
11,5.733333333333333,4.611111111111112,5.733333333333333,2.5093651747497643,5.733333333333333,-1.0
12,5.733333333333333,4.697435897435898,5.733333333333333,2.4293948294470074,5.733333333333333,-1.0
13,5.733333333333333,4.771428571428571,5.733333333333333,2.3561758478200097,5.733333333333333,-1.0
14,-1.0,4.386666666666667,5.733333333333333,2.6933333333333334,5.733333333333333,-1.0
15,5.733333333333333,4.470833333333333,5.733333333333333,2.6281033243259926,5.733333333333333,-1.0
16,5.733333333333333,4.545098039215686,5.733333333333333,2.5668816099576235,5.733333333333333,-1.0
17,5.733333333333333,4.611111111111111,5.733333333333333,2.509365174749764,5.733333333333333,-1.0
18,-1.0,4.315789473684211,5.733333333333333,2.745061880469818,5.733333333333333,-1.0
19,5.733333333333333,4.386666666666667,5.733333333333333,2.6933333333333334,5.733333333333333,-1.0
20,-1.0,4.130158730158731,5.733333333333333,2.8678459139997305,5.733333333333333,-1.0
21,5.733333333333333,4.203030303030303,5.733333333333333,2.8217393642017625,5.733333333333333,-1.0
22,-1.0,3.9768115942028985,5.733333333333333,2.956666663114695,5.733333333333333,-1.0
23,-1.0,3.769444444444444,5.733333333333333,3.060499787717242,5.733333333333333,-1.0
24,5.733333333333333,3.8479999999999994,5.733333333333333,3.0232591685133445,5.733333333333333,-1.0
25,5.733333333333333,3.92051282051282,5.733333333333333,2.9866380052865393,5.733333333333333,-1.0
26,-1.0,3.738271604938271,5.733333333333333,3.0745966138265017,5.733333333333333,-1.0
27,-1.0,3.569047619047619,5.733333333333333,3.1446342378400574,5.733333333333333,-1.0
28,5.733333333333333,3.64367816091954,5.733333333333333,3.11507401003419,5.733333333333333,-1.0
29,5.733333333333333,3.713333333333333,5.733333333333333,3.0856009679369323,5.733333333333333,-1.0
30,-1.0,3.561290322580645,5.733333333333333,3.14758935777448,5.733333333333333,-1.0
31,-1.0,3.4187499999999997,5.733333333333333,3.198056457313827,5.733333333333333,-1.0
32,5.733333333333333,3.4888888888888885,5.733333333333333,3.17412377332628,5.733333333333333,-1.0
33,5.733333333333333,3.5549019607843135,5.733333333333333,3.1500065603515166,5.733333333333333,-1.0
34,-1.0,3.4247619047619047,5.733333333333333,3.19607241963705,5.733333333333333,-1.0
35,5.733333333333333,3.488888888888889,5.733333333333333,3.17412377332628,5.733333333333333,-1.0
36,5.733333333333333,3.549549549549549,5.733333333333333,3.1520203885487676,5.733333333333333,-1.0
37,-1.0,3.429824561403508,5.733333333333333,3.194391919490026,5.733333333333333,-1.0
38,-1.0,3.3162393162393156,5.733333333333333,3.2299777441381883,5.733333333333333,-1.0
39,5.733333333333333,3.3766666666666665,5.733333333333333,3.211595311437051,5.733333333333333,-1.0
40,5.733333333333333,3.434146341463414,5.733333333333333,3.192950295313141,5.733333333333333,-1.0
41,5.733333333333333,3.488888888888888,5.733333333333333,3.17412377332628,5.733333333333333,-1.0
42,5.733333333333333,3.5410852713178285,5.733333333333333,3.1551838909156564,5.733333333333333,-1.0
43,5.733333333333333,3.5909090909090895,5.733333333333333,3.1361879617027864,5.733333333333333,-1.0
44,5.733333333333333,3.638518518518517,5.733333333333333,3.117184195934764,5.733333333333333,-1.0
45,-1.0,3.537681159420288,5.733333333333333,3.1564488752719275,5.733333333333333,-1.0
46,5.733333333333333,3.5843971631205656,5.733333333333333,3.1387221735047826,5.733333333333333,-1.0
47,-1.0,3.4888888888888885,5.733333333333333,3.17412377332628,5.733333333333333,-1.0
48,5.733333333333333,3.5346938775510197,5.733333333333333,3.1575555227229435,5.733333333333333,-1.0
49,5.733333333333333,3.5786666666666656,5.733333333333333,3.140939420690002,5.733333333333333,-1.0
50,5.733333333333333,3.6209150326797372,5.733333333333333,3.124308800486594,5.733333333333333,-1.0
51,5.733333333333333,3.66153846153846,5.733333333333333,3.1076923076923078,5.733333333333333,-1.0
52,5.733333333333333,3.7006289308176084,5.733333333333333,3.0911145436987177,5.733333333333333,-1.0
53,-1.0,3.6135802469135787,5.733333333333333,3.1272433496356284,5.733333333333333,-1.0
54,5.733333333333333,3.65212121212121,5.733333333333333,3.1115994369479325,5.733333333333333,-1.0
55,5.733333333333333,3.689285714285714,5.733333333333333,3.095985028923707,5.733333333333333,-1.0
56,-1.0,3.6070175438596492,5.733333333333333,3.129852096488114,5.733333333333333,-1.0
57,5.733333333333333,3.64367816091954,5.733333333333333,3.1150740100341903,5.733333333333333,-1.0
58,5.733333333333333,3.6790960451977397,5.733333333333333,3.100318301531794,5.733333333333333,-1.0
59,-1.0,3.6011111111111105,5.733333333333333,3.132186354293865,5.733333333333333,-1.0
60,5.733333333333333,3.636065573770491,5.733333333333333,3.1181839039877133,5.733333333333333,-1.0
61,-1.0,3.5612903225806445,5.733333333333333,3.1475893577744802,5.733333333333333,-1.0
62,5.733333333333333,3.595767195767195,5.733333333333333,3.1342872130373194,5.733333333333333,-1.0
63,5.733333333333333,3.6291666666666664,5.733333333333333,3.1209835299860917,5.733333333333333,-1.0
64,-1.0,3.557948717948718,5.733333333333333,3.1488555887397682,5.733333333333333,-1.0
65,-1.0,3.4888888888888885,5.733333333333333,3.17412377332628,5.733333333333333,-1.0
66,5.733333333333333,3.522388059701492,5.733333333333333,3.162080407915979,5.733333333333333,-1.0
67,5.733333333333333,3.554901960784313,5.733333333333333,3.1500065603515175,5.733333333333333,-1.0
68,-1.0,3.4888888888888885,5.733333333333333,3.17412377332628,5.733333333333333,-1.0
69,5.733333333333333,3.52095238095238,5.733333333333333,3.1626047704764435,5.733333333333333,-1.0
70,5.733333333333333,3.552112676056337,5.733333333333333,3.1510573151351204,5.733333333333333,-1.0
71,-1.0,3.488888888888889,5.733333333333333,3.17412377332628,5.733333333333333,-1.0
72,5.733333333333333,3.5196347031963473,5.733333333333333,3.1630853847446705,5.733333333333333,-1.0
73,5.733333333333333,3.5495495495495497,5.733333333333333,3.152020388548768,5.733333333333333,-1.0
74,-1.0,3.488888888888889,5.733333333333333,3.1741237733262797,5.733333333333333,-1.0
75,-1.0,3.429824561403509,5.733333333333333,3.194391919490026,5.733333333333333,-1.0
76,-1.0,3.3722943722943723,5.733333333333333,3.2129670652091042,5.733333333333333,-1.0
77,-1.0,3.3162393162393164,5.733333333333333,3.2299777441381883,5.733333333333333,-1.0
78,-1.0,3.2616033755274265,5.733333333333333,3.2455404375200625,5.733333333333333,-1.0
79,5.733333333333333,3.2924999999999995,5.733333333333333,3.2368622280432837,5.733333333333333,-1.0
80,5.733333333333333,3.322633744855967,5.733333333333333,3.228090982277708,5.733333333333333,-1.0
81,-1.0,3.269918699186992,5.733333333333333,3.24323607068501,5.733333333333333,-1.0
82,5.733333333333333,3.299598393574297,5.733333333333333,3.234823463092475,5.733333333333333,-1.0
83,-1.0,3.2484126984126984,5.733333333333333,3.249148870080374,5.733333333333333,-1.0
84,5.733333333333333,3.2776470588235296,5.733333333333333,3.2410737679895796,5.733333333333333,-1.0
85,-1.0,3.2279069767441864,5.733333333333333,3.2546443081759366,5.733333333333333,-1.0
86,-1.0,3.1793103448275866,5.733333333333333,3.2671171844287334,5.733333333333333,-1.0
87,5.733333333333333,3.208333333333333,5.733333333333333,3.2597609830579093,5.733333333333333,-1.0
88,-1.0,3.1610486891385765,5.733333333333333,3.2716053623286965,5.733333333333333,-1.0
89,5.733333333333333,3.1896296296296294,5.733333333333333,3.2645331068983916,5.733333333333333,-1.0
90,5.733333333333333,3.2175824175824177,5.733333333333333,3.2573588732726284,5.733333333333333,-1.0
91,-1.0,3.1717391304347826,5.733333333333333,3.268991093980952,5.733333333333333,-1.0
92,5.733333333333333,3.199283154121864,5.733333333333333,3.262084338158996,5.733333333333333,-1.0
93,5.733333333333333,3.2262411347517737,5.733333333333333,3.255084665298378,5.733333333333333,-1.0
94,5.733333333333333,3.252631578947369,5.733333333333333,3.248001018880981,5.733333333333333,-1.0
95,5.733333333333333,3.2784722222222222,5.733333333333333,3.2408417229637223,5.733333333333333,-1.0
96,5.733333333333333,3.3037800687285226,5.733333333333333,3.2336145280661546,5.733333333333333,-1.0
97,5.733333333333333,3.328571428571429,5.733333333333333,3.2263266532496964,5.733333333333333,-1.0
98,-1.0,3.284848484848485,5.733333333333333,3.2390409990002866,5.733333333333333,-1.0
99,5.733333333333333,3.309333333333334,5.733333333333333,3.232,5.733333333333333,-1.0
