episode,length,time,reward,delta
0,500.0,0.02278300000011768,-3075.0,-1.153279636425621
1,500.0,0.022625000000061846,-2184.0,-0.5820987798918172
2,500.0,0.022582999999940512,-2283.0,-0.4879237308541444
3,500.0,0.022584000000051674,-3174.0,-0.11482642003880184
4,500.0,0.022644000000127562,-2976.0,-0.5546245263651719
5,500.0,0.022548000000142565,-3471.0,-0.22581421370137056
6,62.0,0.002853000000186512,38.0,100.000255383847
7,500.0,0.022563999999874795,-2976.0,-0.37887279550117303
8,243.0,0.010963000000174361,-737.0,90.0002298454623
9,500.0,0.022482000000081825,-2778.0,-0.14696324819735684
10,41.0,0.0019119999999475112,59.0,81.00020686091608
11,216.0,0.010021000000051572,-1007.0,72.90018617482446
12,34.0,0.0017170000000987784,66.0,65.61016755734201
13,78.0,0.0038580000000365544,-374.0,59.049150801607816
14,145.0,0.006710999999995693,-342.0,53.14423572144703
15,315.0,0.015353999999888401,-1700.0,47.82981214930233
16,81.0,0.003983999999945809,-179.0,43.046830934372096
17,139.0,0.006311000000096101,-732.0,38.742147840934884
18,37.0,0.0017259999999623687,-36.0,34.867933056841395
19,118.0,0.005377999999836902,-513.0,31.38113975115725
20,122.0,0.005542000000104963,-715.0,28.24302577604152
21,25.0,0.001215999999885753,75.0,25.418723198437362
22,68.0,0.0031100000001060835,-67.0,22.87685087859363
23,20.0,0.0009709999999358843,80.0,20.58916579073427
24,174.0,0.007884999999987485,-569.0,18.530249211660845
25,61.0,0.0027880000000095606,-159.0,16.677224290494763
26,62.0,0.0028359999998883723,-61.0,15.009501861445287
27,18.0,0.0008589999999912834,82.0,13.508551675300765
28,19.0,0.0009059999999863066,81.0,12.157696507770694
29,72.0,0.0032600000001821172,-170.0,10.941926856993632
30,74.0,0.003359000000045853,-73.0,9.847734171294263
31,59.0,0.00271799999995892,-157.0,8.862960754164831
32,21.0,0.0009959999999864522,79.0,7.9766646787483495
33,35.0,0.001628000000209795,-34.0,7.178998210873516
34,43.0,0.0019720000000233995,-141.0,6.461098389786159
35,158.0,0.007097999999814419,-652.0,5.814988550807541
36,19.0,0.0009000000000014552,81.0,5.233489695726789
37,127.0,0.005707999999913227,-621.0,4.710140726154108
38,58.0,0.002651000000014392,-57.0,4.239126653538705
39,24.0,0.0011379999998553103,76.0,3.815213988184837
40,23.0,0.001113000000032116,77.0,3.433692589366359
41,38.0,0.0017730000001847657,-37.0,3.090323330429726
42,50.0,0.002301000000215936,-148.0,2.7812909973867477
43,22.0,0.0010429999999814754,-21.0,2.50316189764807
44,37.0,0.0017119999999977153,-36.0,2.2528457078832673
45,86.0,0.003889999999955762,-481.0,2.027561137094935
46,73.0,0.003315999999813357,-171.0,1.8248050233854372
47,22.0,0.0010419999998703133,78.0,1.6423245210468878
48,46.0,0.0021180000001095323,-144.0,1.4780920689422032
49,22.0,0.001033000000006723,78.0,1.33028286204798
50,35.0,0.0016169999998965068,-34.0,1.197254575843175
51,18.0,0.0008629999999811844,82.0,1.0775291182588518
52,57.0,0.002611000000115382,-353.0,0.969776206432968
53,34.0,0.0015729999997802224,66.0,0.872798585789667
54,19.0,0.0009010000001126173,81.0,0.7855187272107003
55,25.0,0.0011700000000018917,75.0,0.7069668544896359
56,70.0,0.0031599999999798456,-267.0,0.6362701690406709
57,18.0,0.0008559999998851708,82.0,0.5726431521366067
58,19.0,0.0009039999999913562,81.0,0.5153788369229488
59,19.0,0.0009050000001025182,81.0,0.4638409532306582
60,17.0,0.0008290000000670261,-16.0,0.41745685790759524
61,18.0,0.0008569999999963329,82.0,0.37571117211683713
62,17.0,0.0008129999998800486,83.0,0.3381400549051534
63,23.0,0.0010769999998956337,77.0,0.3043260494146409
64,20.0,0.0009489999999914289,80.0,0.273893444473174
65,47.0,0.0021679999999832944,-145.0,0.24650410002585943
66,19.0,0.000906999999870095,81.0,0.22185369002326638
67,15.0,0.0007270000000971777,-14.0,0.1996683210209369
68,38.0,0.0017550000000028376,-37.0,0.17970148891883753
69,16.0,0.0007650000000012369,84.0,0.16173134002696088
70,40.0,0.0018659999998362764,-138.0,0.14555820602426195
71,43.0,0.0019760000000133005,-141.0,0.13100238542183718
72,14.0,0.0006829999999808933,86.0,0.11790214687965772
73,15.0,0.0007259999999860156,85.0,0.10611193219169479
74,27.0,0.0012609999998858257,-26.0,0.09550073897253242
75,19.0,0.000906999999870095,-18.0,0.08595066507527349
76,88.0,0.003989000000046872,-483.0,0.07735559856774898
77,31.0,0.0014330000001336884,-30.0,0.06962003871097977
78,17.0,0.0008120000002236338,83.0,0.06265803483988464
79,42.0,0.0019350000000031287,-140.0,0.056392231355900435
80,14.0,0.0006779999998798303,86.0,0.05075300822031181
81,42.0,0.001926999999795953,-41.0,0.045677707398283474
82,27.0,0.0012569999998959247,-125.0,0.04110993665845797
83,18.0,0.0008569999999963329,82.0,0.03699894299261075
84,19.0,0.0009010000001126173,81.0,0.033299048693351097
85,20.0,0.0009519999998701678,80.0,0.02996914382401883
86,14.0,0.0006789999999909924,86.0,0.026972229441611262
87,18.0,0.0008689999999660358,82.0,0.024275006497447293
88,53.0,0.002428999999892767,-250.0,0.021847505847702564
89,16.0,0.0007729999999810389,84.0,0.019662755262928044
90,16.0,0.0007749999999759893,84.0,0.017696479736628135
91,25.0,0.0011870000000726577,75.0,0.015926831762968163
92,20.0,0.0009559999998600688,-19.0,0.014334148586669926
93,35.0,0.0016279999999824213,-34.0,0.012900733728002933
94,24.0,0.001132999999981621,76.0,0.01161066035520264
95,18.0,0.0008589999999912834,-17.0,0.010449594319680955
96,55.0,0.00250200000004952,-252.0,0.009404634887715702
97,44.0,0.0020230000000083237,-340.0,0.00846417139894129
98,16.0,0.0007680000001073495,84.0,0.007617754259044318
99,20.0,0.0009469999999964784,80.0,0.00685597883314415
100,14.0,0.0006789999999909924,86.0,0.006170380949825471
101,19.0,0.0009050000001025182,81.0,0.005553342854838661
