step,reward,mean,median,std,max,min
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.038461538461538464,0.0038461538461538464,0.0,0.011538461538461539,0.038461538461538464,0.0
10,0.0,0.0034965034965034965,0.0,0.011056914895693635,0.038461538461538464,0.0
11,0.0,0.0032051282051282055,0.0,0.010630207661395512,0.038461538461538464,0.0
12,0.0,0.002958579881656805,0.0,0.010248821346561405,0.038461538461538464,0.0
13,0.0,0.0027472527472527475,0.0,0.009905360646879094,0.038461538461538464,0.0
14,0.0,0.002564102564102564,0.0,0.009593993299420366,0.038461538461538464,0.0
15,0.0,0.002403846153846154,0.0,0.009310056120690908,0.038461538461538464,0.0
16,0.0,0.0022624434389140274,0.0,0.009049773755656111,0.038461538461538464,0.0
17,0.0,0.002136752136752137,0.0,0.008810054755593292,0.038461538461538464,0.0
18,0.0,0.0020242914979757085,0.0,0.008588341471901389,0.038461538461538464,0.0
19,0.0,0.0019230769230769232,0.0,0.00838249796834745,0.038461538461538464,0.0
20,0.0,0.0018315018315018315,0.0,0.008190725192306922,0.038461538461538464,0.0
21,0.0,0.0017482517482517483,0.0,0.00801149597020252,0.038461538461538464,0.0
22,0.0,0.0016722408026755855,0.0,0.007843504615089347,0.038461538461538464,0.0
23,0.0,0.0016025641025641027,0.0,0.007685627441206281,0.038461538461538464,0.0
24,0.0,0.0015384615384615385,0.0,0.007536891516255933,0.038461538461538464,0.0
25,0.0,0.0014792899408284025,0.0,0.007396449704142012,0.038461538461538464,0.0
26,0.0,0.0014245014245014246,0.0,0.007263560560673483,0.038461538461538464,0.0
27,0.0,0.0013736263736263737,0.0,0.007137572009212405,0.038461538461538464,0.0
28,0.0,0.0013262599469496023,0.0,0.007017907986908727,0.038461538461538464,0.0
29,0.0,0.001282051282051282,0.0,0.006904057445044236,0.038461538461538464,0.0
30,0.0,0.0012406947890818859,0.0,0.006795565229592635,0.038461538461538464,0.0
31,0.0,0.001201923076923077,0.0,0.006692024474555316,0.038461538461538464,0.0
32,0.013513513513513514,0.0015750015750015751,0.0,0.006919546752512526,0.038461538461538464,0.0
33,0.0,0.0015286779992662346,0.0,0.006822221196517723,0.038461538461538464,0.0
34,0.0,0.001485001485001485,0.0,0.0067288758537734404,0.038461538461538464,0.0
35,0.0,0.0014437514437514439,0.0,0.006639247639731054,0.038461538461538464,0.0
36,0.0,0.0014047311344608643,0.0,0.006553097090325776,0.038461538461538464,0.0
37,0.0,0.0013677645256592625,0.0,0.006470205715426314,0.038461538461538464,0.0
38,0.0,0.001332693640385948,0.0,0.006390373704176991,0.038461538461538464,0.0
39,0.0,0.0012993762993762994,0.0,0.006313417928533405,0.038461538461538464,0.0
40,0.0,0.0012676841945134629,0.0,0.006239170200475431,0.038461538461538464,0.0
41,0.058823529411764705,0.0026380614615908733,0.0,0.010723604508179453,0.058823529411764705,0.0
42,0.0,0.0025767111950422486,0.0,0.01060563327244322,0.058823529411764705,0.0
43,0.0,0.0025181495769731064,0.0,0.010491452364919641,0.058823529411764705,0.0
44,0.0,0.002462190697484815,0.0,0.010380864194789617,0.058823529411764705,0.0
45,0.0,0.0024086648127568844,0.0,0.01027368520782402,0.058823529411764705,0.0
46,0.0,0.002357416625251419,0.0,0.010169744638888544,0.058823529411764705,0.0
47,0.0,0.002308303778892014,0.0,0.01006888339623408,0.058823529411764705,0.0
48,0.0,0.002261195538506463,0.0,0.009970953061585118,0.058823529411764705,0.0
49,0.0,0.0022159716277363336,0.0,0.009875814992210456,0.058823529411764705,0.0
50,0.0,0.0021725212036630723,0.0,0.00978333951300845,0.058823529411764705,0.0
51,0.0,0.002130741949746475,0.0,0.00969340518821527,0.058823529411764705,0.0
52,0.0,0.0020905392714493714,0.0,0.009605898163692306,0.058823529411764705,0.0
53,0.0,0.002051825581237346,0.0,0.009520711571903902,0.058823529411764705,0.0
54,0.03125,0.0025827014797603037,0.0,0.01020855792453253,0.058823529411764705,0.0
55,0.0,0.0025365818104788698,0.0,0.010122779521080639,0.058823529411764705,0.0
56,0.0,0.0024920803752073103,0.0,0.010039115270626627,0.058823529411764705,0.0
57,0.0,0.002449113472186495,0.0,0.009957480298910991,0.058823529411764705,0.0
58,0.0,0.0024076030743528255,0.0,0.00987779439073345,0.058823529411764705,0.0
59,0.0,0.0023674763564469447,0.0,0.0097999816690857,0.058823529411764705,0.0
60,0.0,0.0023286652686363395,0.0,0.009723970300605494,0.058823529411764705,0.0
61,0.0,0.0022911061514002693,0.0,0.009649692224869682,0.058823529411764705,0.0
