params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",1.1280639999999948,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.1, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.0059849999999955,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.2, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.0046920000000057,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.3, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",1.858193,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.4, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",1.8644749999999988,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.5, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",1.907634999999999,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.6, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",1.8108650000000068,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.7, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",1.9371810000000096,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.8, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",1.8000589999999903,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.9, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",1.8671800000000047,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.0, ""epsilon"": 0.3, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",1.1649010000000004,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.1, ""epsilon"": 0.3, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",1.1137389999999954,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.2, ""epsilon"": 0.3, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",1.9668010000000038,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.3, ""epsilon"": 0.3, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",1.9732640000000004,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.4, ""epsilon"": 0.3, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",1.8525610000000086,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.5, ""epsilon"": 0.3, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",1.8437530000000066,100,0.0001923076923076923,0.0,0.0,0.019230769230769232,0.0019134373790511924
"{""discount_factor"": 0.6, ""epsilon"": 0.3, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",1.8894030000000015,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.7, ""epsilon"": 0.3, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",1.8420270000000016,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.8, ""epsilon"": 0.3, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",1.9903269999999935,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.9, ""epsilon"": 0.3, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",1.8050290000000047,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.0, ""epsilon"": 0.5, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",1.1918860000000109,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.1, ""epsilon"": 0.5, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",1.138659000000004,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.2, ""epsilon"": 0.5, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",1.9570690000000184,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.3, ""epsilon"": 0.5, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",1.8936290000000042,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.4, ""epsilon"": 0.5, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.0039739999999995,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.5, ""epsilon"": 0.5, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",1.885407000000015,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.6, ""epsilon"": 0.5, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",1.8547140000000013,100,0.0004,0.0,0.0,0.04,0.003979949748426479
"{""discount_factor"": 0.7, ""epsilon"": 0.5, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",1.930638000000016,100,0.0,0.0,0.0,0.0,0.0
