steps,time,reward,delta,converged
1,0.0006210000000024252,0.6666666666666666,0.3333333333333333,False
2,0.0005949999999970146,0.96,0.08000000000000002,False
3,0.0005859999999984211,1.1088,0.032000000000000015,False
4,0.0005679999999941288,1.181952,0.012800000000000006,False
5,0.0005719999999982406,1.2186692266666665,0.0050133333333333314,False
6,0.0005739999999931911,1.2373511167999998,0.0023466666666666636,False
7,0.0005799999999993588,1.2468604791466664,0.001050043733333339,False
8,0.0005870000000030018,1.2517369763703465,0.0004797849600000001,False
9,0.0005730000000028213,1.2542597920260095,0.00022753307306666755,False
10,0.0005690000000058149,1.2555738756515975,0.00010453750033066582,False
11,0.0005850000000009459,1.2562615974357332,5.13835466751998e-05,False
12,0.0005640000000042278,1.256622173104068,2.439541328008504e-05,False
13,0.0005680000000012342,1.2568111257593388,1.375516666538663e-05,False
14,0.0005659999999991783,1.2569099216811297,7.871771264942001e-06,True
