params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",2.2500149999999977,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.1}",2.2849079999999944,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.2}",2.2559870000000046,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.3}",2.306106000000007,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.4}",2.2625460000000004,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.5}",2.327703999999997,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.6}",2.313606000000007,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.7}",2.380884999999992,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.8}",2.391204000000002,100,0.0001526188037056386,0.0,0.0,0.004347826086956522,0.0007539351061031203
"{""discount_factor"": 0.9}",2.488861,100,0.0009320531027717247,0.0,0.0,0.008,0.0020893842137444884
