episode,length,time,reward,delta
0,500.0,0.023053000000118118,-3273.0,-0.7278757209123201
1,500.0,0.02303699999993114,-2877.0,-0.4881406069653418
2,500.0,0.022954999999910797,-3075.0,-0.1261899841936911
3,500.0,0.022910000000138098,-2580.0,-0.17602584323504633
4,500.0,0.022970000000213986,-2679.0,-0.04840104518468147
5,500.0,0.02299799999991592,-2976.0,-0.0663234071603247
6,500.0,0.02293199999985518,-2976.0,-35.119055654804285
7,500.0,0.022965000000112923,-2283.0,-0.7389092605959249
8,286.0,0.013098000000127286,-1374.0,100.00026552963556
9,266.0,0.012169000000085362,-1156.0,90.000238976672
10,312.0,0.014239999999972497,-1697.0,81.0002150790048
11,367.0,0.01680900000019392,-1752.0,72.90019357110432
12,319.0,0.014526000000159911,-1803.0,65.6101742139939
13,357.0,0.01626099999998587,-1742.0,59.0491567925945
14,135.0,0.006185999999843261,-233.0,53.14424111333505
15,235.0,0.01072199999998702,-1026.0,47.82981700200155
16,306.0,0.013973999999961961,-1295.0,43.046835301801394
17,50.0,0.002357999999958338,-49.0,38.74215177162125
18,364.0,0.016703999999890584,-1749.0,34.867936594459124
19,259.0,0.011903000000074826,-1446.0,31.381142935013216
20,70.0,0.0032430000001113513,-69.0,28.2430286415119
21,124.0,0.005686000000196145,-717.0,25.418725777360706
22,36.0,0.0016949999999269494,64.0,22.876853199624634
23,67.0,0.0030999999999039574,-165.0,20.58916787966217
24,37.0,0.0017399999999270221,-36.0,18.53025109169596
25,71.0,0.00327900000002046,-169.0,16.677225982526366
26,59.0,0.002709999999979118,-256.0,15.009503384273728
27,167.0,0.0075719999999819265,-760.0,13.508553045846355
28,145.0,0.006614000000126907,-441.0,12.157697741261714
29,53.0,0.0024429999998574203,-52.0,10.941927967135541
30,48.0,0.0022200000000793807,-146.0,9.847735170421984
31,23.0,0.001103999999941152,77.0,8.862961653379784
32,30.0,0.0014189999999416614,-29.0,7.976665488041803
33,57.0,0.00264300000003459,-155.0,7.178998939237616
34,116.0,0.005296000000043932,-313.0,6.461099045313858
35,110.0,0.005049000000099113,-406.0,5.8149891407824725
36,118.0,0.005391000000145141,-315.0,5.23349022670422
37,43.0,0.002003000000058819,-42.0,4.710141204033803
38,43.0,0.0020010000000638684,-42.0,4.239127083630422
