steps,time,reward,delta,converged
1,0.004503999999997177,0.0,0,False
2,0.005202000000053886,0.0,0,False
3,0.001103999999941152,0.0,0,False
4,0.001668999999992593,0.0,0,False
5,0.006409999999959837,0.0,0,False
6,0.0027300000001559965,0.0,0,False
7,0.0027569999999741412,0.0,0,False
8,0.022107000000005428,0.0,0,False
9,0.009285999999974592,0.0,0,False
10,0.00997100000017781,0.0,0,False
11,0.0034400000001824083,0.0,0,False
12,0.007748999999876105,0.0,0,False
13,0.005526999999801774,0.0,0,False
14,0.007700999999997293,0.0,0,False
15,0.0019970000000739674,0.0,0,False
16,0.003208000000086031,0.0,0,False
17,0.0009139999999661086,0.0,0,False
18,0.00592200000005505,0.0,0,False
19,0.006680000000187647,0.0,0,False
20,0.0059130000001914595,0.0,0,False
21,0.0031010000000151194,0.0,0,False
22,0.0005530000000817381,0.0,0,False
23,0.011702000000013868,0.0,0,False
24,0.01573099999995975,0.0,0,False
25,0.005059999999957654,0.0,0,False
26,0.0022149999999783176,0.0,0,False
27,0.0067450000001372246,0.0,0,False
28,0.01036999999996624,0.0,0,False
29,0.005783000000064931,0.0,0,False
30,0.014048999999886291,0.0,0,False
31,0.008051000000023123,0.0,0,False
32,0.004173000000037064,0.0,0,False
33,0.008005000000139262,0.0,0,False
34,0.00024000000007617928,0.0,0,False
35,0.019637999999986278,0.0,0,False
36,0.0006359999999858701,0.0,0,False
37,0.0032719999999244465,0.0,0,False
38,0.002343000000109896,0.0,0,False
39,0.002132999999957974,0.0,0,False
40,0.003146000000015192,0.0,0,False
41,0.009225000000014916,0.0,0,False
42,0.003336999999874024,0.0,0,False
43,0.022435000000086802,0.0,0,False
44,0.006049000000075466,0.0,0,False
45,0.0035599999998794374,0.0,0,False
46,0.0005289999999149586,0.0,0,False
47,0.0022050000000035652,0.0,0,False
48,0.001671999999871332,0.0,0,False
49,0.01195899999993344,0.0,0,False
50,0.0008830000001580629,0.0,0,False
51,0.0052600000001348235,0.0,0,False
52,0.004108000000087486,0.0,0,False
53,0.010188999999854786,0.0,0,False
54,0.0016129999999066058,0.0,0,False
55,0.022172999999838794,0.0,0,False
56,0.022026000000096246,0.0,0,False
57,0.002212999999983367,0.0,0,False
58,0.004648999999972148,0.0,0,False
59,0.01933199999984936,0.0,0,False
60,0.007499000000052547,0.0,0,False
61,0.0033240000000205328,0.0,0,False
62,0.014051999999992404,0.0,0,False
63,0.0010259999999107094,0.0,0,False
64,0.007190000000036889,0.0,0,False
65,0.00557000000003427,0.0,0,False
66,0.005177000000003318,0.0,0,False
67,0.002625999999963824,0.0,0,False
68,0.004169999999930951,0.0,0,False
69,0.004359000000022206,0.0,0,False
70,0.010648000000173852,0.0,0,False
71,0.002310000000079526,0.0,0,False
72,0.015159000000039669,0.0,0,False
73,0.0087780000001203,0.0,0,False
74,0.009749000000056185,0.0,0,False
75,0.018886999999949694,0.0,0,False
76,0.012697000000116532,0.0,0,False
77,0.00461900000004789,0.0,0,False
78,0.005662000000029366,0.0,0,False
79,0.011407000000190237,0.0,0,False
80,0.0060529999998379935,0.0,0,False
81,0.00683300000014242,0.0,0,False
82,0.002316999999948166,0.0,0,False
83,0.004277999999885651,0.0,0,False
84,0.009593999999879088,0.0,0,False
85,0.009202999999843087,0.0,0,False
86,0.011124999999992724,0.0,0,False
87,0.01179199999978664,0.0,0,False
88,0.006309999999984939,0.0,0,False
89,0.0071040000000266446,0.0,0,False
90,0.006857000000081825,0.0,0,False
91,0.002443000000084794,0.0,0,False
92,0.0033709999997881823,0.0,0,False
93,0.017749999999978172,0.0,0,False
94,0.0031679999999596475,0.0,0,False
95,0.006649000000152228,0.0,0,False
96,0.008350000000064028,0.0,0,False
97,0.0076629999998658604,0.0,0,False
98,0.006055000000060318,0.0,0,False
99,0.011430000000018481,0.0,0,False
100,0.022093000000040774,0.0,0,False
101,0.021212999999988824,0.0,0,False
102,0.0077299999998103885,0.0,0,False
103,0.0045860000000175205,0.0,0,False
104,0.0034819999998489948,0.0,0,False
105,0.006386000000020431,0.0,0,False
106,0.003793000000086977,0.0,0,False
107,0.017008000000032553,0.0,0,False
108,0.0035689999999704014,0.0,0,False
109,0.0070200000000113505,0.0,0,False
110,0.004478000000062821,0.0,0,False
111,0.004697000000078333,0.0,0,False
112,0.02141099999994367,0.0,0,False
113,0.009010999999873093,0.0,0,False
114,0.0016019999998206913,0.0,0,False
115,0.006178000000090833,0.0,0,False
116,0.014473000000180036,0.0,0,False
117,0.004890999999815904,0.0,0,False
118,0.011797000000115077,0.0,0,False
119,0.011129999999866413,0.0,0,False
120,0.008033999999952357,0.0,0,False
121,0.004701000000068234,0.0,0,False
122,0.006570000000010623,0.0,0,False
123,0.007554000000027372,0.0,0,False
124,0.003451000000040949,0.0,0,False
125,0.004305999999814958,0.0,0,False
126,0.01304300000015246,0.0,0,False
127,0.004533999999921434,0.0,0,False
128,0.01167899999995825,0.0,0,False
129,0.007195999999794367,0.0,0,False
130,0.0023940000000948203,0.0,0,False
131,0.019313999999894804,0.0,0,False
