episode,length,time,reward,delta
0,51.0,0.0024670000000242,49.0,100.0
1,500.0,0.02282999999988533,-3768.0,-0.3752023860999998
2,500.0,0.022785000000112632,-2877.0,-0.15133422628900028
3,26.0,0.0012500000000272848,74.0,10.0
4,87.0,0.00406499999985499,-284.0,1.0
5,120.0,0.005959999999959109,-317.0,0.09999999999999432
6,42.0,0.001981999999998152,-41.0,0.010000000000005116
7,18.0,0.0008799999998245767,82.0,0.0010000000000047748
8,26.0,0.0012469999999211723,-25.0,0.00010000000000331966
9,51.0,0.0024070000001756853,-149.0,1.0000000003174137e-05
10,18.0,0.0008820000000469008,82.0,9.999999974752427e-07
11,23.0,0.001117000000022017,-22.0,9.999999406318238e-08
12,37.0,0.0017419999999219726,63.0,9.999993721976352e-09
13,15.0,0.0007379999999557185,85.0,1.0000036354540498e-09
14,25.0,0.0011990000000423606,-24.0,1.000017846308765e-10
15,18.0,0.0008790000001681619,82.0,1.000444171950221e-11
16,18.0,0.0008760000000620494,82.0,9.947598300641403e-13
17,112.0,0.005202000000053886,-507.0,9.947598300641403e-14
18,59.0,0.0027800000000297587,-157.0,1.4210854715202004e-14
19,16.0,0.0008029999999052961,84.0,0.0
20,54.0,0.002529999999978827,-152.0,0.0
21,55.0,0.0025739999998677376,-153.0,0.0
22,21.0,0.0010140000001683802,79.0,0.0
23,35.0,0.001665000000002692,-34.0,0.0
24,17.0,0.0008340000001680892,83.0,0.0
25,16.0,0.0007850000001781154,84.0,0.0
26,17.0,0.0008209999998598505,83.0,0.0
27,28.0,0.0013329999999314168,-27.0,0.0
28,19.0,0.0009170000000722212,-18.0,0.0
29,18.0,0.0008689999999660358,82.0,0.0
30,21.0,0.001011999999946056,79.0,0.0
31,18.0,0.0008719999998447747,82.0,0.0
32,29.0,0.0013690000000678992,-28.0,0.0
33,18.0,0.0008720000000721484,82.0,0.0
34,19.0,0.0009140000001934823,81.0,0.0
35,20.0,0.0009640000000672444,-19.0,0.0
36,14.0,0.0006889999999657448,86.0,0.0
37,20.0,0.0009609999999611318,80.0,0.0
38,33.0,0.0015450000000782893,67.0,0.0
39,56.0,0.002594000000044616,-154.0,0.0
40,18.0,0.0008679999998548737,82.0,0.0
41,54.0,0.0025149999999030115,-152.0,0.0
42,38.0,0.0017800000000534055,-37.0,0.0
43,29.0,0.0013780000001588633,-28.0,0.0
44,14.0,0.0006949999999505962,86.0,0.0
45,42.0,0.0019610000001648586,-41.0,0.0
46,18.0,0.0008769999999458378,82.0,0.0
47,20.0,0.0009660000000621949,80.0,0.0
48,26.0,0.0012369999999464198,-25.0,0.0
49,37.0,0.0017370000000482833,-36.0,0.0
50,43.0,0.0020090000000436703,-141.0,0.0
51,15.0,0.000739999999950669,85.0,0.0
52,14.0,0.0006969999999455467,86.0,0.0
53,48.0,0.0022320000000490836,-146.0,0.0
54,24.0,0.001150000000052387,76.0,0.0
55,16.0,0.0007769999999709398,84.0,0.0
56,28.0,0.001316999999971813,-27.0,0.0
57,71.0,0.003267000000050757,-169.0,0.0
58,14.0,0.0006869999999707943,86.0,0.0
59,20.0,0.0009549999999762804,80.0,0.0
60,18.0,0.0008729999999559368,82.0,0.0
61,31.0,0.0014519999999720312,-30.0,0.0
62,15.0,0.0007339999999658176,85.0,0.0
63,29.0,0.0013730000000578002,-28.0,0.0
64,19.0,0.0009150000000772707,81.0,0.0
65,18.0,0.0008680000000822474,82.0,0.0
66,41.0,0.0019079999999576103,-139.0,0.0
67,18.0,0.0008689999999660358,82.0,0.0
68,22.0,0.0010569999999461288,78.0,0.0
69,53.0,0.0024519999999483844,-52.0,0.0
70,65.0,0.0029930000000604196,-163.0,0.0
71,19.0,0.0009120000001985318,81.0,0.0
72,47.0,0.002177999999958047,-145.0,0.0
73,51.0,0.0023559999999633874,-149.0,0.0
74,18.0,0.0008739999998397252,82.0,0.0
75,51.0,0.002363000000059401,-149.0,0.0
76,14.0,0.0006899999998495332,86.0,0.0
77,15.0,0.0007409999998344574,85.0,0.0
78,18.0,0.0008679999998548737,-17.0,0.0
79,16.0,0.0007789999999658903,84.0,0.0
80,21.0,0.0010039999999662541,79.0,0.0
81,18.0,0.0008739999998397252,82.0,0.0
82,15.0,0.000734999999849606,85.0,0.0
83,14.0,0.0006919999998444837,86.0,0.0
84,14.0,0.0006849999999758438,86.0,0.0
85,19.0,0.0009139999999661086,81.0,0.0
86,17.0,0.000822999999854801,83.0,0.0
87,50.0,0.0023109999999633146,-148.0,0.0
88,18.0,0.0008679999998548737,82.0,0.0
89,33.0,0.0015470000000732398,-131.0,0.0
90,45.0,0.0021100000001297303,-242.0,0.0
91,14.0,0.0006889999999657448,86.0,0.0
92,31.0,0.0014599999999518332,-30.0,0.0
93,22.0,0.0010720000000219443,78.0,0.0
94,15.0,0.0007370000000719301,85.0,0.0
95,19.0,0.0009170000000722212,81.0,0.0
96,14.0,0.0006890000001931185,86.0,0.0
97,50.0,0.0023130000001856388,-148.0,0.0
98,20.0,0.0009600000000773434,80.0,0.0
99,17.0,0.0008339999999407155,83.0,0.0
100,35.0,0.001646999999820764,-34.0,0.0
101,15.0,0.000734999999849606,85.0,0.0
102,28.0,0.0013219999998455023,-27.0,0.0
103,35.0,0.0016410000000632863,-34.0,0.0
104,22.0,0.0010469999999713764,78.0,0.0
105,31.0,0.0014570000000730943,-129.0,0.0
106,19.0,0.0009160000001884328,81.0,0.0
107,18.0,0.0008720000000721484,82.0,0.0
108,31.0,0.0014639999999417341,-30.0,0.0
109,17.0,0.0008239999999659631,83.0,0.0
110,14.0,0.0006869999999707943,86.0,0.0
111,16.0,0.0007720000000972504,84.0,0.0
112,14.0,0.0006880000000819564,86.0,0.0
113,35.0,0.0016370000000733853,-34.0,0.0
114,18.0,0.0008650000002035085,82.0,0.0
115,23.0,0.0011010000000624132,-22.0,0.0
116,18.0,0.0008669999999710853,82.0,0.0
117,90.0,0.004145999999991545,-386.0,0.0
118,15.0,0.0007379999999557185,85.0,0.0
119,19.0,0.0009180000001833832,-18.0,0.0
120,66.0,0.0030289999999695283,-164.0,0.0
121,28.0,0.001322000000072876,-27.0,0.0
122,60.0,0.0027550000002065644,-257.0,0.0
123,86.0,0.003937000000178159,-283.0,0.0
124,45.0,0.0020980000001600274,-143.0,0.0
125,18.0,0.0008609999999862339,82.0,0.0
126,19.0,0.0009159999999610591,81.0,0.0
127,31.0,0.0014610000000629952,-30.0,0.0
128,108.0,0.004932000000053449,-305.0,0.0
129,51.0,0.0023570000000745495,-149.0,0.0
130,18.0,0.0008740000000670989,82.0,0.0
131,16.0,0.0007800000000770524,84.0,0.0
132,18.0,0.0008709999999609863,82.0,0.0
133,17.0,0.0008250000000771252,83.0,0.0
134,20.0,0.0009609999999611318,80.0,0.0
135,16.0,0.0007770000001983135,84.0,0.0
136,17.0,0.0008300000001781882,83.0,0.0
137,24.0,0.0011399999998502608,76.0,0.0
138,28.0,0.0013239999998404528,-27.0,0.0
139,16.0,0.0007749999999759893,84.0,0.0
140,66.0,0.003035999999838168,-164.0,0.0
141,24.0,0.0011399999998502608,76.0,0.0
142,17.0,0.0008299999999508145,83.0,0.0
143,78.0,0.003608999999869411,-473.0,0.0
144,16.0,0.0007869999999456923,84.0,0.0
145,29.0,0.0013679999999567372,-28.0,0.0
146,24.0,0.0011400000000776345,76.0,0.0
147,17.0,0.0008219999999710126,83.0,0.0
148,16.0,0.0007759999998597777,84.0,0.0
149,28.0,0.0013199999998505518,-27.0,0.0
150,32.0,0.0015029999999569554,-31.0,0.0
151,15.0,0.0007329999998546555,85.0,0.0
152,20.0,0.0009620000000722939,80.0,0.0
153,14.0,0.0006860000000870059,86.0,0.0
154,17.0,0.0008219999999710126,83.0,0.0
155,19.0,0.0009129999998549465,81.0,0.0
156,35.0,0.0016379999999571737,-34.0,0.0
157,63.0,0.0028930000000855216,-260.0,0.0
158,21.0,0.0010050000000774162,79.0,0.0
159,14.0,0.0006829999999808933,86.0,0.0
160,14.0,0.0006820000000971049,86.0,0.0
161,15.0,0.000730999999859705,85.0,0.0
162,20.0,0.0009600000000773434,80.0,0.0
163,42.0,0.0019509999999627325,-140.0,0.0
164,47.0,0.0021809999998367857,-145.0,0.0
165,26.0,0.0012269999999716674,-25.0,0.0
166,14.0,0.0006849999999758438,86.0,0.0
167,14.0,0.0006909999999606953,86.0,0.0
168,17.0,0.0008299999999508145,83.0,0.0
169,20.0,0.0009609999999611318,80.0,0.0
170,17.0,0.0008259999999609136,-16.0,0.0
171,21.0,0.0010059999999612046,-20.0,0.0
172,19.0,0.0009130000000823202,-18.0,0.0
