episode,length,time,reward,delta
0,500.0,0.023157999999966705,-3768.0,-0.0003962612892007833
1,500.0,0.023049000000128217,-4164.0,-3.764608929035518e-07
2,500.0,0.02304099999992104,-3273.0,-1.161697288809549e-06
3,180.0,0.00832100000002356,-1565.0,99.99942366754559
4,290.0,0.013319000000137748,-1675.0,9.999942366754553
5,209.0,0.009587000000010448,-1099.0,0.9999942366754624
6,70.0,0.003236999999899126,-267.0,0.09999942366754055
7,22.0,0.001059000000168453,78.0,0.009999942366761161
8,110.0,0.005092999999988024,-1000.0,0.0009999942366789583
9,107.0,0.004932000000053449,-700.0,9.999942366789583e-05
10,28.0,0.0013400000000274304,-27.0,9.999942363947412e-06
11,18.0,0.0008749999999508873,82.0,9.99994242079083e-07
12,22.0,0.0010499999998501153,-21.0,9.999942562899378e-08
13,61.0,0.0028460000000904984,-159.0,9.999936878557492e-09
14,91.0,0.004188000000112879,-486.0,9.999894245993346e-10
15,41.0,0.0019280000001344888,-238.0,1.000017846308765e-10
16,83.0,0.003827000000001135,-775.0,1.000444171950221e-11
17,53.0,0.00247599999988779,-151.0,9.947598300641403e-13
18,27.0,0.0012890000000425061,73.0,9.947598300641403e-14
19,15.0,0.00074399999994057,85.0,1.4210854715202004e-14
20,59.0,0.0027529999999842403,-157.0,0.0
21,18.0,0.0008809999999357387,82.0,0.0
22,101.0,0.004659000000174274,-397.0,0.0
23,41.0,0.0019130000000586733,-40.0,0.0
24,44.0,0.0020669999998972344,-43.0,0.0
25,124.0,0.005691000000069835,-816.0,0.0
26,19.0,0.0009290000000419241,81.0,0.0
27,31.0,0.0014650000000528962,-30.0,0.0
28,48.0,0.0022509999998874264,-245.0,0.0
29,34.0,0.0016049999999268039,-231.0,0.0
30,19.0,0.0009179999999560096,81.0,0.0
31,67.0,0.003071000000090862,-264.0,0.0
32,55.0,0.0025669999999990978,-252.0,0.0
33,36.0,0.001706000000012864,-134.0,0.0
34,15.0,0.0007379999999557185,85.0,0.0
35,19.0,0.0009129999998549465,81.0,0.0
36,22.0,0.001046000000087588,78.0,0.0
37,24.0,0.0011409999999614229,-23.0,0.0
38,22.0,0.0010539999998400162,78.0,0.0
39,21.0,0.001011999999946056,79.0,0.0
40,109.0,0.00500899999997273,-801.0,0.0
41,38.0,0.0017800000000534055,-235.0,0.0
42,51.0,0.0023490000000947475,-50.0,0.0
43,46.0,0.0021280000000842847,-45.0,0.0
44,33.0,0.0015430000000833388,-32.0,0.0
45,15.0,0.0007290000000921282,85.0,0.0
46,19.0,0.0009159999999610591,-18.0,0.0
47,50.0,0.0023290000001452427,-247.0,0.0
48,40.0,0.0018590000001950102,-138.0,0.0
49,66.0,0.003054000000020096,-263.0,0.0
50,35.0,0.0016339999999672727,-34.0,0.0
51,84.0,0.003842999999960739,-380.0,0.0
52,66.0,0.0030380000000604923,-164.0,0.0
53,14.0,0.0006900000000769069,86.0,0.0
54,160.0,0.007319999999936044,-753.0,0.0
55,17.0,0.000849000000016531,83.0,0.0
56,59.0,0.0027250000000549335,-157.0,0.0
57,29.0,0.0013719999999466381,-28.0,0.0
58,16.0,0.0007789999999658903,84.0,0.0
59,34.0,0.0015920000000733125,-33.0,0.0
60,48.0,0.002227999999831809,-47.0,0.0
61,33.0,0.001550999999835767,-32.0,0.0
62,19.0,0.0009360000001379376,81.0,0.0
63,35.0,0.0016309999998611602,-232.0,0.0
64,162.0,0.007344000000102824,-854.0,0.0
65,20.0,0.0009569999999712309,80.0,0.0
66,24.0,0.0011489999999412248,76.0,0.0
67,62.0,0.0028629999999338906,-160.0,0.0
68,18.0,0.0008740000000670989,82.0,0.0
69,47.0,0.0021709999998620333,-46.0,0.0
70,17.0,0.0008190000000922737,83.0,0.0
71,29.0,0.0013619999999718857,-28.0,0.0
72,26.0,0.0012199999998756539,-25.0,0.0
73,17.0,0.0008179999999811116,83.0,0.0
74,21.0,0.0009979999999814027,-20.0,0.0
75,17.0,0.0008220000001983863,-16.0,0.0
76,19.0,0.0009070000000974687,81.0,0.0
77,51.0,0.002835000000004584,-149.0,0.0
78,19.0,0.0009250000000520231,81.0,0.0
79,17.0,0.0008350000000518776,83.0,0.0
