steps,time,reward,delta,converged
1,0.0037540000000717555,0.0,0,False
2,0.009182000000009793,0.0,0,False
3,0.012988999999947737,0.0,0,False
4,0.0010899999999764987,0.0,0,False
5,0.0011769999999842184,0.0,0,False
6,0.001393000000007305,0.0,0,False
7,0.006068000000027496,0.0,0,False
8,0.0074799999999868305,0.0,0,False
9,0.0011269999999967695,0.0,0,False
10,0.0010939999999663996,0.0,0,False
11,0.010747000000037588,0.0,0,False
12,0.003902000000039152,0.0,0,False
13,0.0024540000000570217,0.0,0,False
14,0.015386999999918771,0.0,0,False
15,0.00640299999997751,0.0,0,False
16,0.0021890000000439613,0.0,0,False
17,0.009764000000018314,0.0,0,False
18,0.006105000000047767,0.0,0,False
19,0.003802000000064254,0.0,0,False
20,0.0169500000000653,0.0,0,False
21,0.00955799999996998,0.0,0,False
22,0.012135000000057516,0.0,0,False
23,0.014746000000059212,0.0,0,False
24,0.022377000000005864,0.0,0,False
25,0.01141599999994014,0.0,0,False
26,0.001876999999922191,0.0,0,False
27,0.012022000000001754,0.0,0,False
28,0.012887999999975364,0.0,0,False
29,0.011853999999971165,0.0,0,False
30,0.004449000000022352,0.0,0,False
31,0.003163000000085958,0.0,0,False
32,0.0022400000000288856,0.0,0,False
33,0.0049340000000484,0.0,0,False
34,0.002538999999956104,0.0,0,False
35,0.0036999999999807187,0.0,0,False
36,0.005178000000000793,0.0,0,False
37,0.02223700000001827,0.0,0,False
38,0.01616999999998825,0.0,0,False
39,0.015589000000090891,0.0,0,False
40,0.007110000000011496,0.0,0,False
41,0.003960000000006403,0.0,0,False
42,0.002983000000085667,0.0,0,False
43,0.0069280000000162545,0.0,0,False
44,0.004684999999994943,0.0,0,False
45,0.003133000000048014,0.0,0,False
46,0.006299000000012711,0.0,0,False
47,0.02203800000006595,0.0,0,False
48,0.007914000000027954,0.0,0,False
49,0.005988000000002103,0.0,0,False
50,0.02228700000000572,0.0,0,False
51,0.022236000000020795,0.0,0,False
52,0.003207999999972344,0.0,0,False
53,0.006555999999932283,0.0,0,False
54,0.015101000000072418,0.0,0,False
55,0.008540000000039072,0.0,0,False
56,0.002416999999923064,0.0,0,False
57,0.011532999999985805,0.0,0,False
58,0.006892999999990934,0.0,0,False
59,0.014511999999967884,0.0,0,False
60,0.006654999999909705,0.0,0,False
61,0.016483999999991283,0.0,0,False
62,0.003970000000094842,0.0,0,False
63,0.01003000000002885,0.0,0,False
64,0.00740300000006755,0.0,0,False
65,0.002103000000033717,0.0,0,False
66,0.01696799999990617,0.0,0,False
67,0.0027380000000221116,0.0,0,False
68,0.007465000000024702,0.0,0,False
69,0.013778999999999542,0.0,0,False
70,0.022192000000018197,0.0,0,False
71,0.009901000000013482,0.0,0,False
72,0.022176000000058593,0.0,0,False
73,0.01981999999998152,0.0,0,False
74,0.005474000000049273,0.0,0,False
75,0.0010390000001052613,0.0,0,False
76,0.0014540000000806685,0.0,0,False
77,0.00342200000000048,0.0,0,False
78,0.002985999999964406,0.0,0,False
79,0.004381999999964137,0.0,0,False
80,0.009510999999974956,0.0,0,False
81,0.011226000000078784,0.0,0,False
82,0.0027869999998983985,0.0,0,False
83,0.002321000000051754,0.0,0,False
84,0.004009999999993852,0.0,0,False
85,0.007906000000048152,0.0,0,False
86,0.004317000000014559,0.0,0,False
87,0.005161000000043714,0.0,0,False
88,0.007266000000072381,0.0,0,False
89,0.010799000000019987,0.0,0,False
90,0.0017589999999927386,0.0,0,False
91,0.005861999999979162,0.0,0,False
92,0.0029929999999467327,0.0,0,False
93,0.00867700000003424,0.0,0,False
94,0.01273599999990438,0.0,0,False
95,0.01792399999999361,0.0,0,False
96,0.004123999999933403,0.0,0,False
97,0.014876000000072054,0.0,0,False
98,0.001920000000041,0.0,0,False
99,0.01945499999999356,0.0,0,False
100,0.005066999999939981,0.0,0,False
101,0.010763999999994667,0.0,0,False
102,0.01983800000004976,0.0,0,False
103,0.021051000000056774,0.0,0,False
