params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.8529620000000477,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.1, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.714857000000052,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.2, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",4.554124000000002,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.3, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",4.557935000000043,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.4, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",4.489274000000023,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.5, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",4.501297000000022,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.6, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",4.508023999999978,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.7, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",4.496748000000025,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.8, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",4.411907999999926,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.9, ""epsilon"": 0.1, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",4.476754000000028,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.0, ""epsilon"": 0.3, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.8120380000000296,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.1, ""epsilon"": 0.3, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",2.7365590000000566,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.2, ""epsilon"": 0.3, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",4.569501000000059,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.3, ""epsilon"": 0.3, ""alpha"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 0.0001}",4.535902000000078,100,0.0,0.0,0.0,0.0,0.0
